article,images,issues,notes,references,seeAlso,total
Water supply and sanitation in South Africa,11,0,0,67,4,82
Ecosystem,32,0,1,46,8,87
Children's Day,33,0,0,52,3,88
Climate,23,0,0,51,16,90
Gauteng,20,0,0,73,0,93
Bullying,2,2,0,90,1,95
Hand washing,20,0,0,64,11,95
Automobile,31,1,0,72,0,104
Wetlands,24,0,0,80,0,104
Human nutrition,10,2,0,95,0,107
Rail transport,57,0,1,49,0,107
Transport,42,0,33,33,0,108
Herero and Namaqua Genocide,25,1,0,88,0,114
San people,15,0,0,89,10,114
Wool,37,0,0,40,37,114
Trade,18,0,50,50,0,118
Economy of South Africa,16,1,0,111,0,128
Stereotype,15,1,0,83,37,136
Bird nest,36,0,0,107,1,144
HIV,27,0,0,124,0,151
Food vs. fuel,7,0,0,145,0,152
Glass,91,1,0,57,12,161
Food security,35,1,0,133,0,169
Atom,28,0,2,141,0,171
Outer space,32,0,0,139,0,171
Coal,34,0,0,141,0,175
Bicycle,58,0,0,119,0,177
Fair trade,18,2,0,169,4,193
Alcoholism,16,0,0,175,8,199
Child abuse,9,0,0,202,0,211
Discrimination,30,4,0,137,40,211
Apartheid,32,0,0,187,0,219
Malaria,31,0,0,190,0,221
Gender stereotypes,41,4,0,185,0,230
Food,61,0,93,93,0,247
History of South Africa,76,8,0,159,15,258
Soil,48,0,0,216,0,264
Republic of South Africa,86,1,1,181,0,269
HIV/AIDS,32,0,0,265,0,297
Mahatma Gandhi,68,1,0,275,5,349
South African locomotive history,341,0,0,30,2,373
Scientific method,26,2,162,162,36,388
Sexism,41,1,0,308,43,393
Domestic violence,35,1,8,351,5,400
Nelson Mandela,58,0,0,401,0,459
