article,unique_editors_2014,edits_2014,avg_size_2014,community,review,new_articles,unique_editors_2015,edits_2015,avg_size_2015,i_row_editors_2014,i_row_edits_2014,i_row_editors_2015,i_row_edits_2015
Discrimination,7,10,63467,true,false,false,6,10,86549,7,44,8,24
Electricity generation,7,10,32443,false,false,false,6,10,34796,9,46,9,25
Fair trade,7,10,102158,false,false,false,6,10,125704,10,47,10,26
Wildlife conservation,7,10,17564,false,false,false,6,10,12316,24,59,11,27
Youth culture,7,10,22380,false,false,false,6,10,22693,26,61,12,28
Aloe vera,8,10,33162,false,false,false,6,10,30838,4,65,13,29
Convenience food,8,10,22670,false,false,false,6,10,24331,13,74,14,30
Freedom Day (South Africa),8,10,1252,false,false,false,6,10,1585,20,81,15,31
HIV/AIDS,8,10,151509,false,false,false,6,10,158396,23,84,16,32
Mind map,8,10,16122,false,false,true,6,10,14531,26,87,17,33
Domestic violence in South Africa,9,10,14967,true,true,false,6,10,14291,4,102,18,34
San religion,9,10,17136,false,false,false,6,10,17546,23,121,19,35
Textile,9,10,27714,false,false,false,6,10,28155,24,122,20,36
Water pollution,9,10,37664,true,true,false,6,10,37378,26,123,21,37
Music of South Africa,10,10,55186,false,false,false,6,10,56080,10,136,22,38
Settling,5,6,10360,false,false,false,7,10,10334,2,5,3,39
Drakensberg,5,10,25678,false,false,false,7,10,28544,7,12,4,40
Alcohol dependence,6,10,9593,false,false,false,7,10,9075,3,20,5,41
Hydraulics,6,10,11340,false,false,false,7,10,10901,13,28,6,42
San people,6,10,61911,true,true,false,7,10,62149,18,32,7,43
Wool,6,10,63069,false,false,false,7,10,38039,23,37,8,44
Design,7,10,29401,false,false,false,7,10,29229,6,43,9,45
Gauteng,7,10,45295,false,false,false,7,10,46772,12,49,10,46
Latitude,7,10,41785,false,false,false,7,10,41697,16,53,11,47
Nest,7,10,22292,false,false,false,7,10,23425,18,55,12,48
Pneumatics,7,10,7167,false,false,false,7,10,7217,19,56,13,49
Wood,7,10,49844,true,false,false,7,10,51023,25,60,14,50
National Women's Day,8,8,2831,false,false,false,7,10,3815,29,4,15,51
Alcohol abuse,8,10,45495,false,false,false,7,10,46366,3,64,17,52
Biome,8,10,25241,false,false,false,7,10,20549,6,67,18,53
Castle of Good Hope,8,10,9771,false,false,false,7,10,9950,9,70,19,54
Flag of South Africa,8,10,15691,false,false,false,7,10,15513,18,79,20,55
Food vs. fuel,8,10,29699,false,false,false,7,10,84242,19,80,21,56
Hand washing,8,10,36999,true,true,false,7,10,46389,21,82,22,57
Malaria,8,10,124371,false,false,false,7,10,131592,25,86,23,58
Rail transport,8,10,67712,false,false,false,7,10,66926,32,92,24,59
Rock (geology),8,10,14434,false,false,false,7,10,14608,34,93,25,60
Animal husbandry,9,10,8281,false,false,false,7,10,17893,1,99,26,61
Bicycle,9,10,65630,true,true,false,7,10,68401,2,100,27,62
Economy of South Africa,9,10,76796,false,false,false,7,10,79169,5,103,28,63
Food security,9,10,96732,false,false,false,7,10,107384,9,107,29,64
Human Rights Day,9,10,12909,true,true,false,7,10,17084,15,113,30,65
Map,9,10,18886,false,false,false,7,10,28836,18,116,31,66
Oliver Tambo,9,10,10965,true,true,false,7,10,13325,21,119,32,67
Outer space,9,10,92330,false,false,false,7,10,97114,22,120,33,68
Scientific method,10,10,140657,false,false,false,7,10,143552,14,140,34,69
South African cuisine,10,10,19152,false,false,false,7,10,19052,17,143,35,70
Clay,2,10,11026,false,false,false,8,10,11028,6,3,1,71
Wildlife management,3,4,19753,false,false,false,8,10,20003,1,2,2,72
Control variable,5,10,3599,false,false,false,8,10,3285,6,11,3,73
Human nutrition,5,10,111717,false,false,false,8,10,118739,10,15,4,74
Atom,6,10,109841,false,false,false,8,10,111088,6,23,5,75
Ceramic,6,10,17727,false,false,false,8,10,18790,9,25,6,76
Heritage Day (South Africa),6,10,3625,true,true,false,8,10,4006,12,27,7,77
Khoisan languages,6,10,17256,false,false,false,8,10,17361,14,29,8,78
South Africa,6,10,133255,false,false,false,8,10,139764,20,34,9,79
Stereotype,6,10,83288,false,false,false,8,10,83106,21,35,10,80
Steve Biko,6,10,28788,false,false,false,8,10,29642,22,36,11,81
Coal in South Africa,7,10,12491,true,false,false,8,10,13292,5,42,13,82
Glass,7,10,59316,false,false,false,8,10,60716,13,50,14,83
Trade,7,10,38960,false,false,false,8,10,35471,23,58,15,84
!Kung people,8,10,16118,false,false,false,8,10,16139,1,62,16,85
Agriculture in South Africa,8,10,12698,true,true,false,8,10,12917,2,63,17,86
Bird nest,8,10,58389,false,false,false,8,10,59768,7,68,18,87
Children's Day,8,10,62072,false,false,false,8,10,65274,11,72,19,88
Cooking,8,10,34530,false,false,false,8,10,38618,14,75,20,89
Decantation,8,10,2562,false,false,false,8,10,2540,15,76,21,90
Fire safety,8,10,15528,false,false,false,8,10,15332,17,78,22,91
History of writing,8,10,45024,false,false,false,8,10,45927,22,83,23,92
Music of Africa,8,10,19960,false,false,false,8,10,19605,27,88,24,93
Transport,8,10,39030,false,false,false,8,10,39327,36,95,25,94
Water supply and sanitation in South Africa,8,10,57520,true,true,false,8,10,58253,39,98,26,95
Walter Sisulu,9,9,9728,true,true,false,8,10,10366,25,2,27,96
Ecosystem,9,10,51995,false,false,false,8,10,52080,6,104,28,97
Mining industry of South Africa,9,10,18617,false,false,false,8,10,19273,19,117,29,98
Noise pollution,9,10,17857,false,false,false,8,10,17100,20,118,30,99
Winnie Madikizela-Mandela,9,10,28175,true,false,false,8,10,28534,29,126,31,100
Base (chemistry),10,10,11770,false,false,false,8,10,19747,1,127,32,101
Coal,10,10,79926,false,false,false,8,10,96046,2,128,33,102
Cradle of Humankind,10,10,9478,true,true,false,8,10,11730,3,129,34,103
Herero and Namaqua Genocide,10,10,57125,true,false,false,8,10,59906,6,132,35,104
Insulator (electricity),10,10,27738,false,false,false,8,10,28307,7,133,36,105
Pitch (music),10,10,26235,false,false,false,8,10,26791,11,137,37,106
Sand,10,10,13962,false,false,false,8,10,14728,13,139,38,107
Dependent and independent variables,2,2,9741,false,false,false,9,10,13099,1,4,1,108
Free State (province),3,10,20595,false,false,false,9,10,20946,2,4,2,109
Soil,3,10,198460,false,false,false,9,10,199366,4,6,3,110
Pollution,4,10,41770,false,false,false,9,10,43516,3,7,4,111
Day of Reconciliation,5,6,2311,true,false,false,9,10,2465,1,4,5,112
Food pyramid (nutrition),5,10,28153,false,false,false,9,10,30187,9,14,6,113
National anthem of South Africa,5,10,6500,false,false,false,9,10,6616,11,16,7,114
Standard Model,5,10,46223,false,false,false,9,10,48734,13,18,8,115
Alcoholism,6,10,106565,false,false,false,9,10,108471,4,21,9,116
Bullying,6,10,58967,false,false,false,9,10,60070,8,24,10,117
Domestic violence,6,10,178888,true,false,false,9,10,295333,10,26,11,118
Tap (valve),7,8,16903,false,false,false,9,10,13519,22,3,12,119
Bias,7,10,4965,false,false,false,9,10,66235,1,38,13,120
Circuit diagram,7,10,10045,false,false,false,9,10,10381,4,41,14,121
Electrical conductor,7,10,10242,false,false,false,9,10,10397,8,45,15,122
Human swimming,7,10,26098,false,false,false,9,10,24652,15,52,16,123
Mpumalanga,7,10,18194,false,false,false,9,10,17506,17,54,17,124
Paper,8,10,27467,false,false,false,9,10,28779,31,91,18,125
Scale (map),8,10,33224,false,false,false,9,10,33368,35,94,19,126
Vibration,8,10,42707,false,false,false,9,10,42741,37,96,20,127
Water filter,8,10,10042,false,false,false,9,10,10854,38,97,21,128
Electrical network,9,10,7905,false,false,false,9,10,8021,7,105,22,129
Food group,9,10,6970,false,false,false,9,10,6966,8,106,23,130
Food,10,10,61698,false,false,false,9,10,63384,4,130,24,131
Gangster,10,10,42655,false,false,false,9,10,42544,5,131,25,132
Sieve,10,10,5537,false,false,false,9,10,5599,15,141,26,133
Western Cape,10,10,36133,true,true,false,9,10,42628,19,145,27,134
Wetland,10,10,75569,false,false,false,9,10,76599,20,146,28,135
Mahatma Gandhi,1,10,160926,false,false,false,10,10,175981,6,2,1,136
Farm,7,10,18112,false,false,false,10,10,21887,11,48,2,137
Apartheid,8,10,148634,true,true,false,10,10,151694,5,66,3,138
Boiling,8,10,10362,false,false,false,10,10,10744,8,69,4,139
Climate,8,10,33033,false,false,false,10,10,36811,12,73,5,140
Khoikhoi,8,10,11769,true,true,false,10,10,12405,24,85,6,141
Gas,9,10,38928,false,false,true,10,10,38546,10,108,7,142
Gender role,9,10,85099,true,true,true,10,10,109337,11,109,8,143
Health,9,10,34103,false,false,false,10,10,37981,12,110,9,144
List of South Africans,9,10,52249,false,false,false,10,10,53448,16,114,10,145
Water well,9,10,28883,false,false,false,10,10,29907,27,124,11,146
Wax,9,10,11705,false,false,false,10,10,11774,28,125,12,147
Longitude,10,10,24457,false,false,false,10,10,20234,9,135,13,148
Politics of South Africa,10,10,9606,false,false,false,10,10,9831,12,138,14,149
