article,page_in,user_in,portal_in,template_in,category_in,total_in,community,review,new_article,page_out,user_out,portal_out,template_out,category_out,total_out,page_in_2015,user_in_2015,portal_in_2015,template_in_2015,category_in_2015,total_in_2015,page_out_2015,user_out_2015,portal_out_2015,template_out_2015,category_out_2015,total_out_2015
Boiling,437,46,5,4,0,492,false,false,false,190,0,2,2,1,195,353,41,5,4,0,403,119,0,0,2,0,121
Borehole,307,25,6,1,2,341,false,false,false,160,0,0,2,0,162,279,22,6,1,2,310,121,0,0,2,0,123
Bullying,482,2,1,0,0,485,false,false,false,993,0,0,8,0,1001,482,2,1,1,0,486,578,0,0,8,0,586
Car,438,27,1,1,1,468,false,false,false,1461,0,7,12,10,1490,493,3,0,0,0,496,1031,0,7,12,10,1060
Castle of Good Hope,122,6,3,2,0,133,false,false,false,135,0,0,0,0,135,97,6,4,2,0,109,59,0,0,0,0,59
Cell (biology),486,3,1,0,0,490,false,false,false,777,0,0,6,0,783,495,3,0,0,0,498,596,0,0,41,0,637
Ceramic,491,2,0,0,1,494,false,false,false,238,0,0,0,0,238,496,2,0,0,1,499,145,0,0,0,1,146
Chapter Two of the Constitution of South Africa,238,8,0,5,0,251,false,false,false,309,0,1,6,1,317,18,0,0,0,0,18,200,0,1,6,1,208
Child abuse,479,1,2,0,1,483,false,false,false,1672,0,4,13,2,1691,491,1,0,0,1,493,609,0,3,10,0,622
Children's Act_ 2005,17,1,0,0,0,18,false,false,false,27,0,0,0,0,27,1,0,0,0,0,1,24,0,0,0,0,24
Children's Day,437,4,43,1,0,485,false,false,false,832,0,0,2,0,834,195,17,44,2,0,258,433,0,0,2,0,435
Circuit diagram,153,46,4,0,1,204,false,false,false,110,0,1,0,0,111,114,39,4,0,1,158,52,0,1,0,0,53
Clay,495,1,0,0,0,496,false,false,false,296,0,0,2,0,298,498,1,0,0,0,499,206,0,0,2,0,208
Climate,496,0,0,0,0,496,false,false,false,1088,0,6,16,10,1120,500,0,0,0,0,500,815,0,6,16,10,847
Coal,493,0,0,0,0,493,false,false,false,1289,0,5,6,5,1305,500,0,0,0,0,500,693,0,5,6,4,708
Coal in South Africa,106,10,3,2,0,121,true,false,false,366,0,0,5,3,374,88,10,3,2,0,103,148,0,0,3,3,154
Control variable,154,8,0,0,0,162,false,false,false,32,0,0,0,0,32,12,5,0,0,0,17,16,0,0,0,0,16
Convenience food,166,9,2,3,1,181,false,false,false,356,0,2,2,0,360,133,10,2,2,1,148,156,0,2,2,0,160
Cooking,429,60,1,0,2,492,false,false,false,1212,0,5,6,3,1226,423,59,1,0,2,485,912,0,3,6,2,923
Cradle of Humankind,143,18,8,3,0,172,true,true,false,198,0,0,4,0,202,96,14,1,2,0,113,77,0,0,2,0,79
Day of Reconciliation,36,2,0,1,0,39,true,false,false,45,0,0,2,0,47,1,0,0,0,0,1,29,0,0,2,0,31
Decantation,88,12,2,0,0,102,false,false,false,23,0,0,2,0,25,6,1,0,0,0,7,14,0,0,2,0,16
Dependent and independent variables,321,94,4,3,0,422,false,false,false,119,0,0,0,0,119,179,79,2,3,0,263,50,0,0,0,0,50
Design,467,20,1,0,4,492,false,false,false,656,0,3,2,0,661,464,21,1,0,4,490,413,0,3,2,0,418
Discrimination,399,4,0,0,0,403,true,false,false,1428,0,5,8,3,1444,487,4,0,0,0,491,837,0,5,8,3,853
Domestic violence,478,4,0,0,0,482,true,false,false,3739,0,0,22,2,3763,489,4,0,0,0,493,1037,0,0,22,2,1061
Domestic violence in South Africa,72,8,0,1,0,81,true,true,false,197,0,0,2,0,199,69,8,0,1,0,78,39,0,0,2,0,41
Drakensberg,435,23,3,2,1,464,false,false,false,458,0,0,4,0,462,374,22,3,2,1,402,243,0,0,4,0,247
Duration (music),96,16,0,1,0,113,false,false,false,344,0,1,7,1,353,81,16,0,1,0,98,330,0,1,7,1,339
Economy of South Africa,474,7,7,7,1,496,false,false,false,1093,0,3,8,3,1107,411,7,5,7,1,431,499,0,3,8,3,513
Ecosystem,493,4,0,0,0,497,false,false,false,1092,0,8,12,9,1121,493,4,0,0,0,497,764,0,8,12,9,793
Electrical conductor,456,16,15,2,1,490,false,false,false,201,0,0,2,0,203,362,17,16,2,1,398,162,0,0,2,0,164
Electrical network,424,48,4,3,1,480,false,false,false,180,0,1,2,0,183,350,50,4,3,1,408,140,0,1,2,0,143
Electricity generation,478,5,8,0,0,491,false,false,false,470,0,6,2,4,482,476,5,6,0,0,487,335,0,6,2,4,347
Energy in South Africa,99,9,0,2,2,112,false,false,false,190,0,3,1,1,195,93,9,0,2,2,106,80,0,3,1,1,85
Fair trade,477,9,2,2,3,493,false,false,false,1529,0,6,12,11,1558,458,10,2,2,3,475,661,0,5,12,11,689
Farm,483,5,4,0,2,494,false,false,false,365,0,2,2,7,376,483,3,3,0,1,490,206,0,2,2,7,217
Fiber,478,6,5,0,0,489,false,false,false,424,0,2,6,3,435,471,6,4,0,0,481,357,0,2,6,2,367
Fire safety,403,27,0,1,0,431,false,false,false,338,0,0,4,5,347,316,25,0,1,0,342,226,0,0,4,4,234
Flag of South Africa,422,47,6,13,0,488,false,false,false,246,0,2,4,0,252,301,47,5,11,0,364,164,0,2,4,0,170
Food,261,1,0,0,0,262,false,false,false,1742,0,12,10,10,1774,498,1,0,0,0,499,1317,0,12,10,10,1349
Food group,60,9,0,0,0,69,false,false,false,141,0,0,0,1,142,14,8,2,0,0,24,67,0,0,0,1,68
Food pyramid (nutrition),49,7,0,0,0,56,false,false,false,360,0,2,0,0,362,15,6,0,0,0,21,148,0,2,0,0,150
Food security,447,15,21,2,0,485,false,false,false,1258,0,5,4,5,1272,423,16,21,2,0,462,498,0,4,4,5,511
Food vs. fuel,282,61,2,3,4,352,false,false,false,960,0,2,2,3,967,266,61,2,3,4,336,358,0,2,2,3,365
Frances Baard,14,3,1,0,0,18,true,false,false,102,0,0,0,0,102,10,2,1,0,0,13,46,0,0,0,0,46
Free State (province),442,9,0,9,11,471,false,false,false,367,0,0,4,0,371,364,7,0,9,11,391,261,0,0,4,0,265
Freedom Day (South Africa),46,3,2,1,0,52,false,false,false,38,0,0,2,0,40,32,4,1,1,0,38,22,0,0,2,0,24
Gana and Gwi people,31,1,0,1,1,34,false,false,false,54,0,0,4,0,58,9,1,0,0,0,10,12,0,0,3,0,15
Gangster,442,42,3,0,0,487,false,false,false,617,0,3,2,0,622,393,41,2,0,0,436,334,0,2,3,0,339
Gas,481,4,2,1,0,488,false,false,true,520,0,0,4,0,524,0,0,0,0,0,0,0,0,0,0,0,0
Gauteng,490,0,2,0,0,492,false,false,false,756,0,1,4,0,761,496,0,3,0,0,499,372,0,1,4,0,377
Gender role,438,15,7,0,2,462,true,true,true,1173,0,5,6,3,1187,46,11,4,1,0,62,487,0,5,6,3,501
Gender stereotypes,47,11,4,1,0,63,false,false,false,1173,0,5,6,3,1187,0,0,0,0,0,0,0,0,0,0,0,0
Glass,458,5,0,0,0,463,false,false,false,1038,0,0,9,1,1048,492,5,0,0,0,497,730,0,0,9,1,740
Griqua people,262,6,3,6,1,278,false,false,false,212,0,0,2,0,214,246,7,2,6,0,261,139,0,0,2,0,141
Hand washing,311,40,3,3,0,357,true,true,false,707,0,0,6,4,717,214,39,3,3,0,259,354,0,0,6,2,362
Health,407,15,5,0,5,432,false,false,false,489,0,1,0,0,490,458,14,3,0,5,480,234,0,1,0,0,235
Healthcare in South Africa,29,3,0,0,0,32,false,false,false,329,0,1,6,3,339,93,5,0,2,0,100,280,0,1,6,3,290
Herero and Namaqua Genocide,272,22,8,8,0,310,true,false,false,736,0,3,6,0,745,220,21,8,8,0,257,323,0,3,6,1,333
Heritage Day (South Africa),63,3,4,1,0,71,true,true,false,58,0,0,2,0,60,27,3,1,1,0,32,34,0,0,2,0,36
History of South Africa,438,27,7,7,1,480,false,false,false,1622,0,2,11,114,1749,331,25,7,7,1,371,912,0,2,10,5,929
History of writing,459,10,15,5,1,490,false,false,false,1112,0,0,10,4,1126,361,23,16,5,1,406,901,0,0,10,4,915
HIV,471,1,4,0,0,476,false,false,false,1519,0,2,8,0,1529,496,1,0,0,0,497,824,0,2,57,0,883
HIV/AIDS,493,1,0,1,1,496,false,false,false,2647,0,2,8,0,2657,488,1,2,1,1,493,1250,0,2,73,1,1326
Home safety,9,2,0,0,0,11,false,false,false,68,0,0,0,0,68,1,2,0,0,0,3,11,0,0,0,0,11
Human nutrition,376,53,5,3,0,437,false,false,false,1853,0,4,10,13,1880,191,43,5,2,0,241,875,0,2,8,2,887
Human Rights Day,227,17,17,4,0,265,true,true,false,196,0,2,0,1,199,174,17,14,3,0,208,84,0,0,0,1,85
Human swimming,490,2,3,0,1,496,false,false,false,435,0,1,2,0,438,494,2,3,0,1,500,271,0,1,2,1,275
Hydraulics,477,8,1,1,1,488,false,false,false,218,0,0,2,0,220,477,8,0,1,1,487,131,0,0,2,0,133
Insulator (electricity),332,93,4,3,0,432,false,false,false,328,0,1,2,0,331,261,86,4,3,0,354,238,0,1,2,0,241
Kaditshwene,22,1,1,0,0,24,false,false,true,53,0,0,4,0,57,0,0,0,0,0,0,0,0,0,0,0,0
Khoikhoi,366,33,10,5,2,416,true,true,false,250,0,1,4,0,255,298,30,8,5,1,342,70,0,1,0,0,71
Khoisan languages,187,24,0,22,1,234,false,false,false,229,0,0,2,0,231,29,1,0,1,1,32,180,0,0,2,0,182
Kingdom of Mapungubwe,489,5,0,4,1,499,false,false,false,412,0,0,7,1,420,31,4,0,0,0,35,285,0,0,6,1,292
Later Stone Age,61,12,0,2,0,75,false,false,false,370,0,0,2,1,373,51,10,0,2,0,63,330,0,0,2,1,333
Latitude,489,4,0,0,0,493,false,false,false,478,0,0,2,0,480,489,5,0,0,0,494,283,0,0,2,0,285
Liquid fuel,65,4,4,0,0,73,false,false,false,153,0,0,0,0,153,61,3,4,0,0,68,104,0,0,0,0,104
List of South Africans,149,12,1,1,0,163,false,false,false,1198,0,1,2,20,1221,117,14,0,1,0,132,1010,0,1,2,20,1033
Longitude,466,11,1,2,0,480,false,false,false,606,0,1,10,1,618,470,11,0,2,0,483,515,0,1,10,1,527
Mahatma Gandhi,489,4,0,0,0,493,false,false,false,3380,0,7,21,13,3421,491,5,0,0,0,496,2255,0,7,21,13,2296
Makhonjwa Mountains,11,1,1,0,0,13,false,false,true,42,0,0,4,0,46,0,0,0,0,0,0,0,0,0,0,0,0
Malaria,491,2,0,0,0,493,false,false,false,2098,0,0,6,0,2104,497,2,0,0,0,499,961,0,0,18,2,981
Mandela Day,111,4,0,1,0,116,false,false,false,132,0,0,2,2,136,95,4,0,1,0,100,100,0,0,2,2,104
Map,406,72,5,0,3,486,false,false,false,485,0,2,6,4,497,416,69,4,0,3,492,400,0,2,6,4,412
Mapungubwe Museum,40,0,0,1,12,53,true,true,false,69,0,0,4,4,77,36,0,0,1,12,49,56,0,0,4,4,64
Mapungubwe National Park,37,4,0,1,0,42,false,false,false,177,0,0,2,0,179,31,3,0,1,0,35,99,0,0,2,0,101
Mind map,438,46,3,2,2,491,false,false,true,230,0,0,2,3,235,0,0,0,0,0,0,0,0,0,0,0,0
Mining industry of South Africa,174,7,3,2,0,186,false,false,false,325,0,0,4,0,329,138,7,2,2,0,149,185,0,0,4,0,189
Mpumalanga,475,4,2,10,3,494,false,false,false,342,0,0,4,0,346,474,4,1,10,3,492,257,0,0,4,0,261
Music of Africa,464,20,5,5,3,497,false,false,false,610,0,4,6,17,637,318,36,0,7,7,368,398,0,1,4,1,404
Music of South Africa,420,39,0,7,7,473,false,false,false,837,0,2,6,4,849,266,13,6,1,1,287,485,0,4,6,13,508
National anthem of South Africa,157,6,0,2,0,165,false,false,false,146,0,0,9,0,155,106,6,0,2,0,114,115,0,0,9,0,124
National symbols of South Africa,105,8,0,2,0,115,false,false,false,99,0,0,0,0,99,99,9,0,2,0,110,31,0,0,0,0,31
National Women's Day,55,2,12,1,0,70,false,false,false,70,0,0,4,0,74,41,2,11,1,0,55,40,0,0,4,0,44
Nelson Mandela,493,2,0,0,0,495,true,true,false,3211,0,0,58,2,3271,498,2,0,0,0,500,1258,0,0,55,2,1315
Nest,413,41,30,7,0,491,false,false,false,323,0,0,0,0,323,352,40,30,7,0,429,126,0,0,0,0,126
Noise pollution,468,13,8,1,1,491,false,false,false,383,0,0,4,0,387,378,13,8,1,1,401,242,0,0,4,0,246
Oliver Tambo,298,11,0,4,1,314,true,true,false,278,0,0,4,6,288,268,11,0,4,1,284,185,0,0,4,6,195
Outer space,485,5,2,0,0,492,false,false,false,1500,0,6,4,2,1512,472,6,0,0,0,478,827,0,6,4,2,839
Outline of domestic violence,187,19,5,4,0,215,false,false,false,575,0,13,2,0,590,158,18,5,3,0,184,311,0,13,2,0,326
Paper,484,5,2,0,0,491,false,false,false,903,0,2,12,2,919,493,5,0,0,0,498,765,0,2,12,2,781
People Against Gangsterism and Drugs,28,8,0,0,0,36,false,false,false,388,0,3,7,3,401,244,10,0,1,3,258,329,0,3,7,3,342
Petrol-paraffin engine,17,1,0,0,0,18,false,false,false,107,0,0,0,0,107,11,1,0,0,0,12,45,0,0,0,0,45
Pitch (music),477,1,0,1,0,479,false,false,false,458,0,0,7,0,465,494,1,0,1,0,496,296,0,0,7,0,303
Pneumatics,435,36,4,2,0,477,false,false,false,145,0,0,2,0,147,290,33,4,2,0,329,119,0,0,2,0,121
Politics of South Africa,461,7,9,16,4,497,false,false,false,624,0,2,14,5,645,437,8,9,16,5,475,539,0,2,14,5,560
Pollution,482,12,1,0,1,496,false,false,false,870,0,1,6,4,881,479,14,1,0,1,495,629,0,1,6,5,641
Processed food,72,6,0,0,0,78,false,false,true,356,0,2,2,0,360,0,0,0,0,0,0,0,0,0,0,0,0
Rail transport,384,0,0,0,0,384,false,false,false,1115,0,5,10,1,1131,499,0,0,0,0,499,730,0,4,10,1,745
Rail transport in South Africa,465,10,0,1,1,477,false,false,false,261,0,0,2,0,263,441,8,0,1,1,451,155,0,0,2,0,157
Reproduction,451,14,5,0,2,472,false,false,false,389,0,1,2,1,393,454,11,3,0,1,469,284,0,1,2,1,288
Right to food,128,14,2,2,0,146,false,false,false,718,0,2,6,1,727,115,15,2,2,0,134,327,0,2,6,1,336
Road map,31,5,2,1,1,40,false,false,false,125,0,0,0,0,125,28,5,2,1,1,37,70,0,0,0,0,70
Rock (geology),492,2,0,0,1,495,false,false,false,261,0,1,0,0,262,490,2,0,0,1,493,219,0,2,2,1,224
Saartjie Baartman,87,8,0,0,0,95,false,false,false,443,0,2,0,0,445,9,3,0,0,0,12,131,0,2,0,1,134
San healing practices,17,1,3,0,0,21,true,true,false,62,0,1,1,0,64,7,1,3,0,0,11,5,0,0,1,0,6
San people,310,17,5,4,1,337,true,true,false,842,0,0,6,0,848,242,15,2,3,0,262,299,0,0,2,0,301
San religion,398,31,6,5,4,444,false,false,false,315,0,1,6,2,324,96,7,4,3,3,113,194,0,0,6,2,202
San rock art,19,1,0,0,0,20,true,true,false,70,0,0,0,0,70,11,1,0,0,0,12,20,0,0,0,0,20
Sand,492,3,0,1,0,496,false,false,false,456,0,0,4,1,461,490,3,0,1,0,494,375,0,0,4,1,380
Scale (map),167,23,5,9,0,204,false,false,false,169,0,0,0,0,169,117,21,5,9,0,152,64,0,0,0,0,64
Scientific method,440,8,0,0,0,448,false,false,false,1651,0,5,4,7,1667,476,10,0,0,0,486,1051,0,5,4,7,1067
Settling,56,25,0,0,0,81,false,false,false,86,0,0,0,0,86,55,22,0,0,0,77,43,0,0,0,0,43
Sexism,466,6,1,0,1,474,true,false,false,2650,0,12,13,11,2686,473,6,1,0,1,481,1284,0,12,13,10,1319
Sieve,219,32,0,0,0,251,false,false,false,79,0,1,0,0,80,14,4,0,0,0,18,29,0,1,0,0,30
Soil,478,2,1,0,0,481,false,false,false,1894,0,7,4,6,1911,494,2,0,0,0,496,863,0,7,4,6,880
Sound,470,5,0,1,5,481,false,false,false,412,0,0,4,1,417,482,5,0,1,5,493,248,0,0,4,1,253
South Africa,490,0,1,0,0,491,false,false,false,2707,0,2,24,4,2737,484,7,2,3,0,496,690,0,5,6,5,706
South African cuisine,487,7,2,3,0,499,false,false,false,759,0,5,6,5,775,348,2,0,1,0,351,1585,0,0,2,6,1593
South African locomotive history,366,3,0,6,0,375,false,false,false,2090,0,0,2,6,2098,281,19,7,2,2,311,1832,0,2,24,5,1863
Standard Model,432,22,10,2,1,467,false,false,false,982,0,3,10,1,996,402,33,8,4,1,448,760,0,3,10,7,780
Stereotype,465,11,0,1,2,479,false,false,false,1189,0,3,6,1,1199,473,10,0,1,2,486,667,0,3,6,5,681
Steve Biko,468,8,10,5,0,491,false,false,false,670,0,0,6,7,683,431,8,8,5,0,452,484,0,0,6,7,497
Tap (valve),157,13,2,0,0,172,false,false,false,128,0,0,0,0,128,112,12,2,0,0,126,74,0,0,0,0,74
Textile,491,1,0,0,0,492,false,false,false,846,0,0,6,1,853,497,1,0,0,0,498,723,0,0,6,1,730
Trade,461,3,2,1,0,467,false,false,false,850,0,1,6,3,860,494,4,0,1,0,499,419,0,1,5,3,428
Transport,411,6,0,0,0,417,false,false,false,1190,0,4,8,7,1209,485,6,0,0,0,491,988,0,4,8,7,1007
Transport in South Africa,184,5,0,2,2,193,true,false,false,394,0,1,6,5,406,164,5,0,2,2,173,336,0,1,6,5,348
Vibration,451,20,5,2,1,479,false,false,false,311,0,0,2,0,313,412,20,4,2,1,439,221,0,0,2,0,223
Walter Sisulu,486,5,1,3,1,496,true,true,false,581,0,1,6,7,595,238,11,1,3,1,254,210,0,0,4,6,220
Water filter,195,16,1,0,1,213,false,false,false,137,0,0,0,0,137,84,15,1,0,1,101,69,0,0,0,0,69
Water pollution,476,2,7,0,3,488,true,true,false,826,0,11,8,7,852,458,3,8,0,3,472,609,0,11,8,7,635
Water privatisation in South Africa,8,5,0,0,1,14,false,true,false,65,0,0,0,0,65,2,5,0,0,0,7,22,0,0,0,0,22
Water supply and sanitation in South Africa,65,12,3,0,2,82,true,true,false,494,0,0,2,0,496,41,12,0,0,2,55,113,0,0,2,1,116
Water well,495,0,0,1,0,496,false,false,false,413,0,0,2,0,415,494,0,0,1,0,495,248,0,0,2,0,250
Wax,476,7,4,0,3,490,false,false,false,412,0,2,4,1,419,480,7,3,0,3,493,332,0,2,4,1,339
Western Cape,487,2,2,1,1,493,true,true,false,625,0,0,4,0,629,489,2,2,1,1,495,410,0,0,4,1,415
Wetland,498,0,0,0,0,498,false,false,false,938,0,4,4,3,949,487,5,3,0,2,497,514,0,2,4,3,523
Wildlife conservation,433,22,20,1,2,478,false,false,false,298,0,8,4,7,317,488,0,2,0,1,491,197,0,7,2,6,212
Wildlife management,374,18,13,4,1,410,false,false,false,353,0,9,2,6,370,320,18,13,4,1,356,263,0,9,2,6,280
Winnie Madikizela-Mandela,454,33,3,5,0,495,true,false,false,543,0,0,6,6,555,389,31,2,5,0,427,326,0,0,6,6,338
Wood,492,2,0,0,0,494,true,false,false,1248,0,13,10,25,1296,498,2,0,0,0,500,1040,0,13,10,25,1088
Wool,498,0,0,0,0,498,false,false,false,891,0,0,6,1,898,500,0,0,0,0,500,659,0,0,6,0,665
Youth culture,151,19,3,0,0,173,false,false,false,145,0,0,0,0,145,128,18,3,0,0,149,35,0,0,0,0,35
