article,entry_links_aug15,exit_links_aug15,pagerank_aug15,daily_pageview_aug15,issues_aug15,references_aug15,notes_aug15,images_aug15,seeAlso_aug15,entry_links_sep15,exit_links_sep15,pagerank_sep15,daily_pageview_sep15,issues_sep15,references_sep15,notes_sep15,images_sep15,seeAlso_sep15,entry_links_diff,exit_links_diff,pagerank_diff,daily_pageview_diff,issues_diff,references_diff,notes_diff,images_diff,seeAlso_diff
Bias,423,136,6,798,4,10,0,3,0,456,544,6,-,0,81,0,1,0,33,408,0,-,-4,71,0,-2,0
Bicycle,483,549,6,2084,0,119,0,58,0,483,549,6,-,0,123,0,58,0,0,0,0,-,0,4,0,0,0
Bill of Rights (South Africa),18,208,6,8,0,4,0,4,0,18,208,6,-,0,4,0,4,0,0,0,0,-,0,0,0,0,0
Biome,457,226,6,1439,2,11,0,13,0,457,189,6,-,1,10,0,13,0,0,-37,0,-,-1,-1,0,0,0
Bird nest,494,424,5,319,0,107,0,36,1,494,424,5,-,0,107,0,36,1,0,0,0,-,0,0,0,0,0
Boiling,403,121,6,403,1,8,0,5,4,404,121,6,-,1,8,0,5,4,1,0,0,-,0,0,0,0,0
Borehole,310,123,5,263,0,5,0,4,4,310,123,5,-,0,5,0,4,4,0,0,0,-,0,0,0,0,0
Bullying,486,586,6,3369,2,90,0,2,1,485,591,6,-,2,90,0,4,1,-1,5,0,-,0,0,0,2,0
Castle of Good Hope,109,59,5,89,0,10,1,16,3,109,59,5,-,0,10,1,16,3,0,0,0,-,0,0,0,0,0
Cell (biology),498,637,6,3343,0,29,0,26,0,498,638,6,-,0,30,0,26,0,0,1,0,-,0,1,0,0,0
Ceramic,499,146,6,1203,0,11,0,12,5,499,146,6,-,0,11,0,12,5,0,0,0,-,0,0,0,0,0
Child abuse,493,622,6,1429,0,202,0,9,0,495,721,6,-,0,203,0,10,0,2,99,0,-,0,1,0,1,0
Children's Act (South Africa),1,24,4,1,0,0,0,1,0,1,24,4,-,0,0,0,1,0,0,0,0,-,0,0,0,0,0
Children's Day,258,435,6,1750,0,52,0,33,3,257,435,6,-,0,51,0,33,3,-1,0,0,-,0,-1,0,0,0
Circuit diagram,158,53,6,452,1,9,0,12,0,158,53,6,-,1,9,0,12,0,0,0,0,-,0,0,0,0,0
Clay,499,208,6,1126,0,7,0,12,0,499,208,6,-,0,7,0,12,0,0,0,0,-,0,0,0,0,0
Climate,500,847,6,1460,0,51,0,23,16,500,851,6,-,0,53,0,23,16,0,4,0,-,0,2,0,0,0
Coal,500,708,6,2793,0,141,0,34,0,500,705,6,-,0,150,0,34,0,0,-3,0,-,0,9,0,0,0
Coal in South Africa,103,154,4,95,0,25,0,8,2,104,155,4,-,0,25,0,8,2,1,1,0,-,0,0,0,0,0
Control variable,17,16,4,466,1,1,0,1,0,20,6,4,-,0,3,0,1,0,3,-10,0,-,-1,2,0,0,0
Convenience food,148,160,5,266,0,34,0,10,0,151,177,5,-,0,37,0,12,0,3,17,0,-,0,3,0,2,0
Cooking,485,923,6,1739,1,37,0,19,0,486,939,6,-,1,37,0,21,0,1,16,0,-,0,0,0,2,0
Cradle of Humankind,113,79,5,196,0,7,0,5,0,122,85,5,-,0,13,0,5,0,9,6,0,-,0,6,0,0,0
Decanting,7,16,5,8,0,0,0,5,0,7,16,5,-,0,0,0,5,0,0,0,0,-,0,0,0,0,0
Dependent and independent variables,263,50,6,3635,1,16,0,3,1,264,53,6,-,1,17,0,3,3,1,3,0,-,0,1,0,0,2
Design,490,418,6,1360,1,36,0,11,1,490,419,6,-,1,36,0,11,1,0,1,0,-,0,0,0,0,0
Discrimination,491,853,6,1509,4,137,0,30,40,491,860,6,-,4,137,0,30,40,0,7,0,-,0,0,0,0,0
Domestic violence,493,1061,6,1936,1,351,8,35,5,493,1061,6,-,1,349,8,35,5,0,0,0,-,0,-2,0,0,0
Domestic violence in South Africa,78,41,0,24,0,22,0,8,0,77,41,0,-,0,22,0,8,0,-1,0,0,-,0,0,0,0,0
Drakensberg,402,247,5,255,0,19,0,19,2,402,252,5,-,0,19,0,19,2,0,5,0,-,0,0,0,0,0
Duration (music),98,339,5,64,0,2,0,4,1,99,342,5,-,0,2,0,4,1,1,3,0,-,0,0,0,0,0
Economy of South Africa,431,513,6,710,1,111,0,16,0,431,513,6,-,0,112,0,16,0,0,0,0,-,-1,1,0,0,0
Ecosystem,497,793,6,2540,0,46,1,32,8,497,791,6,-,0,46,1,32,8,0,-2,0,-,0,0,0,0,0
Electrical conductor,398,164,6,924,1,2,0,6,0,398,165,6,-,1,2,0,6,0,0,1,0,-,0,0,0,0,0
Electrical network,408,143,6,325,1,0,0,5,31,408,143,6,-,1,0,0,5,31,0,0,0,-,0,0,0,0,0
Electricity generation,487,347,6,1339,1,22,0,24,0,487,347,6,-,1,22,0,24,0,0,0,0,-,0,0,0,0,0
Energy in South Africa,106,85,4,54,0,19,0,5,0,107,86,4,-,0,21,0,5,0,1,1,0,-,0,2,0,0,0
Fair trade,475,689,6,1202,2,169,0,18,4,477,692,6,-,2,172,0,18,4,2,3,0,-,0,3,0,0,0
Farm,490,217,6,523,1,27,0,23,0,490,217,6,-,1,27,0,23,0,0,0,0,-,0,0,0,0,0
Fiber,481,367,6,808,1,9,0,7,0,477,369,6,-,1,9,0,7,0,-4,2,0,-,0,0,0,0,0
Fire safety,342,234,5,337,4,8,0,6,12,355,259,5,-,4,8,0,6,12,13,25,0,-,0,0,0,0,0
Flag of South Africa,364,170,6,770,0,10,0,22,0,366,170,6,-,0,10,0,22,0,2,0,0,-,0,0,0,0,0
Food,499,1349,6,6801,0,93,93,61,0,499,1366,6,-,0,93,93,61,0,0,17,0,-,0,0,0,0,0
Food groups,24,68,4,26,0,10,0,4,1,24,68,4,-,0,10,0,4,1,0,0,0,-,0,0,0,0,0
Food pyramid (nutrition),21,150,0,259,0,41,0,16,3,20,150,0,-,0,42,0,16,3,-1,0,0,-,0,1,0,0,0
Food security,462,511,6,990,1,133,0,35,0,461,511,6,-,1,133,0,35,0,-1,0,0,-,0,0,0,0,0
Food vs. fuel,336,365,5,128,0,145,0,7,0,335,365,5,-,0,145,0,7,0,-1,0,0,-,0,0,0,0,0
Frances Baard,13,46,5,16,0,7,0,0,0,14,46,5,-,0,7,0,0,0,1,0,0,-,0,0,0,0,0
Free State (province),391,265,5,122,0,4,0,17,1,435,272,5,-,0,4,0,17,1,44,7,0,-,0,0,0,0,0
Freedom Day (South Africa),38,24,5,166,0,2,0,3,7,38,24,5,-,0,2,0,3,0,0,0,0,-,0,0,0,0,-7
Gana and Gwi people,10,15,0,6,3,0,0,1,2,30,41,0,-,3,0,0,1,2,20,26,0,-,0,0,0,0,0
Gangster,436,339,5,612,1,53,0,19,0,437,339,5,-,1,53,0,19,0,1,0,0,-,0,0,0,0,0
Gauteng,499,377,6,464,0,73,0,20,0,499,378,6,-,0,73,0,20,0,0,1,0,-,0,0,0,0,0
Gender stereotypes,62,501,6,25,4,185,0,41,0,62,502,6,-,4,184,0,41,0,0,1,0,-,0,-1,0,0,0
Glass,497,740,6,1987,1,57,0,91,12,498,749,6,-,1,57,0,91,15,1,9,0,-,0,0,0,0,3
Griqua people,261,141,5,124,0,8,0,11,3,266,142,5,-,0,8,0,11,3,5,1,0,-,0,0,0,0,0
Hand washing,259,362,5,306,0,64,0,20,11,261,410,5,-,0,64,0,20,11,2,48,0,-,0,0,0,0,0
Health,480,235,6,2712,1,43,0,12,1,480,235,6,-,1,43,0,12,1,0,0,0,-,0,0,0,0,0
Health care in South Africa,100,290,6,13,0,26,26,5,8,101,291,6,-,0,29,29,7,9,1,1,0,-,0,3,3,2,1
Herero and Namaqua Genocide,257,333,5,375,1,88,0,25,0,258,334,5,-,1,88,0,25,0,1,1,0,-,0,0,0,0,0
Heritage Day (South Africa),32,36,5,270,0,5,0,3,0,42,35,5,-,0,5,0,3,0,10,-1,0,-,0,0,0,0,0
History of South Africa,371,929,6,795,8,159,0,76,15,370,1151,6,-,7,172,0,77,15,-1,222,0,-,-1,13,0,1,0
History of writing,406,915,6,786,0,37,2,12,0,405,915,6,-,0,37,2,13,0,-1,0,0,-,0,0,0,1,0
HIV,497,883,6,4584,0,124,0,27,0,497,887,6,-,0,125,0,27,0,0,4,0,-,0,1,0,0,0
HIV/AIDS,493,1326,6,5317,0,265,0,32,0,493,1327,6,-,0,266,0,32,0,0,1,0,-,0,1,0,0,0
Home safety,3,11,4,41,1,4,0,0,2,3,11,4,-,1,4,0,0,2,0,0,0,-,0,0,0,0,0
Hottentot Venus,12,134,5,217,1,59,0,20,0,11,136,5,-,0,59,0,19,0,-1,2,0,-,-1,0,0,-1,0
Human nutrition,241,887,5,434,2,95,0,10,0,243,937,5,-,2,94,0,10,0,2,50,0,-,0,-1,0,0,0
Human Rights Day,208,85,5,246,0,19,0,7,5,207,80,5,-,0,19,0,7,5,-1,-5,0,-,0,0,0,0,0
Human swimming,500,275,5,335,0,23,0,17,0,500,274,5,-,0,23,0,17,0,0,-1,0,-,0,0,0,0,0
Hydraulics,487,133,6,745,0,9,9,8,7,487,133,6,-,0,9,9,8,7,0,0,0,-,0,0,0,0,0
Insulator (electricity),354,241,6,741,0,9,9,24,0,353,242,6,-,0,9,9,24,0,-1,1,0,-,0,0,0,0,0
Khoikhoi,342,71,5,483,1,9,0,12,0,355,104,5,-,1,9,0,12,0,13,33,0,-,0,0,0,0,0
Khoikhoi mythology,90,202,5,39,0,27,0,2,0,90,202,5,-,0,27,0,2,0,0,0,0,-,0,0,0,0,0
Later Stone Age,63,333,5,44,0,7,0,4,0,62,333,5,-,0,7,0,4,0,-1,0,0,-,0,0,0,0,0
Latitude,494,285,6,1989,2,16,0,24,18,493,286,6,-,2,16,0,24,18,-1,1,0,-,0,0,0,0,0
Liquid fuel,68,104,5,121,1,3,0,3,0,68,104,5,-,1,3,0,3,0,0,0,0,-,0,0,0,0,0
List of South Africans,132,1033,6,239,1,2,0,66,6,132,1033,6,-,1,2,0,67,6,0,0,0,-,0,0,0,1,0
Longitude,483,527,6,1452,0,11,0,10,18,483,530,6,-,0,11,0,10,18,0,3,0,-,0,0,0,0,0
Mahatma Gandhi,496,2296,6,12774,1,275,0,68,5,496,2310,6,-,0,275,0,68,5,0,14,0,-,-1,0,0,0,0
Malaria,499,981,6,4720,0,190,0,31,0,499,981,6,-,0,190,0,37,0,0,0,0,-,0,0,0,6,0
Mandela Day,100,104,5,110,0,6,0,3,0,100,104,5,-,0,6,0,3,0,0,0,0,-,0,0,0,0,0
Map,492,412,6,1772,0,6,0,21,0,492,411,6,-,0,6,0,21,0,0,-1,0,-,0,0,0,0,0
Mapungubwe,35,292,5,34,0,11,11,19,11,35,331,5,-,0,11,11,19,11,0,39,0,-,0,0,0,0,0
Mapungubwe Museum,49,64,5,10,0,1,0,7,0,49,64,5,-,0,1,0,7,0,0,0,0,-,0,0,0,0,0
Mapungubwe National Park,35,101,4,26,0,9,0,7,1,37,103,4,-,0,9,0,7,1,2,2,0,-,0,0,0,0,0
Mining industry of South Africa,149,189,6,316,1,27,0,8,1,182,168,6,-,1,28,0,8,1,33,-21,0,-,0,1,0,0,0
Mpumalanga,492,261,5,204,0,9,0,9,1,492,261,5,-,0,9,0,9,1,0,0,0,-,0,0,0,0,0
Music of South Africa,368,404,6,232,2,12,0,2,4,371,405,6,-,2,12,0,2,4,3,1,0,-,0,0,0,0,0
National anthem of South Africa,114,124,5,358,0,6,0,1,5,115,124,5,-,0,6,0,1,5,1,0,0,-,0,0,0,0,0
National symbols of South Africa,110,31,4,52,0,9,0,12,5,111,31,4,-,0,9,0,12,5,1,0,0,-,0,0,0,0,0
National Women's Day,55,44,5,165,0,4,0,4,3,54,43,5,-,0,4,0,4,3,-1,-1,0,-,0,0,0,0,0
Nelson Mandela,500,1315,6,11797,0,401,0,58,0,500,1420,6,-,0,420,0,64,0,0,105,0,-,0,19,0,6,0
Nest,429,126,5,212,0,11,0,16,3,428,126,5,-,0,11,0,16,3,-1,0,0,-,0,0,0,0,0
Noise pollution,401,246,5,1584,0,25,0,10,6,401,246,5,-,0,24,0,10,6,0,0,0,-,0,-1,0,0,0
Oliver Tambo,284,195,6,171,1,13,13,4,0,289,196,6,-,1,13,13,4,0,5,1,0,-,0,0,0,0,0
Outer space,478,839,6,1206,0,139,0,32,0,478,841,6,-,0,139,0,32,0,0,2,0,-,0,0,0,0,0
Outline of domestic violence,184,326,5,69,0,65,0,2,9,182,327,5,-,0,65,0,2,9,-2,1,0,-,0,0,0,0,0
Paper,498,781,6,1381,0,26,0,10,26,498,794,6,-,0,27,0,10,26,0,13,0,-,0,1,0,0,0
People Against Gangsterism and Drugs,258,342,5,38,0,8,0,5,0,259,342,5,-,0,8,0,5,0,1,0,0,-,0,0,0,0,0
Petrol-paraffin engine,12,45,3,16,1,8,0,9,0,12,45,3,-,1,8,0,9,0,0,0,0,-,0,0,0,0,0
Pitch (music),496,303,6,988,1,23,0,5,17,496,304,6,-,1,23,0,5,18,0,1,0,-,0,0,0,0,1
Pneumatics,329,121,5,717,0,1,1,2,4,331,121,5,-,0,1,1,2,4,2,0,0,-,0,0,0,0,0
Politics of South Africa,475,560,6,186,1,3,0,9,0,475,561,6,-,1,3,0,9,0,0,1,0,-,0,0,0,0,0
Pollution,495,641,6,4949,0,54,0,24,1,495,640,6,-,0,54,0,24,1,0,-1,0,-,0,0,0,0,0
Rail transport,499,745,6,756,0,49,1,57,0,499,744,6,-,0,49,1,57,0,0,-1,0,-,0,0,0,0,0
Rail transport in South Africa,451,157,4,90,0,14,0,6,15,452,157,4,-,0,14,0,6,15,1,0,0,-,0,0,0,0,0
Reconciliation Day,1,31,5,4,0,2,0,1,0,1,31,5,-,0,2,0,1,0,0,0,0,-,0,0,0,0,0
Reproduction,469,288,6,872,0,20,20,7,7,469,288,6,-,0,20,20,7,7,0,0,0,-,0,0,0,0,0
Republic of South Africa,311,1863,7,151,1,181,1,86,0,311,1881,7,-,1,183,1,86,0,0,18,0,-,0,2,0,0,0
Right to food,134,336,6,156,0,69,0,13,0,132,336,6,-,0,69,0,13,0,-2,0,0,-,0,0,0,0,0
Road map,37,70,4,59,0,7,0,12,1,37,70,4,-,0,7,0,12,1,0,0,0,-,0,0,0,0,0
Rock (geology),493,224,6,1167,0,11,0,18,0,493,186,6,-,0,11,0,18,0,0,-38,0,-,0,0,0,0,0
San healing practices,11,6,0,13,1,10,0,0,1,11,6,0,-,1,10,0,0,1,0,0,0,-,0,0,0,0,0
San languages,32,182,6,11,0,5,5,1,0,32,182,6,-,0,5,5,1,0,0,0,0,-,0,0,0,0,0
San people,262,301,6,534,0,89,0,15,10,285,362,6,-,0,89,0,15,10,23,61,0,-,0,0,0,0,0
San religion,113,202,0,51,0,27,0,2,0,113,202,0,-,0,27,0,2,0,0,0,0,-,0,0,0,0,0
San rock art,12,20,0,31,0,9,9,2,9,12,20,0,-,0,9,9,2,9,0,0,0,-,0,0,0,0,0
Sand,494,380,6,1032,7,10,0,21,0,494,379,6,-,1,10,0,21,0,0,-1,0,-,-6,0,0,0,0
Scale (map),152,64,5,342,2,6,0,22,0,153,64,5,-,2,6,0,22,0,1,0,0,-,0,0,0,0,0
Scientific method,486,1067,6,3815,2,162,162,26,36,486,1072,6,-,2,162,162,26,36,0,5,0,-,0,0,0,0,0
Settling,77,43,5,135,0,5,0,6,5,77,43,5,-,0,5,0,6,5,0,0,0,-,0,0,0,0,0
Sexism,481,1319,6,1256,1,308,0,41,43,481,1352,6,-,0,310,0,43,43,0,33,0,-,-1,2,0,2,0
Sieving,18,30,5,19,1,6,0,8,0,18,31,5,-,1,6,0,8,0,0,1,0,-,0,0,0,0,0
Soil,496,880,6,1906,0,216,0,48,0,497,880,6,-,0,216,0,48,0,1,0,0,-,0,0,0,0,0
Sound,493,253,6,1963,0,8,0,13,25,493,254,6,-,0,8,0,13,25,0,1,0,-,0,0,0,0,0
South African cuisine,496,706,6,408,1,0,0,23,0,495,720,6,-,1,0,0,23,0,-1,14,0,-,0,0,0,0,0
South African locomotive history,351,1593,0,41,0,30,0,341,2,355,1599,0,-,0,30,0,341,2,4,6,0,-,0,0,0,0,0
Standard Model,448,780,6,1070,1,39,0,11,0,448,770,6,-,1,39,0,11,0,0,-10,0,-,0,0,0,0,0
Stereotype,486,681,6,1585,1,83,0,15,37,486,674,6,-,1,83,0,17,37,0,-7,0,-,0,0,0,2,0
Steve Biko,452,497,6,1098,0,42,0,4,4,450,499,6,-,0,42,0,6,4,-2,2,0,-,0,0,0,2,0
Tap (valve),126,74,5,263,1,2,0,15,0,126,75,5,-,1,2,0,15,0,0,1,0,-,0,0,0,0,0
Textile,498,730,6,1037,0,23,0,28,18,498,729,6,-,0,23,0,28,18,0,-1,0,-,0,0,0,0,0
Trade,499,428,6,891,0,50,50,18,0,499,578,6,-,0,50,50,18,0,0,150,0,-,0,0,0,0,0
Transport,491,1007,6,1353,0,33,33,42,0,491,1007,6,-,0,33,33,42,0,0,0,0,-,0,0,0,0,0
Transport in South Africa,173,348,6,76,0,6,0,9,0,175,348,6,-,0,6,0,9,0,2,0,0,-,0,0,0,0,0
Two foot gauge railways in South Africa,39,150,3,12,0,40,0,4,0,28,150,3,-,0,40,0,4,0,-11,0,0,-,0,0,0,0,0
Vibration,439,223,6,856,1,9,0,25,34,438,223,6,-,1,9,0,25,34,-1,0,0,-,0,0,0,0,0
Walter Sisulu,254,220,6,173,0,10,0,3,0,488,501,6,-,0,10,0,3,0,234,281,0,-,0,0,0,0,0
Water filter,101,69,5,268,1,10,0,5,9,100,69,5,-,1,10,0,5,9,-1,0,0,-,0,0,0,0,0
Water pollution,472,635,6,4019,0,42,0,38,0,471,635,6,-,0,42,0,38,0,-1,0,0,-,0,0,0,0,0
Water privatization in South Africa,7,22,3,2,0,6,0,0,1,7,22,3,-,0,6,0,0,1,0,0,0,-,0,0,0,0,0
Water supply and sanitation in South Africa,55,116,4,125,0,67,0,11,4,57,114,4,-,0,67,0,11,4,2,-2,0,-,0,0,0,0,0
Water well,495,250,6,634,0,12,0,38,6,496,250,6,-,0,12,0,38,7,1,0,0,-,0,0,0,0,1
Wax,493,339,5,672,0,6,0,17,1,493,344,5,-,0,6,0,17,1,0,5,0,-,0,0,0,0,0
Western Cape,495,415,6,364,2,28,0,27,0,495,413,6,-,2,27,0,27,0,0,-2,0,-,0,-1,0,0,0
Wetlands,497,523,6,114,0,80,0,24,0,497,518,6,-,0,80,0,24,0,0,-5,0,-,0,0,0,0,0
Wildlife conservation,491,212,5,691,0,16,0,5,4,491,212,5,-,0,16,0,5,5,0,0,0,-,0,0,0,0,1
Wildlife management,356,280,5,164,0,20,0,5,0,354,280,5,-,0,20,0,5,0,-2,0,0,-,0,0,0,0,0
Winnie Madikizela-Mandela,427,338,6,984,2,43,0,5,1,430,340,6,-,2,42,0,5,1,3,2,0,-,0,-1,0,0,0
Wood,500,1088,6,1325,1,26,0,39,0,500,1088,6,-,1,27,0,39,0,0,0,0,-,0,1,0,0,0
Wool,500,665,6,1136,0,40,0,37,37,500,667,6,-,0,40,0,37,37,0,2,0,-,0,0,0,0,0
Youth culture,149,35,5,204,1,30,0,4,10,149,36,5,-,1,31,0,4,10,0,1,0,-,0,1,0,0,0
