article, notes, issues, references, seeAlso, images
Hottentot Venus,0,1,59,0,8
Human nutrition,0,2,95,0,3
Human Rights Day,0,0,19,5,3
Human swimming,0,0,23,0,8
Hydraulics,9,0,9,7,4
Insulator (electricity),9,0,9,0,11
Khoikhoi,0,1,9,0,5
Khoikhoi mythology,0,0,27,0,0
Later Stone Age,0,0,7,0,2
Latitude,0,2,16,18,11
Liquid fuel,0,1,3,0,1
List of South Africans,0,1,2,6,33
Longitude,0,0,11,18,3
Mahatma Gandhi,0,1,275,5,28
Malaria,0,0,190,0,15
Mandela Day,0,0,6,0,1
Map,0,0,6,0,10
Mapungubwe,11,0,11,11,9
Mapungubwe Museum,0,0,1,0,2
Mapungubwe National Park,0,0,9,1,2
Mining industry of South Africa,0,1,27,1,3
Mpumalanga,0,0,9,1,3
Music of South Africa,0,2,12,4,0
National anthem of South Africa,0,0,6,5,0
National symbols of South Africa,0,0,9,5,6
National Women's Day,0,0,4,3,1
Nelson Mandela,0,0,401,0,25
Nest,0,0,11,3,8
Noise pollution,0,0,25,6,5
Oliver Tambo,13,1,13,0,1
Outer space,0,0,139,0,12
Outline of domestic violence,0,0,65,9,1
Paper,0,0,26,26,4
People Against Gangsterism and Drugs,0,0,8,0,0
Petrol-paraffin engine,0,1,8,0,4
Pitch (music),0,1,23,17,2
Pneumatics,1,0,1,4,1
Politics of South Africa,0,1,3,0,2
Pollution,0,0,54,1,12
Rail transport,1,0,49,0,26
Rail transport in South Africa,0,0,14,15,3
Reconciliation Day,0,0,2,0,0
Reproduction,20,0,20,7,3
Republic of South Africa,1,1,181,0,36
Right to food,0,0,69,0,6
Road map,0,0,7,1,6
Rock (geology),0,0,11,0,8
San healing practices,0,1,10,1,0
San languages,5,0,5,0,0
San people,0,0,89,10,7
San religion,0,0,27,0,0
San rock art,9,0,9,9,1
Sand,0,7,10,0,9
Scale (map),0,2,6,0,10
Scientific classification (disambiguation),0,0,0,4,0
Scientific method,162,2,162,36,10
Settling,0,0,5,5,3
Sexism,0,1,308,43,16
Sieving,0,1,6,0,3
Soil,0,0,216,0,24
Sound,0,0,8,25,6
South African cuisine,0,1,0,0,9
South African locomotive history,0,0,30,2,340
Standard Model,0,1,39,0,3
Stereotype,0,1,83,37,6
Steve Biko,0,0,42,4,1
Structure (disambiguation),0,0,0,1,0
Tap (valve),0,1,2,0,7
Textile,0,0,23,18,12
Trade,50,0,50,0,8
Transport,33,0,33,0,20
Transport in South Africa,0,0,6,0,4
Two foot gauge railways in South Africa,0,0,40,0,1
Vibration,0,1,9,34,8
Volume (disambiguation),0,0,0,4,0
Walter Sisulu,0,0,10,0,1
Water filter,0,1,10,9,2
Water pollution,0,0,42,0,17
Water privatization in South Africa,0,0,6,1,0
Water supply and sanitation in South Africa,0,0,67,4,5
Water well,0,0,12,6,19
Wax,0,0,6,1,7
Western Cape,0,2,28,0,11
Wetlands,0,0,80,0,10
Wildlife conservation,0,0,16,4,2
Wildlife management,0,0,20,0,1
Winnie Madikizela-Mandela,0,2,43,1,1
Wood,0,1,26,0,16
Wool,0,0,40,37,17
Youth culture,0,1,30,10,2
