article,issues,references,notes,images,seeAlso,total,issues_2015,references_2015,notes_2015,images_2015,seeAlso_2015,total_2015,community,review,new_article
Drakensberg,0,19,0,10,2,31,0,19,0,19,2,40,false,false,false
Duration (music),0,2,0,2,1,5,0,2,0,4,1,7,false,false,false
Economy of South Africa,0,113,0,10,0,123,1,111,0,16,0,127,false,false,false
Ecosystem,0,46,1,18,8,73,0,46,1,32,8,87,false,false,false
Electrical conductor,0,2,0,3,0,5,1,2,0,6,0,8,false,false,false
Electrical network,1,1,0,4,31,36,1,0,0,5,31,36,false,false,false
Electricity generation,1,22,0,14,0,36,1,22,0,24,0,46,false,false,false
Energy in South Africa,0,20,0,4,0,24,0,19,0,5,0,24,false,false,false
Fair trade,2,178,0,13,0,191,2,169,0,18,4,191,false,false,false
Farm,0,27,0,12,0,39,1,27,0,23,0,50,false,false,false
Fiber,1,9,0,6,0,15,1,9,0,7,0,16,false,false,false
Fire safety,4,8,0,4,12,24,4,8,0,6,12,26,false,false,false
Flag of South Africa,0,10,0,13,0,23,0,10,0,22,0,32,false,false,false
Food,0,93,93,35,0,221,0,93,93,61,0,247,false,false,false
Food group,0,10,0,2,1,13,0,10,0,4,1,15,false,false,false
Food pyramid (nutrition),1,43,0,10,0,53,0,41,0,16,3,60,false,false,false
Food security,1,143,0,17,0,160,1,133,0,35,0,168,false,false,false
Food vs. fuel,0,144,0,5,0,149,0,145,0,7,0,152,false,false,false
Frances Baard,0,7,0,0,0,7,0,7,0,0,0,7,true,false,false
Free State (province),0,4,0,10,1,15,0,4,0,17,1,22,false,false,false
Freedom Day (South Africa),0,3,0,2,7,12,0,2,0,3,7,12,false,false,false
Gana and Gwi people,2,0,0,1,2,3,3,0,0,1,2,3,false,false,false
Gangster,1,53,0,10,0,63,1,53,0,19,0,72,false,false,false
Gas,0,20,20,13,6,59,0,0,0,0,0,0,false,false,true
Gauteng,0,75,0,12,0,87,0,73,0,20,0,93,false,false,false
Gender role,4,188,0,20,0,208,4,185,0,41,0,226,true,true,true
Gender stereotypes,4,188,0,20,0,208,0,0,0,0,0,0,false,false,false
Glass,1,58,0,47,15,120,1,57,0,91,12,160,false,false,false
Griqua people,0,8,0,6,3,17,0,8,0,11,3,22,false,false,false
Hand washing,0,58,0,10,11,79,0,64,0,20,11,95,true,true,false
Health,2,49,0,6,1,56,1,43,0,12,1,56,false,false,false
Healthcare in South Africa,0,12,12,2,10,36,0,26,26,5,8,65,false,false,false
Herero and Namaqua Genocide,1,89,0,15,0,104,1,88,0,25,0,113,true,false,false
Heritage Day (South Africa),0,6,0,2,0,8,0,5,0,3,0,8,true,true,false
History of South Africa,4,183,0,47,17,247,8,159,0,76,15,250,false,false,false
History of writing,1,37,2,9,0,48,0,37,2,12,0,51,false,false,false
HIV,0,128,0,15,0,143,0,124,0,27,0,151,false,false,false
HIV/AIDS,0,272,0,17,0,289,0,265,0,32,0,297,false,false,false
Home safety,2,4,0,1,2,7,1,4,0,0,2,6,false,false,false
Human nutrition,2,94,0,7,0,101,2,95,0,10,0,105,false,false,false
Human Rights Day,0,26,0,6,0,32,0,19,0,7,5,31,true,true,false
Human swimming,0,25,0,10,0,35,0,23,0,17,0,40,false,false,false
Hydraulics,0,10,10,6,7,33,0,9,9,8,7,33,false,false,false
Insulator (electricity),0,9,9,13,0,31,0,9,9,24,0,42,false,false,false
Kaditshwene,0,7,0,3,0,10,0,0,0,0,0,0,false,false,true
Khoikhoi,1,8,0,7,0,15,1,9,0,12,0,21,true,true,false
Khoisan languages,0,5,5,1,0,11,0,5,5,1,0,11,false,false,false
Kingdom of Mapungubwe,0,11,11,10,11,43,0,11,11,19,11,52,false,false,false
Later Stone Age,0,7,0,2,0,9,0,7,0,4,0,11,false,false,false
Latitude,0,16,0,13,19,48,2,16,0,24,18,58,false,false,false
Liquid fuel,1,3,0,2,0,5,1,3,0,3,0,6,false,false,false
List of South Africans,1,2,0,34,6,42,1,2,0,66,6,74,false,false,false
Longitude,0,11,0,6,19,36,0,11,0,10,18,39,false,false,false
Mahatma Gandhi,0,278,0,38,5,321,1,275,0,68,5,348,false,false,false
Makhonjwa Mountains,0,5,0,2,0,7,0,0,0,0,0,0,false,false,true
Malaria,0,201,0,19,0,220,0,190,0,31,0,221,false,false,false
Mandela Day,0,6,0,2,0,8,0,6,0,3,0,9,false,false,false
Map,0,6,0,11,0,17,0,6,0,21,0,27,false,false,false
Mapungubwe Museum,0,1,0,5,0,6,0,1,0,7,0,8,true,true,false
Mapungubwe National Park,0,2,0,5,1,8,0,9,0,7,1,17,false,false,false
Mind map,0,20,0,4,6,30,0,0,0,0,0,0,false,false,true
Mining industry of South Africa,1,28,0,5,1,34,1,27,0,8,1,36,false,false,false
Mpumalanga,0,9,0,6,1,16,0,9,0,9,1,19,false,false,false
Music of Africa,2,19,0,11,16,46,2,12,0,2,4,18,false,false,false
Music of South Africa,2,12,0,2,6,20,0,15,0,19,0,34,false,false,false
National anthem of South Africa,0,6,0,1,5,12,0,6,0,1,5,12,false,false,false
National symbols of South Africa,0,9,0,6,5,20,0,9,0,12,5,26,false,false,false
National Women's Day,0,4,0,3,3,10,0,4,0,4,3,11,false,false,false
Nelson Mandela,0,423,0,36,0,459,0,401,0,58,0,459,true,true,false
Nest,0,15,0,8,3,26,0,11,0,16,3,30,false,false,false
Noise pollution,0,25,0,6,6,37,0,25,0,10,6,41,false,false,false
Oliver Tambo,1,13,13,3,0,29,1,13,13,4,0,30,true,true,false
Outer space,0,140,0,20,0,160,0,139,0,32,0,171,false,false,false
Outline of domestic violence,0,65,0,1,9,75,0,65,0,2,9,76,false,false,false
Paper,0,27,0,6,27,60,0,26,0,10,26,62,false,false,false
People Against Gangsterism and Drugs,0,8,0,5,0,13,0,8,0,5,0,13,false,false,false
Petrol-paraffin engine,1,8,0,5,0,13,1,8,0,9,0,17,false,false,false
Pitch (music),1,23,0,4,18,45,1,23,0,5,17,45,false,false,false
Pneumatics,0,1,1,1,4,7,0,1,1,2,4,8,false,false,false
Politics of South Africa,1,3,0,7,0,10,1,3,0,9,0,12,false,false,false
Pollution,0,54,0,12,1,67,0,54,0,24,1,79,false,false,false
Processed food,0,38,0,7,0,45,0,0,0,0,0,0,false,false,true
Rail transport,0,63,1,33,0,97,0,49,1,57,0,107,false,false,false
Rail transport in South Africa,0,14,0,3,15,32,0,14,0,6,15,35,false,false,false
Reproduction,0,21,21,4,8,54,0,20,20,7,7,54,false,false,false
Right to food,0,69,0,7,0,76,0,69,0,13,0,82,false,false,false
Road map,0,7,0,6,1,14,0,7,0,12,1,20,false,false,false
Rock (geology),0,10,0,10,0,20,0,11,0,18,0,29,false,false,false
Saartjie Baartman,0,61,0,11,0,72,1,59,0,20,0,79,false,false,false
San healing practices,1,10,0,1,1,12,1,10,0,0,1,11,true,true,false
San people,0,92,0,9,10,111,0,89,0,15,10,114,true,true,false
San religion,0,28,0,3,0,31,0,27,0,2,0,29,false,false,false
San rock art,0,10,10,1,9,30,0,9,9,2,9,29,true,true,false
Sand,1,11,0,12,0,23,7,10,0,21,0,31,false,false,false
Scale (map),2,6,0,12,0,18,2,6,0,22,0,28,false,false,false
Scientific method,3,163,163,16,21,363,2,162,162,26,36,386,false,false,false
Settling,0,5,0,3,5,13,0,5,0,6,5,16,false,false,false
Sexism,0,326,0,28,43,397,1,308,0,41,43,392,true,false,false
Sieve,1,6,0,5,0,11,1,6,0,8,0,14,false,false,false
Soil,0,216,0,24,0,240,0,216,0,48,0,264,false,false,false
Sound,0,24,0,10,25,59,0,8,0,13,25,46,false,false,false
South Africa,1,185,1,52,0,238,1,0,0,23,0,23,false,false,false
South African cuisine,1,0,0,14,0,14,0,30,0,341,2,373,false,false,false
South African locomotive history,0,30,0,344,0,374,1,181,1,86,0,268,false,false,false
Standard Model,2,41,0,10,0,51,1,39,0,11,0,50,false,false,false
Stereotype,1,83,0,10,39,132,1,83,0,15,37,135,false,false,false
Steve Biko,0,42,0,3,4,49,0,42,0,4,4,50,false,false,false
Tap (valve),1,3,0,8,0,11,1,2,0,15,0,17,false,false,false
Textile,0,22,0,16,18,56,0,23,0,28,18,69,false,false,false
Trade,0,52,52,11,0,115,0,50,50,18,0,118,false,false,false
Transport,0,34,34,22,0,90,0,33,33,42,0,108,false,false,false
Transport in South Africa,0,9,0,4,0,13,0,6,0,9,0,15,true,false,false
Vibration,1,6,0,17,35,58,1,9,0,25,34,68,false,false,false
Walter Sisulu,0,10,0,2,0,12,0,10,0,3,0,13,true,true,false
Water filter,1,12,0,3,9,24,1,10,0,5,9,24,false,false,false
Water pollution,0,39,0,21,0,60,0,42,0,38,0,80,true,true,false
Water privatisation in South Africa,0,6,0,0,1,7,0,6,0,0,1,7,false,true,false
Water supply and sanitation in South Africa,0,67,0,6,4,77,0,67,0,11,4,82,true,true,false
Water well,0,12,0,20,7,39,0,12,0,38,6,56,false,false,false
Wax,0,6,0,10,1,17,0,6,0,17,1,24,false,false,false
Western Cape,2,27,0,16,0,43,2,28,0,27,0,55,true,true,false
Wetland,0,81,0,16,3,100,0,80,0,24,0,104,false,false,false
Wildlife conservation,0,13,0,3,5,21,0,16,0,5,4,25,false,false,false
Wildlife management,0,20,0,4,0,24,0,20,0,5,0,25,false,false,false
Winnie Madikizela-Mandela,2,43,0,4,1,48,2,43,0,5,1,49,true,false,false
Wood,1,27,0,22,0,49,1,26,0,39,0,65,true,false,false
Wool,0,41,0,20,37,98,0,40,0,37,37,114,false,false,false
Youth culture,1,31,0,2,10,43,1,30,0,4,10,44,false,false,false
