article,unique_editors_2014,edits 2014,avg size 2014,editsxeditor_2014,unique_editors_2015,edits_2015,avg_size_2015,editsxeditor_2015,community,review,new
Discrimination,7,10,63467,1.43,6,10,86549,1.67,true,-,-
Domestic violence,6,10,178888,1.67,9,10,295333,1.11,true,-,-
Domestic violence in South Africa,9,10,14967,1.11,6,10,14291,1.67,true,true,-
Drakensberg,5,10,25678,2.00,7,10,28544,1.43,-,-,-
Duration (music),6,8,2828,1.33,4,4,2872,1.00,-,-,-
Economy of South Africa,9,10,76796,1.11,7,10,79169,1.43,-,-,-
Ecosystem,9,10,51995,1.11,8,10,52080,1.25,-,-,-
Electrical conductor,7,10,10242,1.43,9,10,10397,1.11,-,-,-
Electrical network,9,10,7905,1.11,9,10,8021,1.11,-,-,-
Electricity generation,7,10,32443,1.43,6,10,34796,1.67,-,-,-
Energy in South Africa,8,10,13715,1.25,4,10,16081,2.50,-,-,-
Fair trade,7,10,102158,1.43,6,10,125704,1.67,-,-,-
Farm,7,10,18112,1.43,10,10,21887,1.00,-,-,-
Fiber,5,10,11206,2.00,5,10,12290,2.00,-,-,-
Fire safety,8,10,15528,1.25,8,10,15332,1.25,-,-,-
Flag of South Africa,8,10,15691,1.25,7,10,15513,1.43,-,-,-
Food,10,10,61698,1.00,9,10,63384,1.11,-,-,-
Food process,0,0,0,0.00,0,0,0,0.00,-,-,-
Food pyramid (nutrition),5,10,28153,2.00,9,10,30187,1.11,-,-,-
Food security,9,10,96732,1.11,7,10,107384,1.43,-,-,-
Food vs. fuel,8,10,29699,1.25,7,10,84242,1.43,-,-,-
Frances Baard,1,1,9119,1.00,4,4,9043,1.00,true,-,-
Free State (province),3,10,20595,3.33,9,10,20946,1.11,-,-,-
Freedom Day (South Africa),8,10,1252,1.25,6,10,1585,1.67,-,-,-
Gana and Gwi people,2,6,1410,3.00,5,8,1521,1.60,-,-,-
Gangster,10,10,42655,1.00,9,10,42544,1.11,-,-,-
Gas,9,10,38928,1.11,10,10,38546,1.00,-,-,true
Gauteng,7,10,45295,1.43,7,10,46772,1.43,-,-,-
Gender role,9,10,85099,1.11,10,10,109337,1.00,true,true,true
Gender stereotypes,1,2,35,2.00,0,0,0,0.00,-,-,-
Glass,7,10,59316,1.43,8,10,60716,1.25,-,-,-
Griqua people,4,6,11472,1.50,7,9,11696,1.29,-,-,-
Hand washing,8,10,36999,1.25,7,10,46389,1.43,true,true,-
Heal care in South Africa,0,0,0,0.00,0,0,0,0.00,-,-,-
Health,9,10,34103,1.11,10,10,37981,1.00,true,true,-
Herero and Namaqua Genocide,10,10,57125,1.00,8,10,59906,1.25,true,-,-
Heritage Day (South Africa),6,10,3625,1.67,8,10,4006,1.25,true,true,-
History of South Africa,9,10,82811,1.11,3,10,135083,3.33,-,-,-
History of writing,8,10,45024,1.25,8,10,45927,1.25,-,-,-
HIV,7,10,82752,1.43,5,10,91248,2.00,-,-,-
HIV/AIDS,8,10,151509,1.25,6,10,158396,1.67,-,-,-
Home safety,4,4,6121,1.00,5,10,6936,2.00,-,-,-
Hottentot Venus,4,10,5153,2.50,0,0,0,0.00,-,-,-
Human nutrition,5,10,111717,2.00,8,10,118739,1.25,-,-,-
Human Rights Day,9,10,12909,1.11,7,10,17084,1.43,true,true,-
Human swimming,7,10,26098,1.43,9,10,24652,1.11,-,-,-
Hydraulics,6,10,11340,1.67,7,10,10901,1.43,-,-,-
Insulator (electricity),10,10,27738,1.00,8,10,28307,1.25,-,-,-
Kaditshwene,0,0,0,0.00,3,10,3959,3.33,-,-,true
Khoikhoi,8,10,11769,1.25,10,10,12405,1.00,true,true,-
Khoikhoi mythology,2,2,28,1.00,0,0,0,0.00,-,-,-
Later Stone Age,1,10,7928,10.00,7,8,7670,1.14,-,-,-
Latitude,7,10,41785,1.43,7,10,41697,1.43,-,-,-
Liquid fuel,10,10,13878,1.00,5,6,13891,1.20,-,-,-
List of South Africans,9,10,52249,1.11,10,10,53448,1.00,-,-,-
Longitude,10,10,24457,1.00,10,10,20234,1.00,-,-,-
Mahatma Gandhi,1,10,160926,10.00,10,10,175981,1.00,-,-,-
Makhonjwa Mountains,1,2,4236,2.00,6,6,4349,1.00,-,-,true
Malaria,8,10,124371,1.25,7,10,131592,1.43,-,-,-
Mandela Day,9,10,3248,1.11,5,6,3748,1.20,-,-,-
Map,9,10,18886,1.11,7,10,28836,1.43,-,-,-
Mapungubwe,0,0,0,0.00,0,0,0,0.00,-,-,-
Mapungubwe Museum,0,0,0,0.00,1,1,2591,1.00,true,true,-
Mapungubwe National Park,0,0,0,0.00,3,10,13760,3.33,-,-,-
Mind map,8,10,16122,1.25,6,10,14531,1.67,-,-,true
Mining industry of South Africa,9,10,18617,1.11,8,10,19273,1.25,-,-,-
Mpumalanga,7,10,18194,1.43,9,10,17506,1.11,-,-,-
Music of South Africa,10,10,55186,1.00,6,10,56080,1.67,-,-,-
National anthem of South Africa,5,10,6500,2.00,9,10,6616,1.11,-,-,-
National symbols of South Africa,8,10,5762,1.25,5,6,5584,1.20,-,-,-
National Women's Day,8,8,2831,1.00,7,10,3815,1.43,true,true,-
Nelson Mandela,5,10,175788,2.00,6,10,175720,1.67,true,true,-
Nest,7,10,22292,1.43,7,10,23425,1.43,-,-,-
Noise pollution,9,10,17857,1.11,8,10,17100,1.25,-,-,-
Oliver Tambo,9,10,10965,1.11,7,10,13325,1.43,true,true,-
Outer space,9,10,92330,1.11,7,10,97114,1.43,-,-,-
Outline of domestic violence,8,10,40337,1.25,4,8,40447,2.00,-,-,-
Paper,8,10,27467,1.25,9,10,28779,1.11,-,-,-
People Against Gangsterism and Drugs,1,6,7053,6.00,1,2,8187,2.00,-,-,-
Petrol-paraffin engine,3,10,6001,3.33,4,8,7061,2.00,-,-,-
Pitch (music),10,10,26235,1.00,8,10,26791,1.25,-,-,-
Pneumatics,7,10,7167,1.43,7,10,7217,1.43,-,-,-
Politics of South Africa,10,10,9606,1.00,10,10,9831,1.00,-,-,-
Pollution,4,10,41770,2.50,9,10,43516,1.11,-,-,-
Processed food,0,0,0,0.00,0,0,0,0.00,-,-,true
Rail transport,8,10,67712,1.25,7,10,66926,1.43,-,-,-
Rail transport in South Africa,8,9,13432,1.13,7,9,13594,1.29,-,-,-
Reconciliation Day,0,0,0,0.00,0,0,0,0.00,true,true,-
Reproduction,7,10,21968,1.43,3,10,24160,3.33,-,-,-
Republic of South Africa,0,0,0,0.00,0,0,0,0.00,true,-,-
Right to food,6,7,51735,1.17,4,4,50590,1.00,-,-,-
Road map,7,7,8026,1.00,8,9,8062,1.13,-,-,-
Rock (geology),8,10,14434,1.25,7,10,14608,1.43,-,-,-
San healing practices,2,4,12480,2.00,5,6,10242,1.20,true,true,-
San languages,0,0,0,0.00,0,0,0,0.00,-,-,-
San people,6,10,61911,1.67,7,10,62149,1.43,true,true,-
San religion,9,10,17136,1.11,6,10,17546,1.67,-,-,-
San rock art,5,7,6713,1.40,3,10,7261,3.33,true,true,-
Sand,10,10,13962,1.00,8,10,14728,1.25,-,-,-
Scale (map),8,10,33224,1.25,9,10,33368,1.11,-,-,-
Scientific method,10,10,140657,1.00,7,10,143552,1.43,-,-,-
Settling,5,6,10360,1.20,7,10,10334,1.43,-,-,-
Sexism,6,10,137112,1.67,6,10,167142,1.67,true,-,-
Sieving,0,0,0,0.00,0,0,0,0.00,-,-,-
Soil,3,10,198460,3.33,9,10,199366,1.11,-,-,-
Sound,10,10,16569,1.00,5,10,28775,2.00,-,-,-
South African cuisine,10,10,19152,1.00,7,10,19052,1.43,-,-,-
South African locomotive history,4,10,269344,2.50,2,10,88023,5.00,-,-,-
Standard Model,5,10,46223,2.00,9,10,48734,1.11,-,-,-
Stereotype,6,10,83288,1.67,8,10,83106,1.25,-,-,-
Steve Biko,6,10,28788,1.67,8,10,29642,1.25,-,-,-
Tap (valve),7,8,16903,1.14,9,10,13519,1.11,-,-,-
Textile,9,10,27714,1.11,6,10,28155,1.67,-,-,-
Trade,7,10,38960,1.43,8,10,35471,1.25,-,-,-
Transport,8,10,39030,1.25,8,10,39327,1.25,-,-,-
Transport in South Africa,10,10,8455,1.00,8,8,8567,1.00,true,-,-
Two foot gauge railways in South Africa,1,1,49,1.00,0,0,0,0.00,-,-,-
Vibration,8,10,42707,1.25,9,10,42741,1.11,-,-,-
Walter Sisulu,9,9,9728,1.00,8,10,10366,1.25,true,true,-
Water filter,8,10,10042,1.25,9,10,10854,1.11,-,-,-
Water pollution,9,10,37664,1.11,6,10,37378,1.67,true,true,-
Water privatization in South Africa,0,0,0,0.00,0,0,0,0.00,true,true,-
Water supply and sanitation in South Africa,8,10,57520,1.25,8,10,58253,1.25,true,true,-
Water well,9,10,28883,1.11,10,10,29907,1.00,-,-,-
Wax,9,10,11705,1.11,10,10,11774,1.00,-,-,-
Western Cape,10,10,36133,1.00,9,10,42628,1.11,true,true,-
Wetlands,1,1,38,1.00,0,0,0,0.00,-,-,-
Wildlife conservation,7,10,17564,1.43,6,10,12316,1.67,-,-,-
Wildlife management,3,4,19753,1.33,8,10,20003,1.25,-,-,-
Winnie Madikizela-Mandela,9,10,28175,1.11,8,10,28534,1.25,true,-,-
Wood,7,10,49844,1.43,7,10,51023,1.43,true,-,-
Wool,6,10,63069,1.67,7,10,38039,1.43,-,-,-
Youth culture,7,10,22380,1.43,6,10,22693,1.67,-,-,-
