article(entr),page,user,portal,template,category,total
Gauteng,496,0,3,0,0,499
Latitude,489,5,0,0,0,494
Hydraulics,477,8,0,1,1,487
Paper,493,5,0,0,0,498
Malaria,497,2,0,0,0,499
Reproduction,454,11,3,0,1,469
Drakensberg,374,22,3,2,1,402
Map,416,69,4,0,3,492
Outline of domestic violence,158,18,5,3,0,184
San healing practices,7,1,3,0,0,11
Outer space,472,6,0,0,0,478
Rock (geology),490,2,0,0,1,493
History of writing,361,23,16,5,1,406
Pneumatics,290,33,4,2,0,329
Pitch (music),494,1,0,1,0,496
Gana and Gwi people,9,1,0,0,0,10
Food vs. fuel,266,61,2,3,4,336
Griqua people,246,7,2,6,0,261
Farm,483,3,3,0,1,490
San religion,96,7,4,3,3,113
Mandela Day,95,4,0,1,0,100
Later Stone Age,51,10,0,2,0,63
Mapungubwe,31,4,0,0,0,35
Human Rights Day,174,17,14,3,0,208
San languages,29,1,0,1,1,32
Mapungubwe Museum,36,0,0,1,12,49
Sexism,473,6,1,0,1,481
Sieving,14,4,0,0,0,18
Free State (province),364,7,0,9,11,391
San rock art,11,1,0,0,0,12
Mining industry of South Africa,138,7,2,2,0,149
San people,242,15,2,3,0,262
Fair trade,458,10,2,2,3,475
National Women's Day,41,2,11,1,0,55
Music of South Africa,318,36,0,7,7,368
Oliver Tambo,268,11,0,4,1,284
People Against Gangsterism and Drugs,244,10,0,1,3,258
Nest,352,40,30,7,0,429
Nelson Mandela,498,2,0,0,0,500
Republic of South Africa,281,19,7,2,2,311
Longitude,470,11,0,2,0,483
Ecosystem,493,4,0,0,0,497
Pollution,479,14,1,0,1,495
Sound,482,5,0,1,5,493
Soil,494,2,0,0,0,496
South African locomotive history,348,2,0,1,0,351
Water filter,84,15,1,0,1,101
Water supply and sanitation in South Africa,41,12,0,0,2,55
Tap (valve),112,12,2,0,0,126
Steve Biko,431,8,8,5,0,452
Two foot gauge railways in South Africa,39,0,0,0,0,39
Winnie Madikizela-Mandela,389,31,2,5,0,427
Youth culture,128,18,3,0,0,149
Standard Model,402,33,8,4,1,448
Vibration,412,20,4,2,1,439
Water well,494,0,0,1,0,495
Stereotype,473,10,0,1,2,486
Water privatization in South Africa,2,5,0,0,0,7
Transport in South Africa,164,5,0,2,2,173
Wildlife management,320,18,13,4,1,356
Water pollution,458,3,8,0,3,472
Settling,55,22,0,0,0,77
Wax,480,7,3,0,3,493
Mahatma Gandhi,491,5,0,0,0,496
Wood,498,2,0,0,0,500
Wetlands,487,5,3,0,2,497
Scientific method,476,10,0,0,0,486
Sand,490,3,0,1,0,494
Scale (map),117,21,5,9,0,152
South African cuisine,484,7,2,3,0,496
HIV,496,1,0,0,0,497
Trade,494,4,0,1,0,499
Walter Sisulu,238,11,1,3,1,254
Transport,485,6,0,0,0,491
Wool,500,0,0,0,0,500
Wildlife conservation,488,0,2,0,1,491
Textile,497,1,0,0,0,498
Western Cape,489,2,2,1,1,495
Children%27s Day,195,17,44,2,0,258
Economy of South Africa,411,7,5,7,1,431
Flag of South Africa,301,47,5,11,0,364
Politics of South Africa,437,8,9,16,5,475
Food security,423,16,21,2,0,462
History of South Africa,331,25,7,7,1,371
