id_pv,art,RW_by_community,RW_by_expert_pdf,RW_by_expert_pdf_wiki,New_article_suggested_by_expert,AFC,Featured_on_WP_SA_portal,Rewrite_based_on_expert_review,WP_Assessment,Bold_reassesment,Africa_Destubathon,Edit_a_thon,id_AZ,article
28,Road_map,0,0,0,0,0,0,0,0,0,0,0,130,Road_map
29,Rail_transport_in_South_Africa,0,0,0,0,0,0,0,0,0,0,0,127,Rail_transport_in_South_Africa
30,Duration_(music),0,0,0,0,0,0,0,0,0,0,0,47,Duration_(music)
31,Healthcare_in_South_Africa,1,1,0,0,0,0,0,0,0,0,0,75,Healthcare_in_South_Africa
32,Griqua_people,0,0,0,0,0,0,0,0,0,0,0,72,Griqua_people
33,Mandela_Day,0,0,0,0,0,0,0,0,0,0,1,100,Mandela_Day
34,Right_to_food,0,0,0,0,0,0,0,0,0,0,0,129,Right_to_food
35,Africa_Day,0,0,0,0,0,0,0,0,0,1,1,2,Africa_Day
36,Water_supply_and_sanitation_in_South_Africa,1,0,1,0,0,1,0,0,0,0,1,162,Water_supply_and_sanitation_in_South_Africa
37,Settling,0,0,0,0,0,0,0,0,0,0,0,140,Settling
38,Castle_of_Good_Hope,0,0,0,0,0,0,0,0,0,0,0,23,Castle_of_Good_Hope
39,Liquid_fuel,0,0,0,0,0,0,0,0,0,0,0,94,Liquid_fuel
40,Agriculture_in_South_Africa,1,0,1,0,0,0,0,0,0,0,0,3,Agriculture_in_South_Africa
41,Nest,0,0,0,0,0,0,0,0,1,0,0,113,Nest
42,Wildlife_management,0,0,0,0,0,0,0,1,0,0,0,168,Wildlife_management
43,Walter_Sisulu,1,1,0,0,0,0,0,0,0,0,1,158,Walter_Sisulu
44,Free_State_(province),0,0,0,0,0,0,0,0,0,0,0,65,Free_State_(province)
45,Politics_of_South_Africa,0,0,0,0,0,0,0,0,0,0,0,124,Politics_of_South_Africa
46,Youth_culture,0,0,0,0,0,0,0,0,0,0,0,172,Youth_culture
47,Day_of_Reconciliation,0,0,0,0,0,0,0,0,0,1,1,39,Day_of_Reconciliation
48,Kingdom_of_Mapungubwe,0,0,0,0,0,0,0,0,0,0,0,91,Kingdom_of_Mapungubwe
49,List_of_South_Africans,0,0,0,0,0,0,0,0,0,0,0,95,List_of_South_Africans
50,Chapter_Two_of_the_Constitution_of_South_Africa,0,0,0,0,0,0,0,0,0,0,0,26,Chapter_Two_of_the_Constitution_of_South_Africa
51,Music_of_South_Africa,0,0,0,0,0,0,0,0,0,0,0,108,Music_of_South_Africa
52,Convenience_food,0,0,0,0,0,0,0,0,1,0,0,36,Convenience_food
53,Freedom_Day_(South_Africa),0,0,0,0,0,0,0,0,0,0,0,66,Freedom_Day_(South_Africa)
54,National_Women's_Day,1,1,0,0,0,0,0,0,0,1,1,111,National_Women's_Day
55,Alcohol_dependence,0,0,0,0,0,0,0,0,0,0,0,6,Alcohol_dependence
56,Herero_and_Namaqua_genocide,0,0,1,0,0,0,1,0,0,0,1,76,Herero_and_Namaqua_genocide
57,Mpumalanga,0,0,0,0,0,0,0,0,0,0,0,106,Mpumalanga
58,Oliver_Tambo,1,1,0,0,0,0,0,0,0,0,0,115,Oliver_Tambo
59,Food_group,0,0,0,0,0,0,0,0,0,0,0,60,Food_group
60,Tap_(valve),0,0,0,0,0,0,0,0,0,0,0,151,Tap_(valve)
61,Khoisan_languages,0,0,0,0,0,0,0,0,0,0,1,90,Khoisan_languages
62,Electrical_network,0,0,0,0,0,0,0,0,0,0,0,51,Electrical_network
63,Water_filter,0,0,0,0,0,0,0,0,0,0,0,159,Water_filter
64,Decantation,0,0,0,0,0,0,0,0,0,0,0,40,Decantation
65,South_African_cuisine,0,0,0,0,0,0,0,0,0,0,0,146,South_African_cuisine
66,Human_Rights_Day,1,1,0,0,0,0,0,0,0,0,0,84,Human_Rights_Day
67,Heritage_Day_(South_Africa),1,1,0,0,0,0,0,0,1,0,1,77,Heritage_Day_(South_Africa)
68,Mining_industry_of_South_Africa,0,0,0,0,0,0,0,0,0,0,0,105,Mining_industry_of_South_Africa
69,Fire_safety,0,0,0,0,0,0,0,0,0,0,1,57,Fire_safety
70,Human_swimming,0,0,0,0,0,0,0,0,0,0,0,85,Human_swimming
71,Sarah_Baartman,0,0,0,0,0,0,0,0,0,0,0,137,Sarah_Baartman
72,Drakensberg,0,0,0,0,0,0,0,0,0,0,1,46,Drakensberg
73,Hand_washing,1,1,0,0,0,0,0,0,0,0,1,73,Hand_washing
74,Borehole,0,0,0,0,0,0,0,0,0,0,0,20,Borehole
75,Scale_(map),0,0,0,0,0,0,0,0,0,0,0,138,Scale_(map)
76,Cradle_of_Humankind,0,0,0,0,0,0,0,1,0,0,0,38,Cradle_of_Humankind
77,Bird_nest,0,0,0,0,0,0,0,0,0,0,0,18,Bird_nest
78,Sieve,0,0,0,0,0,0,0,1,0,0,0,142,Sieve
79,Alcohol_abuse,0,0,0,0,0,0,0,0,0,0,0,5,Alcohol_abuse
80,Boiling,0,0,0,0,0,0,0,0,0,0,0,19,Boiling
81,Control_variable,0,0,0,0,0,0,0,0,0,0,0,35,Control_variable
82,Music_of_Africa,0,0,0,0,0,0,0,0,0,0,0,107,Music_of_Africa
83,Western_Cape,1,0,1,0,0,0,0,0,0,0,0,165,Western_Cape
84,Human_nutrition,0,0,0,0,0,0,0,0,0,0,0,83,Human_nutrition
85,Circuit_diagram,0,0,0,0,0,0,0,0,0,0,0,30,Circuit_diagram
86,Aloe,0,0,0,0,0,0,0,0,0,0,0,8,Aloe
87,Farm,0,0,0,0,0,0,0,0,0,0,0,55,Farm
88,National_anthem_of_South_Africa,0,0,0,0,0,0,0,0,0,0,0,109,National_anthem_of_South_Africa
89,Gauteng,0,0,0,0,0,0,0,0,0,0,0,69,Gauteng
90,Khoikhoi,1,1,0,0,0,0,0,0,0,0,0,89,Khoikhoi
91,Bias,0,0,0,0,0,0,0,1,1,0,0,15,Bias
92,Pneumatics,0,0,0,0,0,0,0,0,0,0,0,123,Pneumatics
93,Economy_of_South_Africa,0,0,0,0,0,0,0,0,0,0,0,48,Economy_of_South_Africa
94,Hydraulics,0,0,0,0,0,0,0,0,0,0,0,86,Hydraulics
95,Gangster,0,0,0,0,0,0,0,1,0,0,0,67,Gangster
96,Fiber,0,0,0,0,0,0,0,0,0,0,0,56,Fiber
97,Wax,0,0,0,0,0,0,0,0,0,0,0,164,Wax
98,Vibration,0,0,0,0,0,0,0,1,1,0,0,157,Vibration
99,Pitch_(music),0,0,0,0,0,0,0,0,0,0,0,122,Pitch_(music)
100,Insulator_(electricity),0,0,0,0,0,0,0,0,0,0,0,87,Insulator_(electricity)
101,Water_well,0,0,0,0,0,0,0,0,0,0,0,163,Water_well
102,San_people,0,0,0,0,0,0,0,0,0,1,0,133,San_people
103,Rail_transport,0,0,0,0,0,0,0,0,0,0,0,126,Rail_transport
104,Flag_of_South_Africa,0,0,1,1,0,1,1,0,0,0,0,58,Flag_of_South_Africa
105,Electrical_conductor,0,0,0,0,0,0,0,0,0,0,0,50,Electrical_conductor
106,Cooking,0,0,0,0,0,0,0,0,0,0,0,37,Cooking
107,Fair_trade,0,0,0,0,0,0,0,0,0,0,0,54,Fair_trade
108,Winnie_Madikizela-Mandela,0,0,0,0,0,0,0,0,0,0,1,169,Winnie_Madikizela-Mandela
109,Trade,0,0,0,0,0,0,0,0,0,0,0,153,Trade
110,Food_pyramid_(nutrition),1,1,0,0,0,0,0,1,0,0,1,61,Food_pyramid_(nutrition)
111,Animal_husbandry,0,0,0,0,0,0,0,0,0,0,0,10,Animal_husbandry
112,Food_security,0,0,0,0,0,0,0,0,0,0,0,62,Food_security
113,Wetland,0,0,0,0,0,0,0,0,0,0,0,166,Wetland
114,Wildlife_conservation,0,0,0,0,0,0,0,0,0,0,0,167,Wildlife_conservation
115,History_of_South_Africa,0,0,0,0,0,0,0,0,0,0,0,78,History_of_South_Africa
116,Reproduction,0,0,0,0,0,0,0,0,0,0,0,128,Reproduction
117,Standard_Model,0,0,0,0,0,0,0,0,0,0,0,148,Standard_Model
118,Base_(chemistry),0,0,0,0,0,0,0,0,0,0,0,14,Base_(chemistry)
119,Textile,0,0,0,0,0,0,0,0,0,0,0,152,Textile
120,Gender_role,1,1,0,0,0,0,0,0,1,0,0,70,Gender_role
121,Sand,0,0,0,0,0,0,0,0,0,0,0,136,Sand
122,Biome,0,0,0,0,0,0,0,0,0,0,0,17,Biome
123,Gas,0,0,0,0,0,0,0,0,0,0,0,68,Gas
124,Wool,0,0,0,0,0,0,0,0,0,0,0,171,Wool
125,History_of_writing,0,0,0,0,0,0,0,0,0,0,0,79,History_of_writing
126,Stereotype,0,0,0,0,0,0,0,0,0,0,0,149,Stereotype
127,Clay,0,0,0,0,0,0,0,1,0,0,0,31,Clay
128,Acid,0,0,0,0,0,0,0,0,0,0,0,1,Acid
129,Outer_space,0,0,0,0,0,0,0,0,0,0,0,116,Outer_space
130,Electricity_generation,0,0,0,0,0,0,0,0,0,0,0,52,Electricity_generation
131,Design,0,0,0,0,0,0,0,0,0,0,0,42,Design
132,Ceramic,0,0,0,0,0,0,0,0,0,0,0,25,Ceramic
133,Wood,0,0,0,0,0,0,0,0,0,0,0,170,Wood
134,Rock_(geology),0,0,0,0,0,0,0,0,0,0,0,131,Rock_(geology)
135,Longitude,0,0,0,0,0,0,0,0,0,0,0,96,Longitude
136,Paper,0,0,0,0,0,0,0,0,0,0,0,119,Paper
137,Discrimination,0,0,0,0,0,0,0,0,0,0,0,43,Discrimination
138,Climate,0,0,0,0,0,0,0,0,0,0,0,32,Climate
139,Map,0,0,0,0,0,0,0,0,1,0,0,101,Map
140,Mind_map,0,0,0,0,0,0,0,0,0,0,0,104,Mind_map
141,Transport,0,0,0,0,0,0,0,0,0,0,0,154,Transport
142,Child_abuse,0,0,0,0,0,0,0,0,0,0,0,27,Child_abuse
143,Dependent_and_independent_variables,0,0,0,0,0,0,0,0,0,0,0,41,Dependent_and_independent_variables
144,Domestic_violence,0,0,0,0,0,0,0,0,0,0,0,44,Domestic_violence
145,Sound,0,0,0,0,0,0,0,0,0,0,0,144,Sound
146,Soil,0,0,0,0,0,0,0,0,0,0,0,143,Soil
147,Latitude,0,0,0,0,0,0,0,0,0,0,0,93,Latitude
148,Glass,0,0,0,0,0,0,0,0,0,0,0,71,Glass
149,Noise_pollution,0,0,0,0,0,0,0,0,0,0,0,114,Noise_pollution
150,Children's_Day,0,0,0,0,0,0,0,0,0,0,1,29,Children's_Day
151,Steve_Biko,0,0,0,0,0,1,0,0,0,0,0,150,Steve_Biko
152,Bicycle,1,1,0,0,0,0,0,0,0,0,0,16,Bicycle
153,Alcoholism,0,0,0,0,0,0,0,0,0,0,0,7,Alcoholism
154,Coal,0,0,0,0,0,0,0,0,0,0,0,33,Coal
155,Bullying,0,0,0,0,0,0,0,0,0,0,0,21,Bullying
156,Health,0,0,0,0,0,0,0,0,0,0,0,74,Health
157,Food,0,0,0,0,0,0,0,0,0,0,0,59,Food
158,Sexism,0,0,0,0,0,0,0,0,0,0,0,141,Sexism
159,Ecosystem,0,0,0,0,0,0,0,0,0,0,0,49,Ecosystem
160,Aloe_vera,0,0,0,0,0,0,0,0,0,0,0,9,Aloe_vera
161,Atom,0,0,0,0,0,0,0,0,0,0,0,13,Atom
162,Car,0,0,0,0,0,0,0,0,0,0,0,22,Car
163,Cell_(biology),0,0,0,0,0,0,0,0,0,0,0,24,Cell_(biology)
164,Scientific_method,0,0,0,0,0,0,0,0,0,0,0,139,Scientific_method
165,Apartheid,1,1,0,0,0,0,0,0,0,0,0,12,Apartheid
166,HIV,0,0,1,0,0,0,0,0,0,0,0,80,HIV
167,Malaria,0,0,0,0,0,0,0,0,0,0,0,99,Malaria
168,Water_pollution,1,0,1,0,0,0,0,0,0,0,0,160,Water_pollution
169,Pollution,0,0,0,0,0,0,0,0,0,0,0,125,Pollution
170,HIV/AIDS,0,0,0,0,0,0,0,0,0,0,0,81,HIV/AIDS
171,Nelson_Mandela,1,1,0,0,0,0,0,0,0,0,0,112,Nelson_Mandela
172,South_Africa,0,0,0,0,0,0,0,0,0,0,0,145,South_Africa
173,Mahatma_Gandhi,0,0,0,0,0,0,0,0,0,0,0,97,Mahatma_Gandhi
