source	target	weight
Fiber	Sodium hydroxide	4
Borehole	Aquifer	4
Fiber	Triboelectric effect	4
Borehole	Earthquake	4
Fiber	Weaving	4
Borehole	Geotechnical engineering	4
Food	Anthropocene	4
Borehole	Gravel	4
Wood	Wind power	4
Borehole	Hydrometer	4
Food	Botany	4
Borehole	Landslide	4
Food	Conservation movement	4
Borehole	Overburden pressure	4
Food	Ecosystem services	4
Borehole	Peat	4
Food	Fishery	4
Borehole	Seismic hazard	4
Food	Food and Agriculture Organization	4
Borehole	Silt	4
Apartheid	Mac Maharaj	4
Borehole	Slurry wall	4
Apartheid	Magnus Malan	4
Bullying	Abuse	4
Food	Kitchen	4
Bullying	Discrimination	4
Apartheid	Mangosuthu Buthelezi	4
Bullying	Gay bashing	4
Food	Microorganism	4
Bullying	Hate crime	4
Apartheid	Chris Hani	4
Bullying	Intimidation	4
Apartheid	Mineral Revolution	4
Bullying	Oppression	4
Food	Population	4
Bullying	Persecution	4
Food	Reclaimed water	4
Bullying	Police brutality	4
Apartheid	Mpondo people	4
Bullying	Prejudice	4
Apartheid	Nadine Gordimer	4
Bullying	Purge	4
Food	Sustainable living	4
Bullying	Triple oppression	4
Food	Urban ecology	4
Apartheid	Gerrit Viljoen	4
Food	Water conservation	4
Clay	Building material	4
Apartheid	Coal in South Africa	4
Clay	Drinking water	4
Food	Wikipedia:WikiProject Environment	4
Clay	Earthquake	4
Food	Wind power	4
Clay	Fresh water	4
Gauteng	African National Congress	4
Clay	Geotechnical engineering	4
Gauteng	KwaZulu-Natal	4
Clay	Hydrometer	4
Gauteng	Provinces of South Africa	4
Clay	Mining	4
Mpumalanga	Eastern Cape	4
Apartheid	Goldstone Commission	4
Pollution	Biodiversity	4
Clay	Peat	4
Sexism	Androcentrism	4
Clay	Permeability (earth sciences)	4
Sexism	Anthropocentrism	4
Clay	Pottery	4
Sexism	Anti-LGBT rhetoric	4
Clay	Retaining wall	4
Sexism	Biphobia	4
Clay	Sculpture	4
Sexism	Bumiputera (Malaysia)	4
Clay	Seismic hazard	4
Sexism	Chinese Exclusion Act	4
Clay	Silt	4
Sexism	Compulsory sterilization	4
Clay	Slurry wall	4
Sexism	Cultural assimilation	4
Clay	Soil	4
Sexism	Desegregation	4
Apartheid	Govan Mbeki	4
Sexism	Discrimination based on skin color	4
Clay	Water	4
Sexism	Ethnic cleansing	4
Climate	Talk:Biome	4
Sexism	Genocide	4
Cooking	Kitchen	4
Sexism	Glass ceiling	4
Cooking	Outline of meals	4
Sexism	Hate speech	4
Cooking	Water	4
Sexism	Heterosexism	4
Discrimination	Adultism	4
Sexism	Lynching	4
Apartheid	Graaff-Reinet	4
Sexism	Multiculturalism	4
Apartheid	Great South Africans	4
Sexism	Nepotism	4
Discrimination	Anti-German sentiment	4
Sexism	Nonperson	4
Discrimination	Anti-Japanese sentiment	4
Sexism	Pogrom	4
Discrimination	Anti-Russian sentiment	4
Sexism	Racial quota	4
Discrimination	Anti-Slavic sentiment	4
Sexism	Racism	4
Discrimination	Anti-social behaviour	4
Sexism	Red Scare	4
Apartheid	Griqualand West	4
Sexism	Religious discrimination	4
Discrimination	Apartheid	4
Sexism	Religious persecution	4
Discrimination	Bias	4
Sexism	Sex segregation	4
Apartheid	Harry Schwarz	4
Sexism	Sexual orientation	4
Apartheid	Hastings Ndlovu	4
Sexism	Slavery	4
Discrimination	Bullying	4
Sexism	Suffrage	4
Apartheid	Hector Pieterson	4
Sexism	Toleration	4
Apartheid	Helen Joseph	4
Apartheid	Orange Free State	4
Apartheid	Apartheid in popular culture	4
Sexism	Violence against LGBT people	4
Discrimination	Ephebiphobia	4
Apartheid	Outline of Africa	4
Discrimination	Ethnocide	4
Soil	Adobe	4
Apartheid	History of Africa	4
Apartheid	Pan Africanist Congress of Azania	4
Discrimination	Gender equality	4
Soil	Botany	4
Discrimination	Gender studies	4
Soil	Clay	4
Discrimination	Genderism	4
Soil	Conservation biology	4
Discrimination	Genocides in history	4
Soil	Ecosystem services	4
Discrimination	Index of feminism articles	4
Soil	Forest gardening	4
Discrimination	Index of psychology articles	4
Soil	Geotechnical engineering	4
Discrimination	Intimidation	4
Soil	Gravel	4
Apartheid	B. J. Vorster	4
Soil	Indoor air quality	4
Discrimination	Jewish quota	4
Soil	Jewellery	4
Discrimination	Marriage	4
Soil	Landslide	4
Apartheid	International Freedom Foundation	4
Soil	Peak oil	4
Discrimination	Neurodiversity	4
Soil	Pottery	4
Discrimination	Polyamory	4
Soil	Road	4
Discrimination	Power distance	4
Soil	Silt	4
Discrimination	Racial integration	4
Soil	Soil conservation	4
Apartheid	Joe Slovo	4
Soil	Tamarind	4
Apartheid	Johannes Gerhardus Strijdom	4
Soil	Water conservation	4
Apartheid	John Langalibalele Dube	4
Soil	Water quality	4
Apartheid	Kaiser Matanzima	4
Soil	Wikipedia:WikiProject Environment	4
Apartheid	Khoikhoi	4
Textile	Economics of biodiversity	4
Discrimination	Second-class citizen	4
Apartheid	Robert Sobukwe	4
Discrimination	Sex verification in sports	4
Apartheid	Ruth First	4
Discrimination	Sexual harassment	4
Wood	Bushmeat	4
Discrimination	Sexual orientation	4
Wood	Environmental law	4
Discrimination	Snob	4
Wood	Fresh water	4
Apartheid	Lennox Sebe	4
Wood	Glossary of ecology	4
Discrimination	Victim blaming	4
Wood	Habitat conservation	4
Discrimination	Voter suppression	4
Apartheid	African National Congress Youth League	4
Apartheid	Bram Fischer	4
Apartheid	South African Chamber of Mines	4
Apartheid	Breyten Breytenbach	4
Apartheid	South African Congress of Democrats	4
Discrimination	Youth voice	4
Apartheid	Drum (South African magazine)	4
Drakensberg	Johannesburg	4
Wood	Urban ecology	4
Ecosystem	Ecology	4
Wood	Water pollution	4
Fiber	Button	4
Apartheid	Alan Paton	4
Fiber	Crochet	4
Apartheid	Albertina Sisulu	4
Apartheid	Day of the Vow	3
Apartheid	Feminism	3
Mpumalanga	South African Army	3
Apartheid	Frederick John Harris	3
Clay	Tile	3
Discrimination	Abu Ghraib torture and prisoner abuse	3
HIV	Joint United Nations Programme on HIV/AIDS	3
Apartheid	Government of National Unity (South Africa)	3
Apartheid	National Union of South African Students	3
Discrimination	Abuse of process	3
Soil	Fishery	3
Apartheid	Stereotype threat	3
Textile	Knitting	3
Apartheid	User:Steve92341/Books/South Africa	3
Wood	Willow	3
Discrimination	African National Congress	3
Mpumalanga	Freedom Front Plus	3
Discrimination	Afrikaans	3
Reproduction	Ecological niche	3
Discrimination	Aggression	3
Clay	Bead	3
Discrimination	Alcoholism	3
Soil	Calcium	3
Apartheid	Anti-Polish sentiment	3
Clay	Sink	3
Discrimination	Anger	3
Soil	Thixotropy	3
Apartheid	Steve Biko	3
Wood	Category:Natural resources	3
Apartheid	Great Trek	3
Cooking	Pigment	3
Apartheid	Griekwastad	3
Glass	Abrasive	3
Bias	Index of feminism articles	3
Khoikhoi	Military history of South Africa	3
Discrimination	Anti-Italianism	3
Mpumalanga	List of cities and towns in the Northern Cape	3
Bias	Index of psychology articles	3
Pollution	Nutrition	3
Apartheid	Griqualand East	3
Sexism	Anti-Russian sentiment	3
Discrimination	Anti-Polish sentiment	3
Apartheid	Neo-Nazism	3
Bias	Index of sociology articles	3
Apartheid	Fat acceptance movement	3
Apartheid	South African rand	3
Soil	Air quality index	3
Bias	Jewish quota	3
Apartheid	Persecution	3
Apartheid	Utrecht, KwaZulu-Natal	3
Clay	Rutile	3
Apartheid	Violence against LGBT people	3
Soil	Mining law	3
Discrimination	Article 153 of the Constitution of Malaysia	3
Soil	Sculpture	3
Discrimination	Audism	3
Soil	Wave power	3
Apartheid	Anti-Italianism	3
Wetland	Glossary of ecology	3
Apartheid	Volkstaat	3
Cooking	Food	3
Discrimination	Black Economic Empowerment	3
Cooking	Pasta	3
Discrimination	Black people	3
Cooking	Simmering	3
Apartheid	Voter suppression	3
Gauteng	Politics of South Africa	3
Discrimination	Blonde stereotype	3
Glass	Transparency and translucency	3
Discrimination	Brookside	3
Khoikhoi	Chinese South Africans	3
Apartheid	Walter Sisulu	3
Mpumalanga	Afrikaans	3
Apartheid	Hate crime	3
Mpumalanga	Limpopo	3
Discrimination	Cape Town	3
Mpumalanga	New National Party (South Africa)	3
Apartheid	Hate group	3
Pollution	Eutrophication	3
Discrimination	Character assassination	3
Reproduction	Anatomy	3
Discrimination	Child neglect	3
Bullying	Men's rights movement	3
Apartheid	Hate speech	3
Apartheid	Ephebiphobia	3
Discrimination	Civil union	3
Apartheid	Coloured vote constitutional crisis	3
Apartheid	Anti-Russian sentiment	3
Sexism	Jewish quota	3
Apartheid	Whaling in South Africa	3
Clay	Cone penetration test	3
Apartheid	Height discrimination	3
Clay	Groundwater	3
Discrimination	Cruelty to animals	3
