article,page_in,user_in,portal_in,template_in,category_in,total_in,page_out,user_out,portal_out,template_out,category_out,total_out,RW_by_community,RW_by_expert_pdf,RW_by_expert_pdf_wiki,New_article_suggested_by_expert,AFC,Featured_on_WP_SA_portal,Rewrite_based_on_expert_review,WP_Assessment,Bold_reassesment,Africa_Destubathon,Edit_a_thon,,,
Coal,500,0,0,0,0,500,693,0,5,6,4,708,,,,,,,,,,,,,,
Coal in South Africa,88,10,3,2,0,103,148,0,0,3,3,154,,,,,,,,,,,,,,
Control variable,12,5,0,0,0,17,16,0,0,0,0,16,,,,,,,,,,,,,,
Convenience food,133,10,2,2,1,148,156,0,2,2,0,160,,,,,,,,,,,,,,
Cooking,423,59,1,0,2,485,912,0,3,6,2,923,,,,,,,,,,,,,,
Cradle of Humankind,96,14,1,2,0,113,77,0,0,2,0,79,,,,,,,,,,,,,,
Day of Reconciliation,1,0,0,0,0,1,29,0,0,2,0,31,,,,,,,,,,,,,,
Decantation,6,1,0,0,0,7,14,0,0,2,0,16,,,,,,,,,,,,,,
Dependent and independent variables,179,79,2,3,0,263,50,0,0,0,0,50,,,,,,,,,,,,,,
Design,464,21,1,0,4,490,413,0,3,2,0,418,,,,,,,,,,,,,,
Discrimination,487,4,0,0,0,491,837,0,5,8,3,853,,,,,,,,,,,,,,
Domestic violence,489,4,0,0,0,493,1037,0,0,22,2,1061,,,,,,,,,,,,,,
Domestic violence in South Africa,69,8,0,1,0,78,39,0,0,2,0,41,,,,,,,,,,,,,,
Drakensberg,374,22,3,2,1,402,243,0,0,4,0,247,,,,,,,,,,,,,,
Duration (music),81,16,0,1,0,98,330,0,1,7,1,339,,,,,,,,,,,,,,
Economy of South Africa,411,7,5,7,1,431,499,0,3,8,3,513,,,,,,,,,,,,,,
Ecosystem,493,4,0,0,0,497,764,0,8,12,9,793,,,,,,,,,,,,,,
Electrical conductor,362,17,16,2,1,398,162,0,0,2,0,164,,,,,,,,,,,,,,
Electrical network,350,50,4,3,1,408,140,0,1,2,0,143,,,,,,,,,,,,,,
Electricity generation,476,5,6,0,0,487,335,0,6,2,4,347,,,,,,,,,,,,,,
Energy in South Africa,93,9,0,2,2,106,80,0,3,1,1,85,,,,,,,,,,,,,,
Fair trade,458,10,2,2,3,475,661,0,5,12,11,689,,,,,,,,,,,,,,
Farm,483,3,3,0,1,490,206,0,2,2,7,217,,,,,,,,,,,,,,
Fiber,471,6,4,0,0,481,357,0,2,6,2,367,,,,,,,,,,,,,,
Fire safety,316,25,0,1,0,342,226,0,0,4,4,234,,,,,,,,,,,,,,
Flag of South Africa,301,47,5,11,0,364,164,0,2,4,0,170,,,,,,,,,,,,,,
Food,498,1,0,0,0,499,1317,0,12,10,10,1349,,,,,,,,,,,,,,
Food group,14,8,2,0,0,24,67,0,0,0,1,68,,,,,,,,,,,,,,
Food pyramid (nutrition),15,6,0,0,0,21,148,0,2,0,0,150,,,,,,,,,,,,,,
Food security,423,16,21,2,0,462,498,0,4,4,5,511,,,,,,,,,,,,,,
Food vs. fuel,266,61,2,3,4,336,358,0,2,2,3,365,,,,,,,,,,,,,,
Frances Baard,10,2,1,0,0,13,46,0,0,0,0,46,,,,,,,,,,,,,,
Free State (province),364,7,0,9,11,391,261,0,0,4,0,265,,,,,,,,,,,,,,
Freedom Day (South Africa),32,4,1,1,0,38,22,0,0,2,0,24,,,,,,,,,,,,,,
Gana and Gwi people,9,1,0,0,0,10,12,0,0,3,0,15,,,,,,,,,,,,,,
Gangster,393,41,2,0,0,436,334,0,2,3,0,339,,,,,,,,,,,,,,
Gas,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Gauteng,496,0,3,0,0,499,372,0,1,4,0,377,,,,,,,,,,,,,,
Gender role,46,11,4,1,0,62,487,0,5,6,3,501,,,,,,,,,,,,,,
Gender stereotypes,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Glass,492,5,0,0,0,497,730,0,0,9,1,740,,,,,,,,,,,,,,
Griqua people,246,7,2,6,0,261,139,0,0,2,0,141,,,,,,,,,,,,,,
Hand washing,214,39,3,3,0,259,354,0,0,6,2,362,,,,,,,,,,,,,,
Health,458,14,3,0,5,480,234,0,1,0,0,235,,,,,,,,,,,,,,
Healthcare in South Africa,93,5,0,2,0,100,280,0,1,6,3,290,,,,,,,,,,,,,,
Herero and Namaqua Genocide,220,21,8,8,0,257,323,0,3,6,1,333,,,,,,,,,,,,,,
Heritage Day (South Africa),27,3,1,1,0,32,34,0,0,2,0,36,,,,,,,,,,,,,,
History of South Africa,331,25,7,7,1,371,912,0,2,10,5,929,,,,,,,,,,,,,,
History of writing,361,23,16,5,1,406,901,0,0,10,4,915,,,,,,,,,,,,,,
HIV,496,1,0,0,0,497,824,0,2,57,0,883,,,,,,,,,,,,,,
HIV/AIDS,488,1,2,1,1,493,1250,0,2,73,1,1326,,,,,,,,,,,,,,
Home safety,1,2,0,0,0,3,11,0,0,0,0,11,,,,,,,,,,,,,,
Human nutrition,191,43,5,2,0,241,875,0,2,8,2,887,,,,,,,,,,,,,,
Human Rights Day,174,17,14,3,0,208,84,0,0,0,1,85,,,,,,,,,,,,,,
Human swimming,494,2,3,0,1,500,271,0,1,2,1,275,,,,,,,,,,,,,,
Hydraulics,477,8,0,1,1,487,131,0,0,2,0,133,,,,,,,,,,,,,,
Insulator (electricity),261,86,4,3,0,354,238,0,1,2,0,241,,,,,,,,,,,,,,
Kaditshwene,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Khoikhoi,298,30,8,5,1,342,70,0,1,0,0,71,,,,,,,,,,,,,,
Khoisan languages,29,1,0,1,1,32,180,0,0,2,0,182,,,,,,,,,,,,,,
Kingdom of Mapungubwe,31,4,0,0,0,35,285,0,0,6,1,292,,,,,,,,,,,,,,
Later Stone Age,51,10,0,2,0,63,330,0,0,2,1,333,,,,,,,,,,,,,,
Latitude,489,5,0,0,0,494,283,0,0,2,0,285,,,,,,,,,,,,,,
Liquid fuel,61,3,4,0,0,68,104,0,0,0,0,104,,,,,,,,,,,,,,
List of South Africans,117,14,0,1,0,132,1010,0,1,2,20,1033,,,,,,,,,,,,,,
Longitude,470,11,0,2,0,483,515,0,1,10,1,527,,,,,,,,,,,,,,
Mahatma Gandhi,491,5,0,0,0,496,2255,0,7,21,13,2296,,,,,,,,,,,,,,
Makhonjwa Mountains,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Malaria,497,2,0,0,0,499,961,0,0,18,2,981,,,,,,,,,,,,,,
Mandela Day,95,4,0,1,0,100,100,0,0,2,2,104,,,,,,,,,,,,,,
Map,416,69,4,0,3,492,400,0,2,6,4,412,,,,,,,,,,,,,,
Mapungubwe Museum,36,0,0,1,12,49,56,0,0,4,4,64,,,,,,,,,,,,,,
Mapungubwe National Park,31,3,0,1,0,35,99,0,0,2,0,101,,,,,,,,,,,,,,
Mind map,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Mining industry of South Africa,138,7,2,2,0,149,185,0,0,4,0,189,,,,,,,,,,,,,,
Mpumalanga,474,4,1,10,3,492,257,0,0,4,0,261,,,,,,,,,,,,,,
Music of Africa,318,36,0,7,7,368,398,0,1,4,1,404,,,,,,,,,,,,,,
Music of South Africa,266,13,6,1,1,287,485,0,4,6,13,508,,,,,,,,,,,,,,
National anthem of South Africa,106,6,0,2,0,114,115,0,0,9,0,124,,,,,,,,,,,,,,
National symbols of South Africa,99,9,0,2,0,110,31,0,0,0,0,31,,,,,,,,,,,,,,
National Women's Day,41,2,11,1,0,55,40,0,0,4,0,44,,,,,,,,,,,,,,
Nelson Mandela,498,2,0,0,0,500,1258,0,0,55,2,1315,,,,,,,,,,,,,,
Nest,352,40,30,7,0,429,126,0,0,0,0,126,,,,,,,,,,,,,,
Noise pollution,378,13,8,1,1,401,242,0,0,4,0,246,,,,,,,,,,,,,,
Oliver Tambo,268,11,0,4,1,284,185,0,0,4,6,195,,,,,,,,,,,,,,
Outer space,472,6,0,0,0,478,827,0,6,4,2,839,,,,,,,,,,,,,,
Outline of domestic violence,158,18,5,3,0,184,311,0,13,2,0,326,,,,,,,,,,,,,,
Paper,493,5,0,0,0,498,765,0,2,12,2,781,,,,,,,,,,,,,,
People Against Gangsterism and Drugs,244,10,0,1,3,258,329,0,3,7,3,342,,,,,,,,,,,,,,
Petrol-paraffin engine,11,1,0,0,0,12,45,0,0,0,0,45,,,,,,,,,,,,,,
Pitch (music),494,1,0,1,0,496,296,0,0,7,0,303,,,,,,,,,,,,,,
Pneumatics,290,33,4,2,0,329,119,0,0,2,0,121,,,,,,,,,,,,,,
Politics of South Africa,437,8,9,16,5,475,539,0,2,14,5,560,,,,,,,,,,,,,,
Pollution,479,14,1,0,1,495,629,0,1,6,5,641,,,,,,,,,,,,,,
Processed food,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Rail transport,499,0,0,0,0,499,730,0,4,10,1,745,,,,,,,,,,,,,,
Rail transport in South Africa,441,8,0,1,1,451,155,0,0,2,0,157,,,,,,,,,,,,,,
Reproduction,454,11,3,0,1,469,284,0,1,2,1,288,,,,,,,,,,,,,,
Right to food,115,15,2,2,0,134,327,0,2,6,1,336,,,,,,,,,,,,,,
Road map,28,5,2,1,1,37,70,0,0,0,0,70,,,,,,,,,,,,,,
Rock (geology),490,2,0,0,1,493,219,0,2,2,1,224,,,,,,,,,,,,,,
Saartjie Baartman,9,3,0,0,0,12,131,0,2,0,1,134,,,,,,,,,,,,,,
San healing practices,7,1,3,0,0,11,5,0,0,1,0,6,,,,,,,,,,,,,,
San people,242,15,2,3,0,262,299,0,0,2,0,301,,,,,,,,,,,,,,
San religion,96,7,4,3,3,113,194,0,0,6,2,202,,,,,,,,,,,,,,
San rock art,11,1,0,0,0,12,20,0,0,0,0,20,,,,,,,,,,,,,,
Sand,490,3,0,1,0,494,375,0,0,4,1,380,,,,,,,,,,,,,,
Scale (map),117,21,5,9,0,152,64,0,0,0,0,64,,,,,,,,,,,,,,
Scientific method,476,10,0,0,0,486,1051,0,5,4,7,1067,,,,,,,,,,,,,,
Settling,55,22,0,0,0,77,43,0,0,0,0,43,,,,,,,,,,,,,,
Sexism,473,6,1,0,1,481,1284,0,12,13,10,1319,,,,,,,,,,,,,,
Sieve,14,4,0,0,0,18,29,0,1,0,0,30,,,,,,,,,,,,,,
Soil,494,2,0,0,0,496,863,0,7,4,6,880,,,,,,,,,,,,,,
Sound,482,5,0,1,5,493,248,0,0,4,1,253,,,,,,,,,,,,,,
South Africa,484,7,2,3,0,496,690,0,5,6,5,706,,,,,,,,,,,,,,
South African cuisine,348,2,0,1,0,351,1585,0,0,2,6,1593,,,,,,,,,,,,,,
South African locomotive history,281,19,7,2,2,311,1832,0,2,24,5,1863,,,,,,,,,,,,,,
Standard Model,402,33,8,4,1,448,760,0,3,10,7,780,,,,,,,,,,,,,,
Stereotype,473,10,0,1,2,486,667,0,3,6,5,681,,,,,,,,,,,,,,
Steve Biko,431,8,8,5,0,452,484,0,0,6,7,497,,,,,,,,,,,,,,
Tap (valve),112,12,2,0,0,126,74,0,0,0,0,74,,,,,,,,,,,,,,
Textile,497,1,0,0,0,498,723,0,0,6,1,730,,,,,,,,,,,,,,
Trade,494,4,0,1,0,499,419,0,1,5,3,428,,,,,,,,,,,,,,
Transport,485,6,0,0,0,491,988,0,4,8,7,1007,,,,,,,,,,,,,,
Transport in South Africa,164,5,0,2,2,173,336,0,1,6,5,348,,,,,,,,,,,,,,
Vibration,412,20,4,2,1,439,221,0,0,2,0,223,,,,,,,,,,,,,,
Walter Sisulu,238,11,1,3,1,254,210,0,0,4,6,220,,,,,,,,,,,,,,
Water filter,84,15,1,0,1,101,69,0,0,0,0,69,,,,,,,,,,,,,,
Water pollution,458,3,8,0,3,472,609,0,11,8,7,635,,,,,,,,,,,,,,
Water privatisation in South Africa,2,5,0,0,0,7,22,0,0,0,0,22,,,,,,,,,,,,,,
Water supply and sanitation in South Africa,41,12,0,0,2,55,113,0,0,2,1,116,,,,,,,,,,,,,,
Water well,494,0,0,1,0,495,248,0,0,2,0,250,,,,,,,,,,,,,,
Wax,480,7,3,0,3,493,332,0,2,4,1,339,,,,,,,,,,,,,,
Western Cape,489,2,2,1,1,495,410,0,0,4,1,415,,,,,,,,,,,,,,
Wetland,487,5,3,0,2,497,514,0,2,4,3,523,,,,,,,,,,,,,,
Wildlife conservation,488,0,2,0,1,491,197,0,7,2,6,212,,,,,,,,,,,,,,
Wildlife management,320,18,13,4,1,356,263,0,9,2,6,280,,,,,,,,,,,,,,
Winnie Madikizela-Mandela,389,31,2,5,0,427,326,0,0,6,6,338,,,,,,,,,,,,,,
Wood,498,2,0,0,0,500,1040,0,13,10,25,1088,,,,,,,,,,,,,,
Wool,500,0,0,0,0,500,659,0,0,6,0,665,,,,,,,,,,,,,,
Youth culture,128,18,3,0,0,149,35,0,0,0,0,35,,,,,,,,,,,,,,
