article(exit),page,user,portal,template,category,total
Liquid fuel,104,0,0,0,0,104
Longitude,515,0,1,10,1,527
Mandela Day,100,0,0,2,2,104
List of South Africans,1010,0,1,2,20,1033
Map,400,0,2,6,4,412
Mapungubwe,285,0,0,6,1,292
Mapungubwe Museum,56,0,0,4,4,64
Mining industry of South Africa,185,0,0,4,0,189
Mpumalanga,257,0,0,4,0,261
Music of South Africa,398,0,1,4,1,404
National anthem of South Africa,115,0,0,9,0,124
National symbols of South Africa,31,0,0,0,0,31
Nest,126,0,0,0,0,126
National Women's Day,40,0,0,4,0,44
Outer space,827,0,6,4,2,839
Paper,765,0,2,12,2,781
People Against Gangsterism and Drugs,329,0,3,7,3,342
Oliver Tambo,185,0,0,4,6,195
Domestic violence,1037,0,0,22,2,1061
Petrol-paraffin engine,45,0,0,0,0,45
Pitch (music),296,0,0,7,0,303
Pneumatics,119,0,0,2,0,121
Politics of South Africa,539,0,2,14,5,560
Pollution,629,0,1,6,5,641
Rail transport in South Africa,155,0,0,2,0,157
Rail transport,730,0,4,10,1,745
Reproduction,284,0,1,2,1,288
Noise pollution,242,0,0,4,0,246
Road map,70,0,0,0,0,70
Rock (geology),219,0,2,2,1,224
San healing practices,5,0,0,1,0,6
San languages,180,0,0,2,0,182
San people,299,0,0,2,0,301
San religion,194,0,0,6,2,202
San rock art,20,0,0,0,0,20
Sand,375,0,0,4,1,380
Scale (map),64,0,0,0,0,64
Scientific method,1051,0,5,4,7,1067
Settling,43,0,0,0,0,43
HIV/AIDS,1250,0,2,73,1,1326
Sieving,29,0,1,0,0,30
Soil,863,0,7,4,6,880
Sound,248,0,0,4,1,253
South African cuisine,690,0,5,6,5,706
Mahatma Gandhi,2255,0,7,21,13,2296
Malaria,961,0,0,18,2,981
Standard Model,760,0,3,10,7,780
Steve Biko,484,0,0,6,7,497
Stereotype,667,0,3,6,5,681
Tap (valve),74,0,0,0,0,74
Textile,723,0,0,6,1,730
Trade,419,0,1,5,3,428
Mapungubwe National Park,99,0,0,2,0,101
Reconciliation Day,29,0,0,2,0,31
Transport in South Africa,336,0,1,6,5,348
Right to food,327,0,2,6,1,336
Two foot gauge railways in South Africa,148,0,2,0,0,150
Nelson Mandela,1258,0,0,55,2,1315
Outline of domestic violence,311,0,13,2,0,326
Transport,988,0,4,8,7,1007
Walter Sisulu,210,0,0,4,6,220
Vibration,221,0,0,2,0,223
Water filter,69,0,0,0,0,69
Water supply and sanitation in South Africa,113,0,0,2,1,116
Water pollution,609,0,11,8,7,635
Water privatization in South Africa,22,0,0,0,0,22
Wax,332,0,2,4,1,339
Western Cape,410,0,0,4,1,415
Wildlife management,263,0,9,2,6,280
Wildlife conservation,197,0,7,2,6,212
Winnie Madikizela-Mandela,326,0,0,6,6,338
Wool,659,0,0,6,0,665
Wood,1040,0,13,10,25,1088
Youth culture,35,0,0,0,0,35
Water well,248,0,0,2,0,250
Wetlands,514,0,2,4,3,523
Republic of South Africa,1832,0,2,24,5,1863
Sexism,1284,0,12,13,10,1319
South African locomotive history,1585,0,0,2,6,1593
