id	article	page_out	user_out	portal_out	template_out	category_out	total_out
75	Health	310	0	21	0	1	332
76	Healthcare_in_South_Africa	249	0	8	3	1	261
77	Herero_and_Namaqua_genocide	460	0	43	4	3	510
78	Heritage_Day_(South_Africa)	38	0	10	1	0	49
79	History_of_South_Africa	1263	0	139	7	4	1413
80	History_of_writing	925	0	16	5	0	946
81	HIV	885	0	32	4	2	923
82	HIV/AIDS	1251	0	42	4	0	1297
83	Home_safety	40	0	11	0	0	51
84	Human_nutrition	1116	0	45	4	4	1169
85	Human_Rights_Day	111	0	11	0	2	124
86	Human_swimming	360	0	10	2	1	373
87	Hydraulics	158	0	16	1	0	175
88	Insulator_(electricity)	269	0	6	1	1	277
89	Kaditshwene	25	0	3	0	0	28
90	Khoikhoi	209	0	18	2	1	230
91	Khoisan_languages	235	0	7	2	0	244
92	Kingdom_of_Mapungubwe	377	0	24	4	2	407
93	Later_Stone_Age	310	0	4	1	0	315
94	Latitude	425	0	5	3	1	434
95	List_of_South_Africans	1078	0	29	1	1	1109
96	Liquid_fuel	111	0	5	0	0	116
97	Longitude	659	0	4	9	2	674
98	Mahatma_Gandhi	2460	0	116	10	10	2596
99	Makhonjwa_Mountains	28	0	4	0	0	32
100	Malaria	1099	0	20	3	0	1122
101	Mandela_Day	125	0	16	1	0	142
102	Map	413	0	17	3	2	435
103	Mapungubwe_Collection	108	0	12	2	1	123
104	Mapungubwe_National_Park	125	0	11	1	0	137
105	Mind_map	181	0	30	4	1	216
106	Mining_industry_of_South_Africa	208	0	11	2	0	221
107	Mpumalanga	272	0	16	2	0	290
108	Music_of_Africa	501	1	22	3	4	531
109	Music_of_South_Africa	575	0	13	3	2	593
110	National_anthem_of_South_Africa	107	0	10	9	0	126
111	National_symbols_of_South_Africa	79	0	4	2	1	86
112	National_Women's_Day	48	0	13	1	0	62
113	Nelson_Mandela	1300	0	82	44	0	1426
114	Nest	157	0	6	0	0	163
115	Noise_pollution	265	0	6	2	0	273
116	Oliver_Tambo	200	0	30	2	0	232
117	Outer_space	894	0	13	2	7	916
118	Outline_of_animal-powered_transport	113	0	2	1	1	117
119	Outline_of_domestic_violence	326	0	3	1	1	331
120	Paper	884	0	23	7	2	916
121	People_Against_Gangsterism_and_Drugs	348	0	10	5	3	366
122	Petrol-paraffin_engine	59	0	8	0	0	67
123	Pitch_(music)	357	0	11	6	0	374
124	Pneumatics	118	0	3	1	0	122
125	Politics_of_South_Africa	549	0	12	8	1	570
126	Pollution	770	0	19	4	2	795
127	Rail_transport	820	0	21	5	5	851
128	Rail_transport_in_South_Africa	172	0	5	1	0	178
129	Reproduction	311	0	10	1	1	323
130	Right_to_food	278	0	8	2	1	289
131	Road_map	94	0	4	0	0	98
132	Rock_(geology)	214	0	12	3	1	230
133	San_healing_practices	15	0	8	1	1	25
134	San_people	449	0	23	4	0	476
135	San_religion	196	0	8	3	1	208
136	San_rock_art	29	0	5	0	0	34
137	Sand	409	0	10	2	0	421
138	Sarah_Baartman	165	0	23	0	2	190
139	Scale_(map)	87	0	10	0	0	97
140	Scientific_method	973	0	17	2	5	997
141	Settling	55	0	5	0	0	60
142	Sexism	1923	0	36	7	13	1979
143	Sieve	56	0	7	0	1	64
144	Soil	1482	0	34	4	8	1528
145	Sound	318	0	7	2	0	327
146	South_Africa	2071	0	60	13	2	2146
147	South_African_cuisine	740	0	23	4	6	773
148	South_African_locomotive_history	1841	0	13	1	0	1855
149	Standard_Model	845	0	13	5	3	866
150	Stereotype	754	0	14	3	3	774
151	Steve_Biko	392	0	38	1	0	431
152	Tap_(valve)	96	0	9	0	0	105
153	Textile	764	0	11	3	0	778
154	Trade	615	0	9	3	2	629
155	Transport	1064	0	26	5	4	1099
156	Two-foot-gauge_railways_in_South_Africa	154	0	10	0	2	166
157	Vibration	266	0	7	1	0	274
158	Walter_Sisulu	514	0	27	3	1	545
159	Water_filter	85	0	7	0	0	92
160	Water_pollution	675	0	23	5	12	715
161	Water_privatisation_in_South_Africa	24	0	8	0	0	32
162	Water_supply_and_sanitation_in_South_Africa	152	0	16	1	0	169
163	Water_well	345	0	17	1	0	363
164	Wax	378	0	5	2	2	387
165	Western_Cape	445	0	22	2	0	469
166	Wetland	737	0	22	5	4	768
167	Wildlife_conservation	241	0	12	2	9	264
168	Wildlife_management	268	0	11	1	10	290
169	Winnie_Madikizela-Mandela	348	0	38	3	0	389
170	Wood	1108	0	61	5	14	1188
171	Wool	727	0	22	3	0	752
172	Youth_culture	40	0	8	0	0	48
173	ǃKung_people	26	0	0	0	0	26
