id	article	page_in	user_in	portal_in	template_in	category_in	total_in
55	Fair_trade	1637	160	4	9	21	1831
56	Farm	1671	150	8	4	45	1878
57	Fiber	1083	91	0	16	20	1210
58	Fire_safety	468	20	0	1	2	491
59	Flag_of_South_Africa	524	69	0	12	6	611
60	Food	40849	905	33	22	88	41897
61	Food_group	69	10	0	0	0	79
62	Food_pyramid_(nutrition)	70	11	0	0	0	81
63	Food_security	1148	108	3	5	33	1297
64	Food_vs._fuel	289	60	3	3	2	357
65	Frances_Baard	19	3	0	0	0	22
66	Free_State_(province)	754	13	11	10	0	788
67	Freedom_Day_(South_Africa)	58	3	0	1	2	64
68	Gangster	1367	129	0	2	19	1517
69	Gas	2410	430	3	80	112	3035
70	Gauteng	2396	101	16	34	16	2563
71	Gender_role	1414	185	3	6	46	1654
72	Glass	4822	350	7	23	44	5246
73	Griqua_people	279	7	1	6	2	295
74	Hand_washing	429	44	0	3	3	479
75	Health	7206	534	14	20	62	7836
76	Healthcare_in_South_Africa	134	6	0	1	0	141
77	Herero_and_Namaqua_genocide	145	10	0	2	1	158
78	Heritage_Day_(South_Africa)	74	3	0	1	4	82
79	History_of_South_Africa	719	70	3	8	7	807
80	History_of_writing	674	79	1	6	17	777
81	HIV	5495	599	12	25	262	6393
82	HIV/AIDS	3411	333	8	14	66	3832
83	Home_safety	20	1	0	0	0	21
84	Human_nutrition	497	62	0	3	4	566
85	Human_Rights_Day	251	17	0	4	18	290
86	Human_swimming	1137	54	2	4	14	1211
87	Hydraulics	1237	115	1	2	33	1388
88	Insulator_(electricity)	387	110	0	6	4	507
89	Kaditshwene	24	1	0	0	0	25
90	Khoikhoi	430	33	2	5	8	478
91	Khoisan_languages	216	30	1	23	0	270
92	Kingdom_of_Mapungubwe	580	19	1	6	0	606
93	Later_Stone_Age	80	17	0	2	0	99
94	Latitude	3582	299	4	426	109	4420
95	List_of_South_Africans	71	13	0	0	1	85
96	Liquid_fuel	74	6	0	0	4	84
97	Longitude	3206	252	3	419	54	3934
98	Mahatma_Gandhi	5010	566	3	38	203	5820
99	Makhonjwa_Mountains	30	1	0	0	0	31
100	Malaria	4947	435	3	20	81	5486
101	Mandela_Day	149	7	0	1	0	157
102	Map	1804	1709	11	24	99	3647
103	Mapungubwe_Collection	73	0	12	2	0	87
104	Mapungubwe_National_Park	46	4	0	1	0	51
105	Mind_map	619	160	4	6	9	798
106	Mining_industry_of_South_Africa	195	6	0	2	3	206
107	Mpumalanga	1169	37	11	27	7	1251
108	Music_of_Africa	939	72	5	5	12	1033
109	Music_of_South_Africa	447	42	7	5	0	501
110	National_anthem_of_South_Africa	170	8	0	2	0	180
111	National_symbols_of_South_Africa	121	8	0	2	0	131
112	National_Women's_Day	78	2	0	1	12	93
113	Nelson_Mandela	4508	649	6	42	163	5368
114	Nest	420	45	0	7	33	505
115	Noise_pollution	903	67	1	2	11	984
116	Oliver_Tambo	337	13	1	2	0	353
117	Outer_space	2226	305	9	22	111	2673
118	Outline_of_animal-powered_transport	33	5	0	1	5	44
119	Outline_of_domestic_violence	224	25	0	4	5	258
120	Paper	2361	287	8	18	39	2713
121	People_Against_Gangsterism_and_Drugs	33	8	0	0	0	41
122	Petrol-paraffin_engine	23	0	0	0	0	23
123	Pitch_(music)	1346	142	2	11	18	1519
124	Pneumatics	469	40	0	1	4	514
125	Politics_of_South_Africa	586	25	5	16	10	642
126	Pollution	2718	340	6	10	68	3142
127	Rail_transport	111514	244	449	53	456	112716
128	Rail_transport_in_South_Africa	114	9	1	0	0	124
129	Reproduction	936	189	3	6	17	1151
130	Right_to_food	139	16	0	1	2	158
131	Road_map	46	5	1	1	2	55
132	Rock_(geology)	2408	236	7	16	163	2830
133	San_healing_practices	24	0	0	0	3	27
134	San_people	428	22	1	4	4	459
135	San_religion	422	35	4	4	6	471
136	San_rock_art	22	0	0	0	0	22
137	Sand	2656	211	0	18	38	2923
138	Sarah_Baartman	51	19	0	0	0	70
139	Scale_(map)	194	26	0	11	5	236
140	Scientific_method	3585	734	11	19	112	4461
141	Settling	63	30	0	0	0	93
142	Sexism	2072	235	1	8	25	2341
143	Sieve	248	36	0	0	0	284
144	Soil	3935	285	13	17	104	4354
145	Sound	2476	370	14	6	67	2933
146	South_Africa	94554	4672	766	574	1153	101719
147	South_African_cuisine	679	48	0	5	2	734
148	South_African_locomotive_history	436	1	0	6	0	443
149	Standard_Model	926	419	1	8	14	1368
150	Stereotype	2079	1199	2	9	24	3313
151	Steve_Biko	780	53	1	5	15	854
152	Tap_(valve)	173	13	0	0	2	188
153	Textile	2791	210	15	17	97	3130
154	Trade	3412	239	2	9	92	3754
155	Transport	10485	349	345	26	94	11299
156	Two-foot-gauge_railways_in_South_Africa	20	1	0	0	0	21
157	Vibration	696	114	2	3	5	820
158	Walter_Sisulu	593	15	1	3	0	612
159	Water_filter	222	15	1	0	1	239
160	Water_pollution	1832	134	4	6	39	2015
161	Water_privatisation_in_South_Africa	13	4	0	0	0	17
162	Water_supply_and_sanitation_in_South_Africa	200	15	2	2	2	221
163	Water_well	1893	71	2	6	15	1987
164	Wax	976	94	4	12	16	1102
165	Western_Cape	2335	78	22	39	9	2483
166	Wetland	3807	150	18	28	126	4129
167	Wildlife_conservation	647	57	4	2	25	735
168	Wildlife_management	402	20	2	6	13	443
169	Winnie_Madikizela-Mandela	491	37	0	4	2	534
170	Wood	4591	441	11	24	103	5170
171	Wool	2542	115	3	22	63	2745
172	Youth_culture	185	22	0	0	3	210
173	ǃKung_people	155	10	1	4	0	170
