article,entry_links,exit_links,images,issues,notes,references,seeAlso,pagerank
Human nutrition,241,887,10,2,0,95,0,5
Human Rights Day,208,85,7,0,0,19,5,5
Human swimming,500,275,17,0,0,23,0,5
Hydraulics,487,133,8,0,9,9,7,6
Insulator (electricity),354,241,24,0,9,9,0,6
Khoikhoi,342,71,12,1,0,9,0,5
Khoikhoi mythology,90,202,2,0,0,27,0,5
Later Stone Age,63,333,4,0,0,7,0,5
Latitude,494,285,24,2,0,16,18,6
Liquid fuel,68,104,3,1,0,3,0,5
List of South Africans,132,1033,66,1,0,2,6,6
Longitude,483,527,10,0,0,11,18,6
Mahatma Gandhi,496,2296,68,1,0,275,5,6
Malaria,499,981,31,0,0,190,0,6
Mandela Day,100,104,3,0,0,6,0,5
Map,492,412,21,0,0,6,0,6
Mapungubwe,35,292,19,0,11,11,11,5
Mapungubwe Museum,49,64,7,0,0,1,0,5
Mapungubwe National Park,35,101,7,0,0,9,1,4
Mining industry of South Africa,149,189,8,1,0,27,1,6
Mpumalanga,492,261,9,0,0,9,1,5
Music of South Africa,368,404,2,2,0,12,4,6
National anthem of South Africa,114,124,1,0,0,6,5,5
National symbols of South Africa,110,31,12,0,0,9,5,4
National Women's Day,55,44,4,0,0,4,3,5
Nelson Mandela,500,1315,58,0,0,401,0,6
Nest,429,126,16,0,0,11,3,5
Noise pollution,401,246,10,0,0,25,6,5
Oliver Tambo,284,195,4,1,13,13,0,6
Outer space,478,839,32,0,0,139,0,6
Outline of domestic violence,184,326,2,0,0,65,9,5
Paper,498,781,10,0,0,26,26,6
People Against Gangsterism and Drugs,258,342,5,0,0,8,0,5
Petrol-paraffin engine,12,45,9,1,0,8,0,3
Pitch (music),496,303,5,1,0,23,17,6
Pneumatics,329,121,2,0,1,1,4,5
Politics of South Africa,475,560,9,1,0,3,0,6
Pollution,495,641,24,0,0,54,1,6
Rail transport,499,745,57,0,1,49,0,6
Rail transport in South Africa,451,157,6,0,0,14,15,4
Reconciliation Day,1,31,1,0,0,2,0,5
Reproduction,469,288,7,0,20,20,7,6
Republic of South Africa,311,1863,86,1,1,181,0,7
Right to food,134,336,13,0,0,69,0,6
Road map,37,70,12,0,0,7,1,4
Rock (geology),493,224,18,0,0,11,0,6
San healing practices,11,6,0,1,0,10,1,0
San languages,32,182,1,0,5,5,0,6
San people,262,301,15,0,0,89,10,6
San religion,113,202,2,0,0,27,0,0
San rock art,12,20,2,0,9,9,9,0
Sand,494,380,21,7,0,10,0,6
Scale (map),152,64,22,2,0,6,0,5
Scientific method,486,1067,26,2,162,162,36,6
Settling,77,43,6,0,0,5,5,5
Sexism,481,1319,41,1,0,308,43,6
Sieving,18,30,8,1,0,6,0,5
Soil,496,880,48,0,0,216,0,6
Sound,493,253,13,0,0,8,25,6
South African cuisine,496,706,23,1,0,0,0,6
South African locomotive history,351,1593,341,0,0,30,2,0
Standard Model,448,780,11,1,0,39,0,6
Stereotype,486,681,15,1,0,83,37,6
Steve Biko,452,497,4,0,0,42,4,6
Tap (valve),126,74,15,1,0,2,0,5
Textile,498,730,28,0,0,23,18,6
Trade,499,428,18,0,50,50,0,6
Transport,491,1007,42,0,33,33,0,6
Transport in South Africa,173,348,9,0,0,6,0,6
Two foot gauge railways in South Africa,39,150,4,0,0,40,0,3
Vibration,439,223,25,1,0,9,34,6
Walter Sisulu,254,220,3,0,0,10,0,6
Water filter,101,69,5,1,0,10,9,5
Water pollution,472,635,38,0,0,42,0,6
Water privatization in South Africa,7,22,0,0,0,6,1,3
Water supply and sanitation in South Africa,55,116,11,0,0,67,4,4
Water well,495,250,38,0,0,12,6,6
Wax,493,339,17,0,0,6,1,5
Western Cape,495,415,27,2,0,28,0,6
Wetlands,497,523,24,0,0,80,0,6
Wildlife conservation,491,212,5,0,0,16,4,5
Wildlife management,356,280,5,0,0,20,0,5
Winnie Madikizela-Mandela,427,338,5,2,0,43,1,6
Wood,500,1088,39,1,0,26,0,6
Wool,500,665,37,0,0,40,37,6
Youth culture,149,35,4,1,0,30,10,5
