article                                    ,editor                       ,gender ,editcount,registration        ,emailable,rigths
Agriculture_in_South_Africa                ,BooysenN                     ,unknown,176      ,2014-06-23T13:23:40Z,no       ,45    
Bullying                                   ,Lalalacharlie                ,unknown,128      ,2014-09-04T12:34:50Z,no       ,45    
Bullying                                   ,Bec2493                      ,unknown,66       ,2014-09-04T12:37:22Z,no       ,45    
Atom                                       ,Rjwilmsi                     ,unknown,785996   ,2005-03-04T11:57:51Z,no       ,48    
Bird_nest                                  ,SchreiberBike                ,unknown,115935   ,2007-11-18T05:29:58Z,undefined,47    
Bird_nest                                  ,PBS-AWB                      ,unknown,29312    ,2010-03-24T01:30:01Z,no       ,45    
Alcohol_dependence                         ,Fedor Babkin                 ,male   ,118      ,2011-06-03T04:27:01Z,undefined,45    
Atom                                       ,Kurzon                       ,unknown,8120     ,2005-01-11T19:36:19Z,no       ,45    
Africa_Day                                 ,Enock4seth                   ,male   ,5356     ,2012-12-21T21:23:28Z,undefined,47    
Bird_nest                                  ,Calliopejen1                 ,unknown,107292   ,2007-04-06T01:06:34Z,undefined,106   
Boiling                                    ,Northamerica1000             ,unknown,373554   ,2011-06-08T11:28:20Z,undefined,106   
Biome                                      ,Download                     ,unknown,89428    ,2008-04-17T03:35:11Z,undefined,49    
Bird_nest                                  ,MeegsC                       ,unknown,19348    ,2007-04-19T18:58:41Z,undefined,49    
Boiling                                    ,Nhergert                     ,unknown,31       ,2012-08-11T04:36:58Z,undefined,45    
Bullying                                   ,Ntreg19                      ,unknown,57       ,2014-08-29T16:48:18Z,no       ,45    
Biome                                      ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Atom                                       ,Tedsanders                   ,unknown,468      ,2013-04-10T21:37:02Z,undefined,45    
Animal-powered_transport                   ,Djembayz                     ,unknown,27200    ,2010-02-28T03:45:29Z,undefined,51    
Atom                                       ,LenW                         ,unknown,110      ,2006-02-12T20:17:33Z,undefined,45    
Atom                                       ,Kaldari                      ,unknown,54108    ,2004-04-19T23:46:18Z,undefined,58    
Boiling                                    ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
Atom                                       ,Arjayay                      ,unknown,91147    ,2007-11-01T15:33:50Z,undefined,47    
Ceramic                                    ,Yobot                        ,unknown,4270016  ,2008-06-17T22:33:17Z,undefined,53    
Agriculture_in_South_Africa                ,Skamecrazy123                ,male   ,12011    ,2009-12-13T19:03:36Z,undefined,46    
Ceramic                                    ,Czehrung                     ,unknown,2        ,2014-12-02T02:55:04Z,no       ,31    
Borehole                                   ,DexDor                       ,male   ,43448    ,2009-11-15T21:22:44Z,no       ,46    
Biome                                      ,FredericKahler               ,unknown,8        ,2006-09-25T12:58:28Z,no       ,31    
Borehole                                   ,Pinethicket                  ,unknown,126355   ,2009-05-13T16:12:45Z,no       ,49    
Borehole                                   ,Archon 2488                  ,male   ,5998     ,2008-08-13T18:45:42Z,undefined,45    
Boiling                                    ,Lugia2453                    ,unknown,86306    ,2012-07-17T16:15:57Z,undefined,49    
Drakensberg                                ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Apartheid                                  ,Bruce1ee                     ,male   ,64918    ,2005-03-14T06:47:32Z,undefined,49    
Biome                                      ,Ahecht                       ,unknown,16470    ,2006-08-16T16:25:07Z,undefined,50    
Ceramic                                    ,ATinySliver                  ,unknown,9049     ,2007-04-05T16:59:56Z,undefined,45    
Ceramic                                    ,Peacedance                   ,female ,805      ,2009-10-11T23:35:07Z,undefined,45    
Borehole                                   ,Telekineticturtle            ,unknown,56       ,2008-07-20T14:55:21Z,undefined,45    
Ceramic                                    ,Tosek                        ,male   ,56       ,2011-11-30T17:18:47Z,undefined,45    
Drakensberg                                ,GoingBatty                   ,male   ,280693   ,2010-01-29T01:04:30Z,no       ,51    
Boiling                                    ,I dream of horses            ,female ,194653   ,2009-05-13T20:36:29Z,undefined,49    
Climate                                    ,NewsAndEventsGuy             ,unknown,13684    ,2011-05-07T17:23:09Z,undefined,46    
Drakensberg                                ,Oggmus                       ,unknown,1044     ,2013-12-27T15:26:49Z,no       ,45    
Climate                                    ,Petrb                        ,male   ,27458    ,2010-10-14T14:03:37Z,undefined,52    
Drakensberg                                ,R'n'B                        ,male   ,322028   ,2006-09-22T13:55:45Z,undefined,106   
Coal_in_South_Africa                       ,Sminthopsis84                ,unknown,28125    ,2012-05-20T18:19:11Z,undefined,48    
Climate                                    ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Coal_in_South_Africa                       ,Amacdougall5                 ,unknown,7        ,2014-05-20T15:04:40Z,undefined,31    
Coal_in_South_Africa                       ,Discott                      ,male   ,4615     ,2006-10-08T19:56:45Z,undefined,45    
Castle_of_Good_Hope                        ,Brackenheim                  ,male   ,1483     ,2008-10-08T19:46:54Z,undefined,49    
Convenience_food                           ,YiFeiBot                     ,unknown,24870    ,2013-05-28T10:58:22Z,no       ,53    
Convenience_food                           ,Jim.henderson                ,male   ,55512    ,2006-09-17T02:13:16Z,undefined,57    
Ceramic                                    ,Middayexpress                ,unknown,109244   ,2008-06-14T19:46:22Z,undefined,46    
Climate                                    ,Jodielavery                  ,unknown,27       ,2014-10-21T23:36:46Z,no       ,45    
Castle_of_Good_Hope                        ,Axxter99                     ,male   ,4281     ,2009-10-18T10:05:57Z,undefined,45    
Castle_of_Good_Hope                        ,BoonDock                     ,male   ,3552     ,2005-07-21T09:40:27Z,undefined,47    
Castle_of_Good_Hope                        ,Michaelphillipr              ,male   ,454      ,2009-08-16T10:57:57Z,undefined,45    
Convenience_food                           ,Waggers                      ,male   ,38919    ,2006-02-03T13:27:02Z,undefined,106   
Coal_in_South_Africa                       ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Coal_in_South_Africa                       ,Monkbot                      ,unknown,316561   ,2014-01-03T15:15:55Z,undefined,53    
Convenience_food                           ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Coal_in_South_Africa                       ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
Castle_of_Good_Hope                        ,Magioladitis                 ,unknown,712417   ,2006-07-25T18:30:29Z,undefined,106   
Fiber                                      ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Convenience_food                           ,93                           ,unknown,3374     ,2012-08-22T08:43:04Z,no       ,45    
Design                                     ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Design                                     ,Walderbach                   ,unknown,29       ,2014-11-27T03:40:19Z,no       ,45    
Fiber                                      ,Tom.Reding                   ,male   ,98771    ,2009-05-28T16:56:21Z,undefined,45    
Duration_(music)                           ,CalystaMorgan                ,unknown,3        ,2014-07-02T22:00:09Z,no       ,31    
Design                                     ,Freshacconci                 ,unknown,35282    ,2006-07-22T19:59:21Z,undefined,48    
Castle_of_Good_Hope                        ,Deor                         ,unknown,90955    ,2006-12-14T01:00:50Z,undefined,106   
Fiber                                      ,VMS Mosaic                   ,male   ,32498    ,2005-12-05T19:16:43Z,undefined,48    
Duration_(music)                           ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Fiber                                      ,Stesmo                       ,unknown,19639    ,2006-05-24T19:49:15Z,no       ,47    
Discrimination                             ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Design                                     ,John of Reading              ,male   ,404021   ,2009-12-27T11:47:08Z,undefined,49    
Duration_(music)                           ,مانفی                        ,unknown,2121     ,2010-02-01T04:22:32Z,no       ,45    
Discrimination                             ,Aaron S. Kurland             ,male   ,35       ,2009-09-27T16:58:48Z,no       ,45    
Duration_(music)                           ,Nick Number                  ,male   ,114858   ,2006-05-30T01:30:55Z,undefined,48    
Discrimination                             ,Deafsachin                   ,unknown,30       ,2013-09-30T14:03:20Z,undefined,45    
Discrimination                             ,HelloIAmAToaster             ,unknown,8        ,2014-12-29T21:26:20Z,no       ,31    
Frances_Baard                              ,Ohconfucius                  ,unknown,281116   ,2005-12-30T06:16:28Z,undefined,48    
Cradle_of_Humankind                        ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Farm                                       ,Charlesdrakew                ,male   ,42453    ,2007-01-21T18:47:09Z,undefined,48    
Cradle_of_Humankind                        ,Paul venter                  ,unknown,17217    ,2006-02-18T22:01:28Z,undefined,46    
Cradle_of_Humankind                        ,Mindmatrix                   ,unknown,149318   ,2004-12-31T22:22:56Z,undefined,107   
Cradle_of_Humankind                        ,Zyma                         ,male   ,7445     ,2012-08-31T04:50:22Z,undefined,49    
Clay                                       ,Vsmith                       ,unknown,157663   ,2004-07-07T16:07:23Z,undefined,106   
Clay                                       ,Corinne                      ,unknown,18744    ,2012-09-04T16:50:38Z,undefined,48    
Farm                                       ,Gadget850                    ,male   ,115579   ,2005-07-18T15:49:45Z,no       ,106   
Farm                                       ,WadeSimMiser                 ,male   ,30922    ,2005-01-16T00:39:28Z,undefined,48    
Cradle_of_Humankind                        ,Skr15081997                  ,male   ,18976    ,2013-10-20T03:38:54Z,undefined,49    
Cradle_of_Humankind                        ,Curtis R Schmitt             ,unknown,4        ,2014-10-13T23:22:38Z,no       ,31    
Electricity_generation                     ,Serrano24                    ,unknown,84       ,2007-01-18T23:17:34Z,undefined,45    
Electricity_generation                     ,Magioladitis                 ,unknown,712417   ,2006-07-25T18:30:29Z,undefined,106   
Cradle_of_Humankind                        ,MichaK                       ,male   ,1225     ,2003-05-15T06:38:29Z,no       ,45    
Electricity_generation                     ,Jc3s5h                       ,unknown,17867    ,2009-03-10T19:04:34Z,undefined,48    
Coal                                       ,Jim.henderson                ,male   ,55512    ,2006-09-17T02:13:16Z,undefined,57    
Coal                                       ,Vsmith                       ,unknown,157663   ,2004-07-07T16:07:23Z,undefined,106   
Coal                                       ,Mr.Z-man                     ,male   ,28428    ,2005-12-07T00:52:43Z,undefined,107   
Domestic_violence                          ,Hydraton31                   ,unknown,2403     ,2006-04-07T22:07:35Z,undefined,45    
Child_abuse                                ,KateWishing                  ,unknown,1970     ,2011-06-14T00:57:15Z,undefined,48    
Coal                                       ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Child_abuse                                ,BG19bot                      ,unknown,718831   ,2011-05-03T06:25:50Z,undefined,53    
Farm                                       ,Talha9977                    ,unknown,23       ,2014-12-15T06:15:20Z,no       ,45    
Domestic_violence                          ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Coal                                       ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Domestic_violence                          ,Jytdog                       ,male   ,60726    ,2008-01-16T16:09:02Z,undefined,49    
Domestic_violence                          ,Bbb23                        ,male   ,94361    ,2008-08-02T23:59:11Z,undefined,108   
Child_abuse                                ,SQGibbon                     ,unknown,44350    ,2006-01-31T00:23:04Z,undefined,48    
Child_abuse                                ,Act of peace                 ,unknown,32       ,2014-11-19T12:20:41Z,no       ,45    
Circuit_diagram                            ,Kbrose                       ,unknown,17064    ,2007-03-25T15:55:40Z,undefined,48    
Domestic_violence                          ,Williamsville                ,unknown,45       ,2014-12-14T14:43:32Z,no       ,45    
Electricity_generation                     ,GB fan                       ,unknown,63794    ,2008-10-03T17:33:36Z,undefined,113   
Coal                                       ,Wackyike                     ,male   ,1513     ,2013-09-07T00:50:44Z,no       ,47    
Circuit_diagram                            ,Solistide                    ,unknown,294      ,2011-08-25T23:21:57Z,undefined,45    
Child_abuse                                ,Rhododendrites               ,unknown,33303    ,2007-10-25T02:51:49Z,undefined,52    
Circuit_diagram                            ,Ajv39                        ,male   ,1947     ,2012-03-14T21:17:14Z,undefined,45    
Child_abuse                                ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Food                                       ,Brandmeister                 ,male   ,20662    ,2010-06-26T16:43:12Z,undefined,48    
Domestic_violence_in_South_Africa          ,Nikkimaria                   ,female ,80727    ,2005-08-08T00:20:21Z,undefined,52    
Domestic_violence                          ,Enthusiast01                 ,unknown,40912    ,2007-08-19T11:18:49Z,undefined,45    
Domestic_violence_in_South_Africa          ,Moswento                     ,male   ,22891    ,2010-02-19T15:28:46Z,no       ,46    
Domestic_violence_in_South_Africa          ,BethNaught                   ,unknown,25512    ,2014-02-17T11:10:15Z,undefined,106   
Domestic_violence_in_South_Africa          ,GoingBatty                   ,male   ,280693   ,2010-01-29T01:04:30Z,no       ,51    
Food                                       ,Novel Zephyr                 ,unknown,59       ,2008-09-07T05:24:27Z,undefined,45    
Domestic_violence_in_South_Africa          ,Caretaker11081               ,unknown,1        ,2014-05-30T15:09:00Z,undefined,31    
Food                                       ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
Food                                       ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
Cooking                                    ,Chiswick Chap                ,male   ,64814    ,2006-11-05T16:12:02Z,undefined,49    
Ecosystem                                  ,DumbBOT                      ,unknown,168588   ,2006-04-24T10:30:54Z,undefined,53    
Free_State_(province)                      ,Dodger67                     ,male   ,55850    ,2007-06-15T00:34:50Z,undefined,48    
Flag_of_South_Africa                       ,Tohaomg                      ,male   ,184      ,2012-09-18T17:59:35Z,undefined,45    
Flag_of_South_Africa                       ,Dodger67                     ,male   ,55850    ,2007-06-15T00:34:50Z,undefined,48    
Ecosystem                                  ,I dream of horses            ,female ,194653   ,2009-05-13T20:36:29Z,undefined,49    
Child_abuse                                ,Williamsville                ,unknown,45       ,2014-12-14T14:43:32Z,no       ,45    
Cooking                                    ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
Ecosystem                                  ,Kabljones1816                ,unknown,1        ,2013-12-05T13:41:59Z,undefined,31    
Cooking                                    ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Food                                       ,Divine618                    ,female ,2647     ,2013-07-18T22:56:57Z,no       ,45    
Ecosystem                                  ,Makecat                      ,male   ,15726    ,2010-05-23T02:06:59Z,undefined,49    
Food                                       ,BethNaught                   ,unknown,25512    ,2014-02-17T11:10:15Z,undefined,106   
Free_State_(province)                      ,Katangais                    ,unknown,10699    ,2011-10-11T02:14:13Z,undefined,45    
Food                                       ,CommonsDelinker              ,unknown,471083   ,2006-09-23T00:18:05Z,no       ,55    
Cooking                                    ,Helpsome                     ,unknown,11373    ,2010-10-17T17:46:39Z,no       ,47    
Circuit_diagram                            ,Asdklf;                      ,female ,7867     ,2014-06-20T17:26:21Z,undefined,47    
Flag_of_South_Africa                       ,Warrior Of Light             ,unknown,12       ,2014-04-25T02:33:50Z,no       ,45    
Economy_of_South_Africa                    ,NGPriest                     ,male   ,1503     ,2010-05-28T03:12:15Z,undefined,48    
Flag_of_South_Africa                       ,SiBr4                        ,male   ,14655    ,2012-06-12T10:23:42Z,undefined,47    
Food                                       ,Ujimix                       ,unknown,59       ,2014-12-10T12:56:24Z,undefined,45    
Domestic_violence_in_South_Africa          ,CmdrObot                     ,unknown,337914   ,2006-03-14T02:54:26Z,no       ,53    
Flag_of_South_Africa                       ,Endrikz                      ,unknown,2        ,2014-12-27T23:02:51Z,no       ,31    
Ecosystem                                  ,!dea4u                       ,unknown,5538     ,2007-03-05T09:07:01Z,undefined,49    
Economy_of_South_Africa                    ,Johnnyiceland                ,unknown,1        ,2014-11-17T13:06:19Z,no       ,31    
Flag_of_South_Africa                       ,Cliftonian                   ,male   ,38135    ,2008-10-06T21:37:12Z,undefined,49    
Fire_safety                                ,DMacks                       ,unknown,101244   ,2006-01-16T21:44:12Z,undefined,107   
Electrical_network                         ,Spinningspark                ,male   ,56144    ,2007-03-03T09:41:30Z,undefined,107   
Food                                       ,Northamerica1000             ,unknown,373554   ,2011-06-08T11:28:20Z,undefined,106   
Food                                       ,Nafsadh                      ,male   ,5491     ,2007-12-27T06:54:02Z,undefined,45    
Flag_of_South_Africa                       ,KoosDelaRey                  ,unknown,12       ,2014-12-12T02:13:06Z,undefined,45    
Cooking                                    ,Gadget850                    ,male   ,115579   ,2005-07-18T15:49:45Z,no       ,106   
Economy_of_South_Africa                    ,Greenman                     ,unknown,10298    ,2003-01-22T13:51:09Z,undefined,46    
Electrical_network                         ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Electrical_network                         ,Donner60                     ,male   ,100337   ,2010-07-17T00:03:20Z,undefined,49    
Economy_of_South_Africa                    ,GENAMH                       ,unknown,92       ,2012-09-29T12:17:02Z,undefined,45    
Electrical_network                         ,St.nerol                     ,male   ,901      ,2008-10-22T11:52:15Z,undefined,45    
Electrical_conductor                       ,Johnuniq                     ,unknown,36905    ,2007-12-19T09:17:00Z,undefined,50    
Fire_safety                                ,Pigsonthewing                ,male   ,160798   ,2003-10-16T13:22:28Z,undefined,62    
Fire_safety                                ,Iowahillgal                  ,unknown,375      ,2010-02-18T23:14:29Z,undefined,45    
Electrical_conductor                       ,Fgnievinski                  ,unknown,18371    ,2008-03-23T14:37:53Z,undefined,45    
Electrical_conductor                       ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Fire_safety                                ,Mlaboda                      ,unknown,112      ,2014-09-26T02:43:26Z,undefined,45    
Electrical_network                         ,Nczempin                     ,male   ,5246     ,2006-03-21T14:36:07Z,undefined,45    
Domestic_violence_in_South_Africa          ,L235                         ,male   ,11694    ,2010-02-10T00:13:17Z,undefined,58    
Electrical_conductor                       ,Lola200120012001             ,unknown,2        ,2014-11-09T15:16:18Z,no       ,31    
Electrical_network                         ,General Ization              ,male   ,46221    ,2006-01-09T21:48:17Z,undefined,48    
Control_variable                           ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Control_variable                           ,Bn                           ,unknown,1344     ,2006-01-01T04:49:20Z,no       ,45    
Flag_of_South_Africa                       ,Omo Obatalá                  ,male   ,2125     ,2014-10-30T22:40:02Z,undefined,45    
Control_variable                           ,Jtroiano read                ,unknown,1        ,2014-11-30T18:56:54Z,no       ,31    
Fire_safety                                ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Economy_of_South_Africa                    ,Deli nk                      ,female ,41540    ,2005-11-07T14:55:16Z,no       ,48    
Electrical_conductor                       ,Neatsfoot                    ,unknown,1111     ,2014-08-04T11:42:43Z,no       ,45    
Economy_of_South_Africa                    ,Divoc                        ,unknown,354      ,2011-04-13T06:41:41Z,undefined,45    
Food_security                              ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Food_security                              ,Dan Amgar                    ,unknown,2        ,2014-12-28T13:24:38Z,no       ,31    
