article_15,avg_size,edits
Cup-and-ball,7889,1,
Curfew Must Not Ring Tonight,8816,1,
Currie Cup,32238,1,
Curveball (informant),21960,1,
Cvetković–Maček Agreement,1866,1,
CybAero,5246,3,
Cyberterrorism,41642,1,
Cycling,51589,1,
Cylindropuntia bigelovii,5376,1,
Cytochrome P450,42925,1,
Dairangers,27278,1,
Dan Schneider (TV producer),21277,1,
Dani Rodrik,8163,1,
Danica McKellar,32745,1,
Daniel Ek,3140,1,
Daniel Patrick Moynihan,42128,1,
Danijela Krstić,10541,1,
Dark Sky Island,27700,1,
Dark triad,46630,4,
Darko Lukanović,6547,1,
Daucus,5318,1,
David A. Dodge,7814,1,
David Angell,6996,1,
David Godwin Burchell,7509,1,
David Hamilton (photographer),9150,1,
David van Rooyen,3924,1,
DC Extended Universe,80624,1,
De Clercq,860,1,
De Witt (surname),830,1,
Deadpool (film),27234,1,
Dean Elgar,6497,1,
Dean Spanos,5061,1,
Dean Witter Reynolds,27478,1,
Death and state funeral of Kim Jong-il,80618,1,
Death of Kurt Cobain,28999,1,
Death of Sandra Bland,37736,1,
December 11,33113,1,
December 25,41660,1,
December 25,42733,1,
December 26,37715,1,
December 29,29935,2,
December 29,30150,1,
December 30,35542,1,
December 31,37604,1,
December 31,37631,1,
December 31,37702,1,
Deeps,696,1,
Deer Mountain (Alaska),2073,1,
Defensive gun use,17557,1,
Defensive gun use,20566,8,
Defqon.1 Festival,9383,1,
Defrutum,5544,1,
Delirium (Ellie Goulding album),23654,1,
Demaryius Thomas,32466,1,
Demetrius Grosse,3315,1,
Demi Lovato,100414,1,
Demographics of Canada,97074,1,
Demographics of South Africa,46289,1,
Denis Diderot,59780,1,
Dennis Levy,11400,1,
Dentition,30342,1,
Department of Homeland Security Appropriations Act, 2014,24557,1,
Dependent and independent variables,13065,2,
Dependent and independent variables,13092,1,
Dependent and independent variables,13093,1,
Dependent and independent variables,13093,1,
Dependent and independent variables,13178,1,
Derrick Green,16891,1,
Derry,117481,2,
Descramble,3510,1,
Desert castles,7299,7,
Design,29107,1,
Design,29685,2,
Design,29735,1,
Desso GrassMaster,12863,1,
Detailed logarithmic timeline,73878,4,
Device,1101,1,
Devil's staircase,696,2,
Diamine oxidase,1602,2,
Dickinson's Real Deal,5703,1,
Dickson, Tennessee,8219,1,
Dieting,38809,1,
Dietmar Dath,10171,1,
DiGeorge syndrome,37336,3,
Digitaria,8764,1,
Dimensional modeling,9332,1,
DirecTV,68629,1,
Dirofilaria immitis,30165,1,
Disaster Relief Appropriations Act, 2013,17775,1,
Discrimination,80493,1,
Discrimination,86427,2,
Dissolution of the Soviet Union,115936,1,
Dissolved silica,1970,1,
Distant Waves,6605,2,
Distribution of white South Africans,31710,1,
Division algorithm,26098,1,
DMZ (computing),11057,1,
Dodge Tomahawk,7639,1,
Dog in Chinese mythology,13492,1,
Dog,105896,1,
Dolphin Tale 2,13827,1,
Domestic violence in South Africa,14278,5,
Domestic violence in South Africa,14300,1,
Domestic violence in South Africa,14448,2,
Domestic violence,295152,1,
Domestic violence,295178,1,
Domestic violence,295183,1,
Domestic violence,295435,1,
Domestic violence,295435,1,
Domestic violence,295455,1,
Domestic violence,295455,1,
Domitian's Dacian War,8430,1,
Don Beyer,19950,1,
Don Easterbrook,3979,1,
Donald Duck universe,34042,1,
Donald Woods,17702,1,
Dooley's,817,1,
Dopamine,99190,2,
DOSAAF,6734,1,
Downtown Columbus, Ohio,29341,1,
Dr Pepper,54890,1,
Draco Malfoy,33068,1,
Drag Me Down,14184,1,
Drakensberg,28436,1,
Droid Turbo 2,4463,1,
Drum kit,68179,1,
Duke of York's Royal Military School,26633,2,
Dulwich,24623,2,
Dumb and Dumber,25829,2,
Dunkirk 2017 film,43,1,
Duration (music),2903,1,
Durban,63105,2,
Dutch National Track Championships,19502,1,
Dwarf rabbit,3435,1,
DZU,424,1,
Earth Similarity Index,23566,1,
Earth's internal heat budget,12639,1,
EarthBound fandom,30170,1,
East African highland shrew,1128,1,
East of the River,2681,1,
Eastern Cape,19763,1,
Eastern carpenter bee,24017,3,
Eastern newt,8620,1,
Eben Etzebeth,16665,1,
Echidna (mythology),57791,2,
Ecological network,15086,3,
Ecological succession,31100,1,
Economic rent,19137,1,
Economy of South Africa,78939,1,
Economy of South Africa,79261,2,
Economy of South Africa,79269,3,
Economy of South Korea,51338,1,
Ecoregions of New Guinea,1280,1,
Ecosystem valuation,7263,1,
Ecosystem,51743,3,
Ecosystem,52116,2,
Ecosystem,52224,1,
Ecosystem,52237,1,
Eddie Redmayne,23636,1,
Edgar Lungu,9735,2,
EDM,2357,1,
Eduard Shevardnadze,41192,1,
Edward Bach,7015,1,
Ejection fraction,8997,1,
Ela of Salisbury, 3rd Countess of Salisbury,11344,2,
Elections in Jamaica,2940,1,
Electoral district of Warrnambool,3931,1,
Electrical conductor,10039,1,
Electrical conductor,10434,1,
Electrical conductor,10434,1,
Electrical conductor,10435,1,
Electrical conductor,10435,1,
Electrical conductor,10443,2,
Electrical network,7980,1,
Electrical network,8018,2,
Electrical network,8048,1,
Electricite du Laos F.C.,1040,2,
Electricity generation,34781,2,
Electricity generation,34785,2,
Electricity generation,34799,2,
Electricity generation,34830,2,
Electrode,6686,5,
Electronic band structure,30660,2,
Electronic musical instrument,44087,1,
Electronic symbol,5630,1,
Elementary school,1523,1,
Elisha Gray,21616,1,
Elizabeth Holmes,14601,1,
Ellen G. White,87300,1,
Ellie Goulding,55676,1,
Elsie's River,1954,1,
Emeka Okafor,21321,1,
Emilio Zapico,2889,1,
Emma of Waldeck and Pyrmont,10304,1,
Empire Theatre (42nd Street),2858,1,
Encounter Bay,8516,1,
End Credits (album),4114,1,
End Credits (Album),49,1,
Energy and Water Development and Related Agencies Appropriations Act, 2014,23926,1,
Energy in South Africa,15982,1,
Energy in South Africa,16147,5,
Energy subsidies,35927,1,
Enhanced oil recovery,30985,1,
Enlightened despotism,6414,1,
Enrico Fermi Nuclear Generating Station,17976,2,
Entebbe bat virus,7620,1,
Env (gene),15995,1,
Environment,2447,1,
Environmental impact of meat production,43482,1,
Environmental planning,36666,1,
Epilepsy,104340,1,
Eric Kendricks,16200,1,
Eric Morecambe,18527,1,
Eric Pickles,35203,1,
Eric Tinkler,3871,1,
Erik De Clercq,2001,1,
Erillinen Pataljoona 4,2400,1,
Erin Burnett,17224,1,
Ernest of Bavaria (1500–1560),10320,1,
Erosion,37295,2,
