article_14,edits,avg_size,
Rhodesia,1,97398,
Slint,2,11461,
Human leukocyte antigen,2,77,
Christian Bale,3,55712,
San rock art,1,6733,
Australian federal budget_ 2013,1,21369,
Settling,1,10356,
Sound,1,16767,
Music of South Africa,1,55077,
List of battles involving France,2,2075,
Ürümqi,1,44636,
Children's Day,3,62040,
The Strike (Seinfeld),1,7598,
List of wettest tropical cyclones in the United States,1,106475,
Matt Gilroy,1,16121,
Gun laws in Utah,1,19595,
List of Ohio State Buckeyes bowl games,1,24820,
Bob Fitch,1,9206,
Insulator (electricity),1,27704,
Savannah_ Georgia,1,69014,
Gulfstream III,1,13412,
USS Nashville (CL-43),1,13410,
NetIQ,2,2220,
USS Grouper,1,11257,
Campbell High School (Georgia),1,8332,
NetIQ Access Manager,2,1746,
Lipolysis,1,2680,
Near field communication,1,46412,
Erikson's stages of psychosocial development,1,29844,
DJ Magazine,2,8917,
Obafemi Awolowo University,1,30519,
Mining industry of South Africa,1,18624,
Jack Parow,1,11444,
The Study of Administration,1,1829,
FIFA 15,1,16500,
Acid,3,36341,
Flunitrazepam,1,41888,
Human trafficking,2,132391,
Rainbow rose,1,2902,
Aloe vera,1,33181,
Food vs. fuel,2,23862,
Transport,1,38996,
Jan Janssonius,1,6323,
Animalcule,1,1104,
William Bentinck_ 1st Earl of Portland,1,12532,
Thomas van Erpe,1,4405,
Frederick Coyett,1,8493,
Dutch ship De Zeven Provinciën (1665),1,4643,
VOC Opperhoofden in Japan,1,21738,
Microbiology,1,26912,
Maarten Gerritsz Vries,1,6105,
Sino-Dutch conflicts,1,14935,
Circuit diagram,1,10631,
Food vs. fuel,2,23866,
Solar flare,1,39280,
Steynsrus,2,6269,
Reddersburg,1,3710,
Nigger (dog),1,14499,
Coal in South Africa,1,12524,
Discrimination,1,63437,
KLM,1,106796,
Michael Moore,1,48503,
Master/slave (technology),1,4630,
Candy Crowley,1,10978,
Bill Ayers,1,58998,
The Hunter (2011 Australian film),1,10423,
The Rhythm of My Life: Ismael Sankara,1,4511,
Communal Areas Management Programme for Indigenous Resources,1,4564,
Romanticism,1,106804,
Billy the Kid,1,80846,
Food security,1,95574,
Rain shadow,1,19098,
Mount Olympus (Washington),1,4758,
Toluca Valley,1,20127,
Sunnyside High School (Sunnyside_ Washington),1,1634,
History of writing,1,44883,
Climate,2,33001,
Food vs. fuel,1,23870,
Right to food,1,52659,
History of El Salvador,3,20140,
Topographic map,5,12892,
Road map,1,7794,
National Women's Day,1,1372,
Wildlife conservation,1,17535,
Wildlife conservation,1,17511,
Borehole,1,5263,
Wireline (cabling),1,25680,
Sonic logging,1,4570,
Log ASCII Standard,2,1103,
History of South Africa,1,82880,
Liu Hui,1,8758,
1960 Valdivia earthquake,1,33322,
Culture of Cambodia,1,42057,
Solanine,1,12527,
Dick (film),1,3531,
San Bernardino High School,2,8474,
Watermelon stereotype,1,11421,
History of dance,1,13768,
History of the FIFA World Cup,2,45477,
Swedish House Mafia,3,22038,
Water supply and sanitation in South Africa,3,57166,
Kiev Military Aviation Engineering Academy,1,8857,
Cryogenics,2,14171,
Bias,2,4943,
The Transall Saga,1,3915,
Longitude,1,24393,
Navigation Acts,1,17302,
Modernism (music),3,10140,
Road map,1,8002,
August 27,1,35138,
January 15,1,36367,
List of mobile phone makers by country,1,3771,
Trivikram Srinivas,1,18408,
Yerragondapalem,1,3401,
Ambati Rayudu,1,14621,
Sound,1,16519,
Anaamika,1,5073,
National Women's Day,1,3055,
Noise pollution,1,17840,
Sunil Shanbag,1,9326,
Sand,1,14105,
Energy in South Africa,1,13472,
Mind map,1,16140,
Soap opera,2,114643,
Music of South Africa,1,55003,
Swaziland,1,61895,
Table tennis,2,55703,
Winnie Madikizela-Mandela,1,28087,
Rack and pinion,3,4376,
Rondebosch Boys' High School,1,16280,
G. Patrick Maxwell,2,19180,
Control variable,1,2781,
White Wave Bandits,1,1563,
Agriculture in South Africa,1,12550,
Textile,1,27693,
Mississippi River,1,101343,
Rail transport,1,67744,
Stegosaurus,1,50044,
Ryan Reynolds,1,23985,
Tom Daley,1,69817,
Zanthoxylum flavum,2,3845,
Greg James,1,10995,
Steamboats of the Mississippi,1,52799,
Douglas Booth,1,23649,
Politics of South Africa,1,9760,
Jazz fusion,1,36850,
Acadia,3,56498,
History of the Acadians,1,35614,
Siri,1,36994,
Climate of Nova Scotia,2,8098,
5S (methodology),1,6395,
Sand,1,14110,
Base (chemistry),1,11722,
Plan,1,5459,
Fantaisie-Impromptu,1,6896,
Mind map,2,16120,
Brent Hinds,1,11788,
Water filter,1,10011,
Economy of South Africa,1,76792,
Fasting,4,77785,
Music of South Africa,1,55081,
Gary Player,1,61826,
Giant anaconda,1,7627,
Kalenna Harper,1,13558,
Dreamland (Yellowjackets album),1,2599,
Water filter,1,10059,
Mpumalanga,1,17432,
Domestic violence in South Africa,1,13972,
List of South Africans,1,52327,
Investment banking,1,41232,
Indian Premier League,1,46720,
Aloe,1,17946,
Cymbopogon,4,4901,
2014 pro-Russian unrest in Ukraine,1,186790,
Drakensberg,1,25354,
National symbols of South Africa,2,5902,
Food pyramid (nutrition),1,28294,
Energy in South Africa,1,13755,
Fire safety,1,15489,
Outer space,1,92363,
Wood,1,50862,
Turbidity,1,14893,
Princess Elisabeth_ Duchess of Brabant,1,10660,
Robin Peterson,1,11237,
Blue Flag beach,2,17247,
Camden Power Station,4,2569,
Kurt Darren,1,4753,
Bias,2,4990,
Geology of the Appalachians,1,14333,
Scott Walker,1,86689,
Ramshorn snail,1,8173,
Bunny (1998 film),1,3893,
Memorial High School (Eau Claire_ Wisconsin),2,13119,
Randall Cobb (American football),2,12551,
Wax,1,11762,
Broadcast Enterprises and Affiliated Media,2,4794,
Biome,1,25268,
Ode,1,4909,
Lymphatic system,1,32656,
Fur trade,3,50426,
Lohri,2,11864,
Level (video gaming),1,15854,
Structural integrity and failure,1,34220,
Electricity generation,1,32465,
Pat Summitt,1,70808,
Shirley Crabtree,1,11974,
Windscale fire,1,39330,
Hot Buttered Rum (band),3,5227,
Maripeda,1,7000,
Joe Kerbel,1,7179,
Gifted Hands: The Ben Carson Story,1,7552,
USS Indianapolis (CA-35),1,45464,
Explorer 1,1,22122,
Convair B-36 Peacemaker,1,79121,
Canon de 75 modèle 1897,1,33085,
Aggie Bonfire,1,55906,
Rockstar (drink),1,13145,
S-mine,1,17215,
Gun turret,1,38343,
Kaiser Friedrich III-class battleship,1,22314,
Berlin Crisis of 1961,1,35000,
Right to food,2,52500,
Sport in England,2,42477,
Home safety,1,6117,
Design,1,29200,
Floods in Malaysia,1,4438,
Left 4 Dead,1,77951,
Scale (map),2,33262,
Rube Goldberg,2,14923,
Flag of the Republic of China,1,25595,
Animal husbandry,2,8417,
Kingda Ka,1,19878,
Monogram,1,9029,
Arjun,1,2056,
Animal rights,1,0,
Sahil,1,1308,
Crime,1,48558,
Citrus,1,41445,
Women's National Basketball Association,1,86354,
Wax,1,11676,
Holes (novel),2,16101,
Kantian ethics,1,49920,
Kenny Britt,1,10067,
Sobhan Babu,1,8082,
Jaya Bharata Jananiya Tanujate,1,10995,
Ande Sri,1,3366,
Telangana Martyrs Memorial,2,4713,
Allam Narayana,2,1866,
Government of Telangana,1,8818,
Jaya Jaya He Telangana,2,3829,
History of Finland,3,93529,
National Labor Relations Act,1,18964,
Asháninka people,1,13665,
Arab–Israeli conflict,5,91105,
Ecosystem,2,51971,
Stereotype,2,83273,
Typewriter,1,89644,
McMinn County_ Tennessee,1,14039,
Athens_ Tennessee,1,16140,
Apartheid,1,149810,
Virginia's 7th congressional district,1,33280,
Earl B. Hailston,1,8178,
Extreme Rules (2014),2,2217,
Money in the Bank (2014),1,6928,
Sacrifice (2014),1,3397,
Home safety,1,6117,
Discrimination,1,63427,
1922,1,47484,
W. Eugene Smith,4,15394,
Spokane people,4,8730,
Heritage Day (South Africa),1,3775,
Transport in South Africa,1,8381,
Twister (game),4,11039,
Tacit knowledge,1,22101,
Mpumalanga,3,20169,
The Amanda Show,1,44182,
Mount Roskill Intermediate,1,3893,
Stop motion,1,27278,
James Dewar,3,14106,
Thomas Blood,1,19121,
Liquid fuel,1,13874,
Molecular Structure of Nucleic Acids: A Structure for Deoxyribose Nucleic Acid,1,17019,
Methane,1,71791,
Cooking,1,34503,
Human swimming,1,26134,
Proposition,3,10672,
Boku no Pico,1,10905,
Sigfrido Tiñga,1,4087,
Wax,1,11651,
Sun dogs,1,14719,
.jm,2,1717,
Water filter,2,10070,
Base (chemistry),1,11768,
63rd Street Tunnel,1,8860,
Music of South Africa,1,55573,
Standard Model,3,46280,
SABRE (rocket engine),2,24909,
John C. Stennis Space Center,1,34228,
Staged combustion cycle,1,12199,
Isogrid,1,6166,
Suspension polymerization,1,4308,
Raptor (rocket engine),1,23408,
Cradle of Humankind,1,9410,
Farm,6,18039,
Silage,4,17315,
Cradle of Humankind,1,9852,
Wool,2,37467,
Alcohol abuse,1,45464,
Westshore Rebels,1,3327,
Artificial intelligence,1,146881,
Noise pollution,1,17856,
Bingo (U.S.),1,20964,
Gulf Cooperation Council,3,27630,
Ministry of Minority Affairs,1,2502,
List of cultural festivals in Indian colleges,2,8622,
Joy Sengupta,1,5499,
History of writing,3,45370,
Pole vault,1,44472,
Outer space,1,92334,
General of The Salvation Army,2,6446,
Punga (mythology),1,2157,
Gladiator Mosaic,1,1887,
Duncan Garner,1,7076,
Computers in the classroom,1,18430,
Louis Catherin Servant,1,965,
Famous Last Words (band),1,2263,
Freedom Day (South Africa),2,1274,
Stereotype,1,83270,
Soil pH,1,19354,
Economic development,1,20169,
Millionaire,1,23279,
Sri Jayachamarajendra College of Engineering,1,15564,
Emerging markets,1,32982,
Active management,1,12180,
Francis Mackenzie,1,3394,
Gold bar,1,6135,
2008 Chino Hills earthquake,1,20738,
Society General,1,57,
Economy of the Faroe Islands,1,5161,
Economy of Mauritius,1,21907,
Economy of Mongolia,2,17739,
Economy of Morocco,1,92620,
Economy of Namibia,1,24337,
Economy of South Africa,1,76990,
Economy of Swaziland,1,11068,
Economy of Switzerland,1,61376,
Economy of Papua New Guinea,1,12444,
William Wordsworth,1,29039,
Ptolemy XII Auletes,1,16192,
Food security,1,100061,
National Congress of Argentina,1,9422,
Branhamism,1,24042,
Pitch (music),1,26193,
Scale (map),1,33098,
Oliver Tambo,1,11099,
Strom Thurmond,1,57574,
Lucky Luciano,1,55284,
Michael Dell,1,18920,
Jim Belushi,1,20540,
Hayden Panettiere,1,47979,
Sheldon Adelson,1,58068,
Felix M. Warburg,1,4267,
Lily Collins,1,15726,
Exor (company),1,4265,
Lake Victoria,1,28500,
Cecil Rhodes,4,59613,
Cockatiel,1,13967,
Mechanical toy,1,3669,
Mineral Revolution,1,13026,
National Women's Day,1,3034,
British Kenya,1,3718,
Outer space,2,92330,
History of South Africa,2,82751,
Legalism (Chinese philosophy),1,22205,
Witwatersrand Gold Rush,1,5178,
LeAlan Jones,1,12820,
Big Sandy Power Plant,1,4361,
2014 American immigration crisis,1,26802,
Acid,2,17254,
Esperanza Spalding,2,44074,
Farm,2,18411,
China–Nepal relations,2,6657,
Insulator (electricity),1,27735,
Photochemistry,3,13822,
Cinco de Mayo,1,33218,
Lithium,1,76940,
Trade,3,39002,
George Cayley,1,20474,
Richard S. Ewell,1,24404,
Tri-State Tornado,1,27148,
Teenage Mutant Ninja Turtles (1990 film),1,23234,
Dust Bowl (disambiguation),1,674,
Cicada 3301,1,14164,
Human nutrition,1,110987,
Hydraulics,3,11368,
Do Not Stand at My Grave and Weep,5,13377,
Climate change in Saskatchewan,2,41776,
Base (chemistry),1,11818,
Hummingbird,1,49126,
Nancy Kerrigan,1,26686,
Tap (valve),2,16969,
Conservation status,1,11121,
Mail cover,1,2723,
Ecosystem,3,52053,
National anthem of South Africa,1,6264,
Ecosystem,1,52006,
Marshall Plan,1,90617,
Roman Empire,1,268327,
Syntax,1,18541,
Payday loan,1,43666,
Boomerang (TV channel),1,30884,
Kuje,1,4111,
Boomerang (CEE),1,5727,
Gwer West,1,3040,
Cooking,2,34701,
Sand,1,14106,
Mind map,1,16120,
Animal husbandry,1,8276,
Pneumatics,1,7407,
Fluid power,2,2558,
Digital footprint,1,9669,
Electrical network,2,7818,
Glass,2,59346,
Dirty Three,1,26205,
Climate,1,33024,
Gas,1,38911,
Vibration,1,41775,
Edinburgh,3,133398,
Johnny Marr,1,39198,
The Venetian Las Vegas,1,9801,
1996 Monaco Grand Prix,1,20666,
Grant Leadbitter,1,15933,
Edinson Cavani,1,42461,
William Penn,1,65422,
Casper (film),1,13269,
Pitch (music),1,26867,
Collodion process,3,16598,
Of Human Bondage,1,12701,
Suicide pact,1,2065,
Dark Seed (video game),1,8884,
Ciphertext indistinguishability,1,13697,
Gangster,1,42662,
Second Battle of Tapae,1,2860,
The Jackson 5,2,32842,
Thomas Paine,1,83967,
Unintended consequences,2,31188,
Alex Garland,1,4926,
Children of Men,2,66710,
Liberalism in the United States,4,44361,
Fair trade,1,105473,
Longitude,1,24667,
Logic gate,2,26305,
Circuit diagram,1,9070,
Electronic symbol,3,5312,
Glass,1,59335,
Lead,2,70054,
Chaos magic,2,17736,
Ode to a Nightingale,3,43459,
Organomanganese chemistry,1,7317,
Reformation in Italy,1,16506,
Germanide,1,1027,
Hottentot Venus,1,7876,
Biome,1,25149,
Electrical conductor,2,10270,
Electrical network,1,7826,
Human Rights Day,1,12865,
Guinness World Records,1,25186,
Bill & Melinda Gates Foundation,1,69607,
Free State (province),1,20658,
Anthony Daniels,2,9419,
Dolphin Tale 2,2,10881,
Alexander and the Terrible_ Horrible_ No Good_ Very Bad Day (film),1,33827,
List of hamburger restaurants,1,7868,
I Won't Be Home for Christmas (The Simpsons),1,3363,
Pneumatics,2,7409,
San religion,1,17311,
Scale (map),2,33233,
Rail transport,1,67705,
International Air Transport Association,1,12437,
Antony Leung,1,11130,
Exchange Square (Hong Kong),1,6440,
Link REIT,1,7047,
Frontier Closed Area,1,3201,
Tai Po Kau Nature Reserve,1,930,
Occupy Central with Love and Peace,1,56502,
The Chinese University of Hong Kong_ Shenzhen,2,13023,
Boiling,1,10306,
High striker,1,6024,
Toothbrush,1,22437,
Cosmetic dentistry,3,9723,
Veneer (dentistry),2,9416,
Water well,1,29172,
San people,1,61195,
Devon Aoki,1,8262,
Great Meadow Correctional Facility,1,9510,
North Creek_ New York,3,6560,
Transsexual,1,84998,
Pinterest,1,39878,
Wamogo Regional High School,1,1145,
E. E. Cummings,1,35696,
Transport in South Africa,1,8377,
Duke Ellington,1,74221,
One-child policy,3,67259,
Abortion in the United States,1,88011,
List of deserts,1,7006,
Gucci,1,30411,
Flash Crowd,1,4653,
Human Rights Day,1,13116,
Herero and Namaqua Genocide,1,57178,
Glass,2,59224,
Studio glass,2,29475,
Cutting the Stone,1,3542,
Polished plate glass,1,1915,
Pneumatics,1,7057,
Wildlife conservation,1,17513,
Biome,1,25117,
Apartheid,1,147718,
Flowering plant,2,51729,
Jimmy Dean,1,16193,
Oliver Tambo,1,11067,
List of rivers of Ivory Coast,3,1269,
Geno Smith,2,44620,
Youth culture,2,22290,
Water filter,1,10054,
Map,1,23595,
South African cuisine,1,18794,
Joseph Cinqué,1,8310,
MTV's Hottest MCs in the Game,8,9163,
Animal husbandry,1,8229,
Trends in International Mathematics and Science Study,1,24351,
Vibration,2,43094,
Electricity generation,4,32424,
Hamlet,1,111894,
Johann Pachelbel,1,57353,
Nevado del Ruiz,2,42197,
Speed of electricity,1,5555,
History of Japan,1,126093,
Avionics,1,19835,
Hybrid rocket,2,23890,
Habilitation,1,16494,
Agrégation,1,8342,
Barrington Irving,1,5932,
Astrionics,1,13786,
Slew (spacecraft),1,3450,
Vibration,1,41767,
DJI (company),1,9897,
Tanis,1,10056,
Convenience food,1,22139,
Indecent Proposal,1,13123,
The American Boy's Handy Book,1,2562,
Graeme Simsion,2,9092,
Liquid fuel,1,13874,
Multiple myeloma,1,46162,
Mandan_ Hidatsa_ and Arikara Nation,1,11868,
Hortense Powdermaker,1,10871,
Grey League,1,8646,
Jicaquean languages,1,3811,
Conscription in the United Kingdom,4,13139,
Indonesia AirAsia Flight 8501,1,39524,
Younus AlGohar,2,16351,
San rock art,1,6732,
Coprophagia,1,18413,
Urophagia,1,8849,
Horton Hears a Who! (film),1,18405,
Coprophilia,1,4123,
Female-led relationship,4,10995,
Scale (map),1,33230,
Duluth model,1,7371,
Outline of domestic violence,1,40170,
Norway,1,185122,
Balto,1,10081,
Mandela Day,2,3108,
Coal,1,79917,
Methane,1,72657,
Coal,1,79908,
Wheeler's delayed choice experiment,1,33430,
Return on investment,1,6532,
Sexism,3,137366,
Settling,1,10380,
Circuit diagram,1,10499,
Wood,1,49212,
Map,2,14,
Biome,2,25275,
Napoleonic Code,1,20562,
Apartheid,1,147743,
Design,3,29572,
Hand washing,1,36960,
Politics of South Africa,1,9796,
Water supply and sanitation in South Africa,1,57191,
Oliver Tambo,1,9871,
South-West Africa,1,10242,
Apartheid,1,149830,
The Endless River,1,61264,
Unisys,1,31261,
First Opium War,1,26056,
Tap (valve),1,16449,
Dreyse needle gun,1,12068,
Fluency heuristic,1,2622,
Base (chemistry),1,11762,
History of South Africa,1,82813,
Sexism,2,136854,
Electrical conductor,1,10214,
Leicester Tigers,1,34187,
King Edward VI School_ Stratford-upon-Avon,1,17028,
Grey pound,1,1262,
National anthem of South Africa,1,6525,
Agriculture in South Africa,1,12740,
Human swimming,3,26026,
V-2 rocket,2,30360,
Adverb,1,14797,
Matthew Arnold,2,39115,
Tobe Hooper,1,6897,
Convenience food,2,22755,
Random-access memory,1,0,
Pete Davidson,1,3682,
Map,1,23621,
Freedom Day (South Africa),1,1294,
Mount Nyiragongo,2,11668,
Guru Granth Sahib,2,29059,
Islam in Germany,1,23228,
Billy Graham,1,73349,
Kansas State Capitol,1,9380,
Sikh scriptures,2,4933,
Sikhism in the United Kingdom,1,13303,
Borehole,3,5382,
Alan Pardew,1,42012,
Steven Taylor (footballer),1,29308,
Ignacio Scocco,3,17457,
Jozy Altidore,1,38581,
Nile Ranger,1,20766,
Gauteng,1,45307,
Johannesburg Park Station,1,4750,
Emily Brontë,2,35223,
History of South Africa,2,82805,
Nature India,2,1261,
Substance abuse,6,63548,
Alcohol abuse,1,45535,
Textile,1,27693,
Hose,2,4165,
Politics of South Africa,1,9795,
Type 22 frigate,1,40262,
Global Combat Ship,2,26975,
Transport,1,39012,
Alfred Nobel,2,22142,
Order of the British Empire,1,32763,
Francis Willughby,1,7698,
Homo sapiens idaltu,1,5991,
Nottingham High School,1,51925,
Wollaton Hall,1,12141,
School timetable,1,10473,
Politics of Denmark,1,31661,
Prince George of Cambridge,1,25025,
Agriculture in South Africa,2,12769,
Western Cape,1,36117,
National trauma,3,2534,
Wood,3,49193,
Control variable,1,3907,
Politics of South Africa,2,9004,
Coal,1,80007,
Santa Claus (disambiguation),3,2300,
Boiling,1,10432,
Textile,2,27757,
Gulf Cooperation Council,4,27826,
Giovanni Panico,2,9285,
RMS Strathnaver,1,11349,
Wallace Charles Wurth,1,2314,
Martin Flannery (Australian politician),1,5804,
The Gambia–Philippines relations,1,4603,
Water well,1,28790,
Cooking,1,34478,
Fiber,3,11256,
Pitch (music),1,26161,
Gender role,2,93032,
Pneumatics,3,7072,
Madrid,2,165636,
Ancient Egypt,1,125522,
December 31,1,36194,
University of Oxford,1,104496,
Seker,1,3401,
Ancient Egyptian funerary practices,1,42106,
Pyramid Texts,1,10269,
LMFAO,1,21420,
Gertrude Martin,1,2761,
Aloe vera,1,33121,
Food security,1,93154,
Bias,2,4972,
Disability,1,70373,
Car bomb,1,21725,
Greaser (subculture),1,9785,
Nachalnik Kamchatki,1,2193,
Danny Greene,1,29114,
1947 Pulitzer Prize,1,3423,
Burli,1,2341,
The Star Called Sun,1,6079,
A Slower Speed of Light,1,3849,
Sound,1,16516,
Eurofighter Typhoon,1,163569,
Wakkerstroom,1,2181,
7de Laan,1,12481,
AB de Villiers,1,38291,
Vernon Philander,1,14606,
Hendrik Van Eck Airport,1,2567,
Imran Tahir,1,20045,
Middle Ages,1,164220,
History of East Asia,1,30839,
Outline of South Asian history,1,2130,
History of Southeast Asia,1,39837,
Pre-Columbian era,1,58822,
Middle kingdoms of India,1,106390,
History of the Middle East,1,56864,
History of Central Asia,1,67806,
Ancient Near East,1,30851,
Hand washing,1,36310,
Cheick Tioté,1,15122,
Giorgio Chiellini,1,26115,
Ophiogomphus acuminatus,1,961,
Independent School Entrance Examination,1,7404,
Secondary School Admission Test,2,4433,
John Kirby (attorney),1,2739,
McBurney School,3,16263,
Mr. Resetti,1,10910,
The Lego Movie Videogame,1,11674,
Lips Are Movin,1,13041,
List of track gauges,1,38276,
On2 gauge,2,8324,
Health,2,34107,
Ifrit,2,7742,
Tanga Airport,1,4095,
Rusumo Bridge,1,3817,
Port of Tanga,1,2031,
Tanzanian general election_ 2015,1,27028,
Tanzanian civic election_ 2014,1,3063,
Ngerengere Air Force Base,2,6693,
Lloyd Harbor_ New York,1,10014,
Coal in South Africa,4,12488,
Travesty,2,1102,
Dissociated press,2,5690,
Deinstitutionalisation,1,46569,
Travesty generator,1,30,
Parody generator,3,1554,
Random text generator,1,30,
Mining industry of South Africa,1,18606,
Discrimination,1,63434,
Conveyor belt,1,13155,
Chainsaw,1,18755,
Single-speed bicycle,2,12185,
Belt sander,1,3986,
Tensioner,4,5842,
Flip-flop hub,1,9715,
Avro Type G,1,4893,
Friction motor,1,1320,
River Morar,1,2313,
Morar Railway Viaduct,1,3357,
Borrodale Viaduct,1,3497,
Insulator (electricity),1,27807,
Comparison of raster graphics editors,1,73943,
Algae,1,63594,
Evolution,2,198778,
Gram-negative bacteria,1,17106,
Mitosis,1,34049,
Parasitism,1,37970,
Coelom,1,12540,
Sepsis,1,73504,
Sexual dysfunction,1,35971,
Protist,1,30514,
San people,3,61406,
Latitude,3,41789,
Layzie Bone,1,8404,
Abdelaziz Bouteflika,1,29597,
WBEE-FM,1,3498,
The Vampire Diaries,1,66077,
Who Framed Roger Rabbit 2,1,44,
Henry Danger,1,31806,
Child abuse,5,103581,
Saudization,5,14999,
Eastern Cape,1,19154,
Western Cape,1,36113,
Northern Cape,1,23021,
Transport,1,39019,
1993,1,77837,
1901,1,33020,
2013,1,38746,
2014,1,43720,
Pro Merito Decoration,1,10397,
2-8-2+2-8-2,1,8530,
James Kriel,1,3569,
Jan van Loggerenberg,1,4524,
Concept car,1,10578,
Velachery,2,20741,
RunRev,2,7131,
Ghost goal,3,21586,
Game in hand,1,6080,
Soccer goal,1,26,
Acid Survivors Foundation,1,25692,
Center for Women's Global Leadership,3,23467,
Kamala Chandrakirana,1,3933,
16 Days of Activism against Gender-based Violence,2,1851,
Duration (music),3,2791,
Printed circuit board,1,54923,
Diabetes mellitus type 2,1,50773,
Diabetes mellitus type 1,3,59180,
List of music festivals in Australia,1,7482,
XOR gate,1,8750,
List of music festivals,1,62067,
Diabetes mellitus,2,62179,
Serbia,1,175507,
Health,1,34099,
Civil defense siren,6,50943,
Test Card F,3,17507,
Insulator (electricity),1,27710,
List of programming languages,1,26424,
Prototype pattern,1,8379,
Alliaria petiolata,1,16090,
Gateway AnyKey,2,23667,
Sled Storm,1,23832,
Picaresque novel,1,22026,
Gangster,1,42662,
Weasel,1,16169,
Frankfort_ Kentucky,1,24535,
Alec Baldwin,1,65306,
Human hair color,1,23810,
Jack McMahan,1,3960,
Convenience food,1,22742,
Lorde,2,34765,
List of Irish writers,1,16495,
Jürgen Vogel,2,6550,
Jessie Willcox Smith,9,31172,
The Plastic Club,1,2119,
Yuvraj Singh,1,63789,
Youth Conference (Christian),1,20106,
Vineeth Sreenivasan,1,12855,
William Edward Phipps,1,8657,
Vientiane Province,1,27594,
Zain Saidin,1,3679,
List of awards and nominations received by Michelle Williams,1,14383,
Teerpu,1,3406,
James R. Arnold,1,3077,
Cradle of Humankind,1,9643,
